"source","hyper_method","kernel","parameter","optimizer_value","natural_parameter","natural_value"
"spike","multistart_eb","rbf","log_ell",-2.66972106809813,"ell",0.0692715446585261
"spike","multistart_eb","rbf","log_sigma_f",-3.08196708712013,"sigma_f",0.045868939647068
"spike","multistart_eb","rbf","log_sigma_n",-15.3165838966498,"sigma_n",2.22890794398885e-07
"spike","multistart_eb","matern05","log_ell",-2.68939424072416,"ell",0.0679220713372153
"spike","multistart_eb","matern05","log_sigma_f",-2.93739443606419,"sigma_f",0.0530036533822998
"spike","multistart_eb","matern05","log_sigma_n",-15.3165838966498,"sigma_n",2.22890794398885e-07
"spike","multistart_eb","matern15","log_ell",-2.66431948569778,"ell",0.0696467330081502
"spike","multistart_eb","matern15","log_sigma_f",-3.01342384297117,"sigma_f",0.0491232003789471
"spike","multistart_eb","matern15","log_sigma_n",-15.3165838966498,"sigma_n",2.22890794398885e-07
"spike","multistart_eb","matern25","log_ell",-2.66165229339825,"ell",0.0698327421889737
"spike","multistart_eb","matern25","log_sigma_f",-3.0374810807684,"sigma_f",0.0479555335998758
"spike","multistart_eb","matern25","log_sigma_n",-15.3165838966498,"sigma_n",2.22890794398885e-07
"mixture","multistart_eb","rbf","log_ell",-1.4523584629346,"ell",0.234017714631919
"mixture","multistart_eb","rbf","log_sigma_f",-1.64246236827171,"sigma_f",0.193502979582493
"mixture","multistart_eb","rbf","log_sigma_n",-8.20731779318062,"sigma_n",0.000272651047908183
"mixture","multistart_eb","matern05","log_ell",-1.06475966103836,"ell",0.344810716258907
"mixture","multistart_eb","matern05","log_sigma_f",-1.59486747841085,"sigma_f",0.202935420045008
"mixture","multistart_eb","matern05","log_sigma_n",-8.56665858246812,"sigma_n",0.000190347619244175
"mixture","multistart_eb","matern15","log_ell",-1.19618068529492,"ell",0.302346766979059
"mixture","multistart_eb","matern15","log_sigma_f",-1.63096932891794,"sigma_f",0.195739745942666
"mixture","multistart_eb","matern15","log_sigma_n",-8.28823707198839,"sigma_n",0.000251457373466453
"mixture","multistart_eb","matern25","log_ell",-1.26695396115214,"ell",0.281688349959265
"mixture","multistart_eb","matern25","log_sigma_f",-1.63073552362528,"sigma_f",0.195785516281717
