"source","max_abs_u","eta","sigma_noise"
"spike",0.00222890794398885,0.1,0.000222890794398885
"mixture",0.0209304304944129,0.1,0.00209304304944129
"dipole",0.00581310412289455,0.1,0.000581310412289455
"ring",0.0170605227952457,0.1,0.00170605227952457
"edge",0.0491841127174942,0.1,0.00491841127174942
"sine",0.0283323242111421,0.1,0.00283323242111421
