"source","max_abs_u","eta","sigma_noise"
"spike",0.00222890794398885,0.01,2.22890794398885e-05
"mixture",0.0209304304944129,0.01,0.000209304304944129
"dipole",0.00581310412289455,0.01,5.81310412289455e-05
"ring",0.0170605227952457,0.01,0.000170605227952457
"edge",0.0491841127174942,0.01,0.000491841127174942
"sine",0.0283323242111421,0.01,0.000283323242111421
