"source","hyper_method","kernel","parameter","optimizer_value","natural_parameter","natural_value"
"spike","multistart_eb","rbf","log_ell",-2.58265883838175,"ell",0.0755728007945764
"spike","multistart_eb","rbf","log_sigma_f",-3.14284040275232,"sigma_f",0.0431600317588611
"spike","multistart_eb","rbf","log_sigma_n",-15.3165838966498,"sigma_n",2.22890794398885e-07
"spike","multistart_eb","matern05","log_ell",-2.62461973014844,"ell",0.0724673089281513
"spike","multistart_eb","matern05","log_sigma_f",-2.99499070811449,"sigma_f",0.0500370920233566
"spike","multistart_eb","matern05","log_sigma_n",-15.3165838966498,"sigma_n",2.22890794398885e-07
"spike","multistart_eb","matern15","log_ell",-2.59135501597544,"ell",0.0749184555723955
"spike","multistart_eb","matern15","log_sigma_f",-3.07493974104256,"sigma_f",0.046192411804393
"spike","multistart_eb","matern15","log_sigma_n",-15.3165838966498,"sigma_n",2.22890794398885e-07
"spike","multistart_eb","matern25","log_ell",-2.58476042536146,"ell",0.0754141447535353
"spike","multistart_eb","matern25","log_sigma_f",-3.09979632821357,"sigma_f",0.04505837857952
"spike","multistart_eb","matern25","log_sigma_n",-15.3165838966498,"sigma_n",2.22890794398885e-07
"mixture","multistart_eb","rbf","log_ell",-1.51866890469368,"ell",0.219003207162841
"mixture","multistart_eb","rbf","log_sigma_f",-1.64233863204364,"sigma_f",0.193526924392698
"mixture","multistart_eb","rbf","log_sigma_n",-8.14876130229757,"sigma_n",0.000289093237060001
"mixture","multistart_eb","matern05","log_ell",-1.03892487496356,"ell",0.353834894287876
"mixture","multistart_eb","matern05","log_sigma_f",-1.56816241312748,"sigma_f",0.208427834924002
"mixture","multistart_eb","matern05","log_sigma_n",-8.41850524924613,"sigma_n",0.000220744364155366
"mixture","multistart_eb","matern15","log_ell",-1.25767411773684,"ell",0.284314540209674
"mixture","multistart_eb","matern15","log_sigma_f",-1.61003557151237,"sigma_f",0.199880503896868
"mixture","multistart_eb","matern15","log_sigma_n",-8.2426001248328,"sigma_n",0.000263199008706525
"mixture","multistart_eb","matern25","log_ell",-1.34192573907334,"ell",0.261341907357174
"mixture","multistart_eb","matern25","log_sigma_f",-1.61926998729005,"sigma_f",0.198043220394007
"mixture","multistart_eb","matern25","log_sigma_n",-8.20405731855673,"sigma_n",0.000273541470542447
"dipole","multistart_eb","rbf","log_ell",-2.28782284031461,"ell",0.101487175289128
"dipole","multistart_eb","rbf","log_sigma_f",-1.79495015947506,"sigma_f",0.166135732432606
"dipole","multistart_eb","rbf","log_sigma_n",-14.3579809503241,"sigma_n",5.81310412289455e-07
"dipole","multistart_eb","matern05","log_ell",-2.14330336739005,"ell",0.117266827082503
"dipole","multistart_eb","matern05","log_sigma_f",-1.65935752244699,"sigma_f",0.19026117937913
"dipole","multistart_eb","matern05","log_sigma_n",-14.3579809503241,"sigma_n",5.81310412289455e-07
"dipole","multistart_eb","matern15","log_ell",-2.15090585480747,"ell",0.116378687816629
"dipole","multistart_eb","matern15","log_sigma_f",-1.73796330341922,"sigma_f",0.175878246705043
"dipole","multistart_eb","matern15","log_sigma_n",-14.3579809503241,"sigma_n",5.81310412289455e-07
"dipole","multistart_eb","matern25","log_ell",-2.17787722650719,"ell",0.113281747077618
"dipole","multistart_eb","matern25","log_sigma_f",-1.7570623467908,"sigma_f",0.172551015053782
"dipole","multistart_eb","matern25","log_sigma_n",-14.3579809503241,"sigma_n",5.81310412289455e-07
"ring","multistart_eb","rbf","log_ell",-2.10785574202834,"ell",0.121498210825216
"ring","multistart_eb","rbf","log_sigma_f",-1.55884731995763,"sigma_f",0.210378430510756
"ring","multistart_eb","rbf","log_sigma_n",-7.88496917921873,"sigma_n",0.000376358211017255
"ring","multistart_eb","matern05","log_ell",-1.88629742028128,"ell",0.151632201060074
"ring","multistart_eb","matern05","log_sigma_f",-1.42109688860501,"sigma_f",0.241449028903954
"ring","multistart_eb","matern05","log_sigma_n",-8.04146626586215,"sigma_n",0.000321836705810855
"ring","multistart_eb","matern15","log_ell",-1.98003694462978,"ell",0.138064136488262
"ring","multistart_eb","matern15","log_sigma_f",-1.51544481169365,"sigma_f",0.2197104333389
"ring","multistart_eb","matern15","log_sigma_n",-7.93105465080669,"sigma_n",0.000359407163922639
"ring","multistart_eb","matern25","log_ell",-2.0186261658759,"ell",0.132837836930448
