"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,5.89,355.638256082817,NA,355.638256082817,NA,NA,NA
"spike","multistart_eb","matern05",0,12.34,355.246838343964,NA,355.246838343964,NA,NA,NA
"spike","multistart_eb","matern15",0,13.59,355.54422018931,NA,355.54422018931,NA,NA,NA
"spike","multistart_eb","matern25",0,14.02,355.597943237427,NA,355.597943237427,NA,NA,NA
"mixture","multistart_eb","rbf",0,4.7,296.409547639832,NA,296.409547639832,NA,NA,NA
"mixture","multistart_eb","matern05",0,4.47,295.698954871609,NA,295.698954871609,NA,NA,NA
"mixture","multistart_eb","matern15",0,4.86,296.48143813058,NA,296.48143813058,NA,NA,NA
"mixture","multistart_eb","matern25",0,4.70000000000001,296.59401107673,NA,296.59401107673,NA,NA,NA
"dipole","multistart_eb","rbf",0,14.36,295.874699805111,NA,295.874699805111,NA,NA,NA
"dipole","multistart_eb","matern05",0,10.36,291.970158498361,NA,291.970158498361,NA,NA,NA
"dipole","multistart_eb","matern15",0,10.87,294.28245464019,NA,294.28245464019,NA,NA,NA
"dipole","multistart_eb","matern25",0,11.58,294.927117117279,NA,294.927117117279,NA,NA,NA
"ring","multistart_eb","rbf",0,9.88,275.402949924478,NA,275.402949924478,NA,NA,NA
"ring","multistart_eb","matern05",0,6.06,275.659299046306,NA,275.659299046306,NA,NA,NA
"ring","multistart_eb","matern15",0,5.19999999999999,275.515658275638,NA,275.515658275638,NA,NA,NA
"ring","multistart_eb","matern25",0,4.68000000000001,275.462422468154,NA,275.462422468154,NA,NA,NA
"edge","multistart_eb","rbf",0,4.46000000000001,249.048635608219,NA,249.048635608219,NA,NA,NA
"edge","multistart_eb","matern05",0,5.57999999999998,252.069795680754,NA,252.069795680754,NA,NA,NA
"edge","multistart_eb","matern15",0,4.97,251.384030709929,NA,251.384030709929,NA,NA,NA
"edge","multistart_eb","matern25",0,4.19,250.781007132004,NA,250.781007132004,NA,NA,NA
"sine","multistart_eb","rbf",0,4.93000000000001,294.776791370356,NA,294.776791370356,NA,NA,NA
"sine","multistart_eb","matern05",0,8.53,274.76689101691,NA,274.76689101691,NA,NA,NA
"sine","multistart_eb","matern15",0,4.88999999999999,286.261769008328,NA,286.261769008328,NA,NA,NA
"sine","multistart_eb","matern25",0,5.03,289.604386028738,NA,289.604386028738,NA,NA,NA
