"source","source_label","hyper_method","hyper_label","kernel","label","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","rbf","RBF",0.0442311207091798,0.0130411715860391,0.93634741225461,0.0927347838520226,0.131217653182629,0.0132109836224545,-0.65522448719392
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0456998307943333,0.0118333811575978,0.971445568114218,0.156986529382307,0.155470330160619,0.0153710405934094,-1.6302459781821
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0445505565641524,0.0126372693068474,0.957763236168947,0.12129701507108,0.14170991969066,0.0140901230391801,-1.43179740676714
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0443768114567409,0.012819248422036,0.951219512195122,0.110640877965495,0.136876487209994,0.0137487048160095,-1.25518226535151
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","rbf","RBF",0.0677598690686416,0.0338097645733515,0.917906008328376,0.14101152828664,0.027544244497323,0.0260927880414646,0.549457500321357
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.062068197617956,0.0381661301578553,0.988697204045211,0.344529820691983,0.144808521713266,0.0320800464701882,-1.23107292355452
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0642648248308823,0.0354817709747466,0.955978584176086,0.198638173048269,0.0711418054729328,0.0270226630590567,-1.01412394342511
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0654559291709224,0.0346549759098974,0.939916716240333,0.17135519462051,0.0494211035098156,0.0264046740165644,-0.62312628939611
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","rbf","RBF",0.03757526505186,0.0223670486778157,0.958953004164188,0.200626063226542,0.105421995835812,0.0206798049928824,-1.39877898042758
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0424668815049327,0.0215972621845462,0.990481856038073,0.474989723292348,0.176932257584771,0.0335556202815783,-1.12888749661202
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0358761607596617,0.020146937349267,0.980963712076145,0.30239647320615,0.162980740630577,0.0238040828010062,-1.5111765899577
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0358806782062342,0.0205245325541698,0.979179060083284,0.258766096224434,0.148926606186794,0.0219883884180349,-1.58135220030822
"ring","Ring-shaped source","multistart_eb","Multi-start EB","rbf","RBF",0.158165862176013,0.103648990019104,0.722784057108864,0.309705202967032,0.14170248364069,0.0871232179698066,1.49952829260134
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.158836436539402,0.103004312257539,0.905413444378346,0.61960954797028,0.0744657198096371,0.084710294049751,-0.380758898181129
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.157227338831164,0.103157949298552,0.819155264723379,0.423139134230137,0.0920891582391434,0.0840821740766761,0.000791292083388635
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.157463282263575,0.103301285559717,0.780487804878049,0.376580116203017,0.10740742117787,0.0849353192212166,0.347448060989305
"edge","Moving-edge source","multistart_eb","Multi-start EB","rbf","RBF",0.227370504219462,0.15852061411453,0.686496133254015,0.311902392538169,0.264769110648424,0.130142048145015,5.79896035431188
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.192405574624102,0.126547497476771,0.882807852468769,0.661206377075707,0.0761760113027959,0.100605353523826,-0.19092004792741
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.206629159391421,0.138385281940344,0.76918500892326,0.397984000309075,0.129358640690065,0.110920307582296,1.2383048804701
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.213211470278278,0.144987059393536,0.739440809042237,0.354311345313605,0.179626338488995,0.117149697420005,2.47096800628433
"sine","Sine-cosine source","multistart_eb","Multi-start EB","rbf","RBF",0.0444181117824567,0.0364766394274185,0.646044021415824,0.107951730431149,0.2989749405116,0.027029361356873,-1.03658966537409
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.062562037204741,0.0511239797551123,0.99940511600238,0.51664426596795,0.167116671624033,0.0419476372290529,-1.00864181058444
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0502508146021005,0.0415749448370178,0.942891136228435,0.206607116025737,0.0285258030933968,0.0292382387052808,-1.53528900149711
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0456286698597582,0.0379065577003155,0.864961332540155,0.15665718802216,0.115676308744795,0.0269950077648713,-1.54077670193757
