"retained_draws","RMSE","mean_within_variance","mean_between_variance","mean_total_variance","mean_interval_width","mean_abs_change_from_Smax","mean_abs_sd_change_from_Smax","source"
120,0.0462028916768191,0.00171316495407278,6.86274120760574e-06,0.00172002769528038,0.16166843365644,1.9974900750754e-05,3.176032925018e-05,"spike"
240,0.0462012807644989,0.00174246083650156,7.5301487466161e-06,0.00174999098524818,0.163084631957985,3.45089936983447e-05,0.00032964552136327,"spike"
480,0.0462113253199439,0.0017152463983371,7.37435308252834e-06,0.00172262075141962,0.161792818720394,0,0,"spike"
