"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,5.45,317.716099786129,NA,317.716099786129,NA,NA,NA
"spike","multistart_eb","matern05",0,4.74,317.715334441211,NA,317.715334441211,NA,NA,NA
"spike","multistart_eb","matern15",0,5.54,317.715752857088,NA,317.715752857088,NA,NA,NA
"spike","multistart_eb","matern25",0,5.64,317.715784048029,NA,317.715784048029,NA,NA,NA
"mixture","multistart_eb","rbf",0,2.51,221.689694161052,NA,221.689694161052,NA,NA,NA
"mixture","multistart_eb","matern05",0,1.99,221.862355527974,NA,221.862355527974,NA,NA,NA
"mixture","multistart_eb","matern15",0,1.8,221.782413218657,NA,221.782413218657,NA,NA,NA
"mixture","multistart_eb","matern25",0,2.06,221.73438066606,NA,221.73438066606,NA,NA,NA
"dipole","multistart_eb","rbf",0,2.56,269.189650960968,NA,269.189650960968,NA,NA,NA
"dipole","multistart_eb","matern05",0,4.51,269.055814065767,NA,269.055814065767,NA,NA,NA
"dipole","multistart_eb","matern15",0,2.91,269.123089477852,NA,269.123089477852,NA,NA,NA
"dipole","multistart_eb","matern25",0,2.86000000000001,269.143727340592,NA,269.143727340592,NA,NA,NA
"ring","multistart_eb","rbf",0,1.95,228.114966991271,NA,228.114966991271,NA,NA,NA
"ring","multistart_eb","matern05",0,2.13999999999999,227.804434954456,NA,227.804434954456,NA,NA,NA
"ring","multistart_eb","matern15",0,2.35,227.943095030027,NA,227.943095030027,NA,NA,NA
"ring","multistart_eb","matern25",0,2.03,227.999219679516,NA,227.999219679516,NA,NA,NA
"edge","multistart_eb","rbf",0,1.6,183.846489078227,NA,183.846489078227,NA,NA,NA
"edge","multistart_eb","matern05",0,1.97,184.059749493537,NA,184.059749493537,NA,NA,NA
"edge","multistart_eb","matern15",0,1.78,183.961756992992,NA,183.961756992992,NA,NA,NA
"edge","multistart_eb","matern25",0,1.7,183.924600934602,NA,183.924600934602,NA,NA,NA
"sine","multistart_eb","rbf",0,1.88,199.286404863318,NA,199.286404863318,NA,NA,NA
"sine","multistart_eb","matern05",0,1.64,198.839591240196,NA,198.839591240196,NA,NA,NA
"sine","multistart_eb","matern15",0,1.64000000000001,199.052489775825,NA,199.052489775825,NA,NA,NA
"sine","multistart_eb","matern25",0,1.61,199.132256711037,NA,199.132256711037,NA,NA,NA
