"source","source_label","hyper_method","hyper_label","kernel","label","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","rbf","RBF",0.0537040095636519,0.0219109657496315,0.992266508030934,0.434562711280974,0.18213749256395,0.0318275432137209,-1.16234346297243
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0569754563833236,0.0124280405489004,0.992266508030934,0.466260227351019,0.186301680547293,0.0326554445814045,-1.09595933956773
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.057165463873253,0.0133009813422117,0.992266508030934,0.472033770456574,0.185855517549078,0.0331355358955275,-1.0859392207042
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.05609047758525,0.0152003863122596,0.992266508030934,0.466708805292478,0.185558075550268,0.0328986378458449,-1.0989097659903
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","rbf","RBF",0.143634765509529,0.100592122978034,0.759666864961333,0.312318445744366,0.173231335514575,0.0765694871036845,0.30961817292357
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.150715346470151,0.116032561761285,0.992861392028554,0.783498660572905,0.0860637269482451,0.085207893669502,-0.413368532695098
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.142971966221014,0.105732622198625,0.945270672218917,0.496499817068573,0.0203216091612136,0.076751786689073,-0.500294138681736
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.140697368752571,0.101595161134422,0.877453896490184,0.423439263230453,0.0634752379535991,0.0749664119242659,-0.406570194705055
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","rbf","RBF",0.0939321539054313,0.073388414989186,0.98691255205235,0.538429828785568,0.0934997769185009,0.0559533019617102,-0.806701215232613
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.099539281362228,0.0744821976690692,0.99940511600238,1.07078181051172,0.179088712076145,0.0783095868976587,-0.306120911996113
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.104181610086167,0.0811117622242933,0.995240928019036,0.818730158770851,0.145403405710886,0.0695742625846737,-0.50366292139682
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.102172245731782,0.0800365791047508,0.991671624033314,0.719974442795412,0.12748252528257,0.0652844801224176,-0.598393044848372
"ring","Ring-shaped source","multistart_eb","Multi-start EB","rbf","RBF",0.235786210676096,0.173620137726519,0.437239738251041,0.226924878159721,0.463906528851874,0.149382237801337,18.7062267227825
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.23838978897285,0.177602584750292,0.746579417013682,0.408535122498376,0.255250966686496,0.13819221414197,1.9941923893777
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.237514507596574,0.176277548586639,0.522308149910767,0.2841749223891,0.405607897085068,0.146227587225913,7.53717337664145
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.237062938234495,0.175605983643267,0.478286734086853,0.258500715291869,0.434757212968471,0.147991357502307,10.9037965502128
"edge","Moving-edge source","multistart_eb","Multi-start EB","rbf","RBF",0.326464575032712,0.251793353832297,0.800713860797145,0.764993763559784,0.166910693039857,0.187718377435842,1.15724055041778
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.315723736778761,0.249953978970726,0.947650208209399,1.26045480190581,0.0164199137418203,0.176674390164012,0.279150578249453
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.315969803426009,0.244880112119795,0.876264128494944,0.897090759523821,0.0996888013087448,0.178406898635549,0.541523964775583
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.317914637677246,0.245453898667001,0.854253420582986,0.830272575849582,0.126235499702558,0.180789728568405,0.740220489364594
"sine","Sine-cosine source","multistart_eb","Multi-start EB","rbf","RBF",0.186411436404464,0.150538911280672,0.940511600237954,0.727184741687719,0.0210153926234384,0.104999228411172,-0.280485247143802
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.218049734598347,0.174316999604289,1,1.72172743023512,0.157375446162998,0.143473712382467,0.215752583493006
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.201278967558169,0.163744788424192,0.993456276026175,1.10514227879429,0.089781751933373,0.11775804833656,-0.100324881427275
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.195805532748715,0.160011857231097,0.981558596073766,0.959357994390464,0.0592195865556217,0.112548770458733,-0.177683872300809
