"source","hyper_method","kernel","label","nominal","empirical","mean_width"
"dipole","multistart_eb","rbf","RBF",0.6,0.76977989292088,0.231205256968691
"dipole","multistart_eb","rbf","RBF",0.7,0.855443188578227,0.284722911673168
"dipole","multistart_eb","rbf","RBF",0.8,0.918500892325996,0.352060341648566
"dipole","multistart_eb","rbf","RBF",0.9,0.970850684116597,0.451864556554408
"dipole","multistart_eb","rbf","RBF",0.95,0.98691255205235,0.538429828785568
"dipole","multistart_eb","rbf","RBF",0.975,0.992266508030934,0.615745032247134
"dipole","multistart_eb","rbf","RBF",0.99,0.994051160023795,0.707616742874053
"dipole","multistart_eb","matern05","Matern 0.5",0.5,0.930398572278406,0.368492156786262
"dipole","multistart_eb","matern05","Matern 0.5",0.6,0.955978584176086,0.459800647031684
"dipole","multistart_eb","matern05","Matern 0.5",0.7,0.976204640095181,0.566231844070031
"dipole","multistart_eb","matern05","Matern 0.5",0.8,0.989292088042832,0.700146592714054
"dipole","multistart_eb","matern05","Matern 0.5",0.9,0.996430696014277,0.898628423066249
"dipole","multistart_eb","matern05","Matern 0.5",0.95,0.99940511600238,1.07078181051172
"dipole","multistart_eb","matern05","Matern 0.5",0.975,1,1.22453947607306
"dipole","multistart_eb","matern05","Matern 0.5",0.99,1,1.40724584072931
"dipole","multistart_eb","matern15","Matern 1.5",0.5,0.808447352766211,0.281752677407968
"dipole","multistart_eb","matern15","Matern 1.5",0.6,0.886377156454491,0.35156803473089
"dipole","multistart_eb","matern15","Matern 1.5",0.7,0.937537180249851,0.432946360356103
"dipole","multistart_eb","matern15","Matern 1.5",0.8,0.966686496133254,0.53533887612613
"dipole","multistart_eb","matern15","Matern 1.5",0.9,0.98691255205235,0.68710000886308
"dipole","multistart_eb","matern15","Matern 1.5",0.95,0.995240928019036,0.818730158770851
"dipole","multistart_eb","matern15","Matern 1.5",0.975,0.997025580011898,0.936294761289739
"dipole","multistart_eb","matern15","Matern 1.5",0.99,1,1.07599381993547
"dipole","multistart_eb","matern25","Matern 2.5",0.5,0.754312908982748,0.247767502821028
"dipole","multistart_eb","matern25","Matern 2.5",0.6,0.839381320642475,0.309161690452513
"dipole","multistart_eb","matern25","Matern 2.5",0.7,0.915526472337894,0.380724114310939
"dipole","multistart_eb","matern25","Matern 2.5",0.8,0.958358120166568,0.470765984270414
"dipole","multistart_eb","matern25","Matern 2.5",0.9,0.981558596073766,0.604221599420005
"dipole","multistart_eb","matern25","Matern 2.5",0.95,0.991671624033314,0.719974442795412
"dipole","multistart_eb","matern25","Matern 2.5",0.975,0.995240928019036,0.82335833342682
"dipole","multistart_eb","matern25","Matern 2.5",0.99,0.998810232004759,0.946206808995991
"ring","multistart_eb","rbf","RBF",0.5,0.138607971445568,0.0780925086330832
"ring","multistart_eb","rbf","RBF",0.6,0.186198691255205,0.0974430129286207
"ring","multistart_eb","rbf","RBF",0.7,0.239143367043427,0.119998388994243
"ring","multistart_eb","rbf","RBF",0.8,0.298036882807852,0.14837820243664
"ring","multistart_eb","rbf","RBF",0.9,0.378346222486615,0.190441361081505
"ring","multistart_eb","rbf","RBF",0.95,0.437239738251041,0.226924878159721
"ring","multistart_eb","rbf","RBF",0.975,0.488399762046401,0.259509891447306
"ring","multistart_eb","rbf","RBF",0.99,0.537775133848899,0.298229842731137
"ring","multistart_eb","matern05","Matern 0.5",0.5,0.212968471148126,0.140590722530506
"ring","multistart_eb","matern05","Matern 0.5",0.6,0.271267102914932,0.175427628500853
"ring","multistart_eb","matern05","Matern 0.5",0.7,0.377751338488995,0.216034297098381
"ring","multistart_eb","matern05","Matern 0.5",0.8,0.48720999405116,0.267126758423887
"ring","multistart_eb","matern05","Matern 0.5",0.9,0.641879833432481,0.342853482655301
"ring","multistart_eb","matern05","Matern 0.5",0.95,0.746579417013682,0.408535122498376
"ring","multistart_eb","matern05","Matern 0.5",0.975,0.810232004759072,0.467198247066344
"ring","multistart_eb","matern05","Matern 0.5",0.99,0.825104104699584,0.536906161725826
