"source","hyper_method","kernel","parameter","optimizer_value","natural_parameter","natural_value"
"spike","multistart_eb","rbf","log_ell",-2.6260643121075,"ell",0.0723626995376628
"spike","multistart_eb","rbf","log_sigma_f",-3.10337005356256,"sigma_f",0.0448976396991849
"spike","multistart_eb","rbf","log_sigma_n",-15.3165838966498,"sigma_n",2.22890794398885e-07
"spike","multistart_eb","matern05","log_ell",-2.66376745580732,"ell",0.0696851907004648
"spike","multistart_eb","matern05","log_sigma_f",-2.9544834257521,"sigma_f",0.0521055700206488
"spike","multistart_eb","matern05","log_sigma_n",-15.3165838966498,"sigma_n",2.22890794398885e-07
"spike","multistart_eb","matern15","log_ell",-2.62986036112983,"ell",0.0720885278965589
"spike","multistart_eb","matern15","log_sigma_f",-3.03357278708172,"sigma_f",0.0481433246413177
"spike","multistart_eb","matern15","log_sigma_n",-15.3165838966498,"sigma_n",2.22890794398885e-07
"spike","multistart_eb","matern25","log_ell",-2.62411438538917,"ell",0.0725039391576043
"spike","multistart_eb","matern25","log_sigma_f",-3.05848667060664,"sigma_f",0.046958705464745
"spike","multistart_eb","matern25","log_sigma_n",-15.3165838966498,"sigma_n",2.22890794398885e-07
"mixture","multistart_eb","rbf","log_ell",-1.53212444736014,"ell",0.216076136986031
"mixture","multistart_eb","rbf","log_sigma_f",-1.71594854954589,"sigma_f",0.179793097142801
"mixture","multistart_eb","rbf","log_sigma_n",-8.08274115054844,"sigma_n",0.00030882334284732
"mixture","multistart_eb","matern05","log_ell",-1.02120711838245,"ell",0.360159922004214
"mixture","multistart_eb","matern05","log_sigma_f",-1.60739023346121,"sigma_f",0.200409955379838
"mixture","multistart_eb","matern05","log_sigma_n",-8.30356345176651,"sigma_n",0.000247632825365606
"mixture","multistart_eb","matern15","log_ell",-1.24022981059653,"ell",0.289317722020326
"mixture","multistart_eb","matern15","log_sigma_f",-1.66180391586819,"sigma_f",0.189796294559026
"mixture","multistart_eb","matern15","log_sigma_n",-8.1567129412223,"sigma_n",0.000286803587321571
"mixture","multistart_eb","matern25","log_ell",-1.33409372386563,"ell",0.263396777533362
"mixture","multistart_eb","matern25","log_sigma_f",-1.67864985195511,"sigma_f",0.18662577844579
"mixture","multistart_eb","matern25","log_sigma_n",-8.12616915390223,"sigma_n",0.000295698810461502
"dipole","multistart_eb","rbf","log_ell",-2.33424262709966,"ell",0.0968838319353161
"dipole","multistart_eb","rbf","log_sigma_f",-1.80480414674682,"sigma_f",0.164506672589243
"dipole","multistart_eb","rbf","log_sigma_n",-9.86909048804417,"sigma_n",5.17497742553293e-05
"dipole","multistart_eb","matern05","log_ell",-2.17855649848977,"ell",0.113204824089463
"dipole","multistart_eb","matern05","log_sigma_f",-1.65740618007927,"sigma_f",0.190632806547383
"dipole","multistart_eb","matern05","log_sigma_n",-14.3579809503241,"sigma_n",5.81310412289455e-07
"dipole","multistart_eb","matern15","log_ell",-2.20693904937866,"ell",0.110036951224159
"dipole","multistart_eb","matern15","log_sigma_f",-1.73889242388352,"sigma_f",0.175714910518052
"dipole","multistart_eb","matern15","log_sigma_n",-14.3579809503241,"sigma_n",5.81310412289455e-07
"dipole","multistart_eb","matern25","log_ell",-2.24127157150075,"ell",0.106323220808666
"dipole","multistart_eb","matern25","log_sigma_f",-1.76063419636174,"sigma_f",0.171935788187699
"dipole","multistart_eb","matern25","log_sigma_n",-14.3579809503241,"sigma_n",5.81310412289455e-07
"ring","multistart_eb","rbf","log_ell",-2.10530745108172,"ell",0.121808218442936
"ring","multistart_eb","rbf","log_sigma_f",-1.49793080318178,"sigma_f",0.223592338369806
"ring","multistart_eb","rbf","log_sigma_n",-8.4454638417717,"sigma_n",0.000214872905513902
"ring","multistart_eb","matern05","log_ell",-1.93997614552168,"ell",0.143707377801344
"ring","multistart_eb","matern05","log_sigma_f",-1.35867197004029,"sigma_f",0.257001856586688
"ring","multistart_eb","matern05","log_sigma_n",-13.2813284648599,"sigma_n",1.70605227952457e-06
"ring","multistart_eb","matern15","log_ell",-2.00297941751602,"ell",0.134932663007919
"ring","multistart_eb","matern15","log_sigma_f",-1.45225504667439,"sigma_f",0.234041917120232
"ring","multistart_eb","matern15","log_sigma_n",-8.68240342368172,"sigma_n",0.000169543093641948
"ring","multistart_eb","matern25","log_ell",-2.03006334355431,"ell",0.131327202153256
"ring","multistart_eb","matern25","log_sigma_f",-1.47329408190501,"sigma_f",0.229169337895769
"ring","multistart_eb","matern25","log_sigma_n",-8.5710698749444,"sigma_n",0.000189509789538111
"edge","multistart_eb","rbf","log_ell",-1.52971234338537,"ell",0.216597964192637
"edge","multistart_eb","rbf","log_sigma_f",-0.660652446068712,"sigma_f",0.516514226854637
"edge","multistart_eb","rbf","log_sigma_n",-7.45704536668042,"sigma_n",0.000577359539567038
"edge","multistart_eb","matern05","log_ell",-0.12292580223508,"ell",0.884329275382315
"edge","multistart_eb","matern05","log_sigma_f",-0.48238553140535,"sigma_f",0.617309023866579
"edge","multistart_eb","matern05","log_sigma_n",-7.68927603994608,"sigma_n",0.000457709415149968
"edge","multistart_eb","matern15","log_ell",-0.98855214501739,"ell",0.37211506983874
"edge","multistart_eb","matern15","log_sigma_f",-0.594572882413342,"sigma_f",0.551798198257641
"edge","multistart_eb","matern15","log_sigma_n",-7.53390610930648,"sigma_n",0.000534645787752578
"edge","multistart_eb","matern25","log_ell",-1.19483081923734,"ell",0.302755170200231
"edge","multistart_eb","matern25","log_sigma_f",-0.623601546559588,"sigma_f",0.536010490347191
"edge","multistart_eb","matern25","log_sigma_n",-7.50250473628892,"sigma_n",0.00055170077315125
"sine","multistart_eb","rbf","log_ell",-1.22612591542066,"ell",0.293427140125133
"sine","multistart_eb","rbf","log_sigma_f",-0.627131256122617,"sigma_f",0.534121864105424
"sine","multistart_eb","rbf","log_sigma_n",-8.03992296375731,"sigma_n",0.000322333780545929
"sine","multistart_eb","matern05","log_ell",-0.186043375176402,"ell",0.830237582499318
"sine","multistart_eb","matern05","log_sigma_f",-0.524909347811787,"sigma_f",0.591608992585765
"sine","multistart_eb","matern05","log_sigma_n",-12.7740922998477,"sigma_n",2.83323242111421e-06
"sine","multistart_eb","matern15","log_ell",-0.790092584082964,"ell",0.453802778423253
"sine","multistart_eb","matern15","log_sigma_f",-0.504416576271378,"sigma_f",0.603857777631672
"sine","multistart_eb","matern15","log_sigma_n",-8.36730349985147,"sigma_n",0.000232341217935856
"sine","multistart_eb","matern25","log_ell",-0.934242060089388,"ell",0.392883534820814
"sine","multistart_eb","matern25","log_sigma_f",-0.520174796612594,"sigma_f",0.59441663687421
"sine","multistart_eb","matern25","log_sigma_n",-8.17859674647949,"sigma_n",0.000280595410492423
