"source","source_label","RMSE","MAE","delta","tau","residual_norm","target_norm","discrepancy_ratio","discrepancy_status"
"spike","Hidden narrow spike",0.0483612846386886,0.0109458844072763,1.07454549638148e-06,1.05,0.000163824733883179,0.00016382473388318,1.04999999999999,"root located"
"mixture","Broad plus sharp source",0.0624492390672961,0.0289698320103387,4.93172415469768e-06,1.05,0.00153838664133934,0.00153838664133935,1.04999999999999,"root located"
"dipole","Positive-negative dipole",0.06203598842733,0.0299104652625796,7.10460154641809e-07,1.05,0.00042726315303276,0.000427263153032749,1.05000000000003,"root located"
"ring","Ring-shaped source",0.185692657106806,0.113524281972416,2.14732942350153e-06,1.05,0.00125394842545052,0.00125394842545056,1.04999999999997,"root located"
"edge","Moving-edge source",0.298207197837512,0.196830576380504,2.77400217293578e-06,1.05,0.0036150322847358,0.00361503228473583,1.04999999999999,"root located"
"sine","Sine-cosine source",0.190392995104805,0.107043300707809,1.76800264199454e-06,1.05,0.00208242582951895,0.00208242582951895,1.05,"root located"
