"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,5.4,354.929718775207,NA,354.929718775207,NA,NA,NA
"spike","multistart_eb","matern05",0,5.19,354.44010363291,NA,354.44010363291,NA,NA,NA
"spike","multistart_eb","matern15",0,5.65,354.804940336359,NA,354.804940336359,NA,NA,NA
"spike","multistart_eb","matern25",0,5.02,354.873765661973,NA,354.873765661973,NA,NA,NA
"mixture","multistart_eb","rbf",0,1.79,297.880748536922,NA,297.880748536922,NA,NA,NA
"mixture","multistart_eb","matern05",0,2.01,295.103232117913,NA,295.103232117913,NA,NA,NA
"mixture","multistart_eb","matern15",0,1.92,296.552403974397,NA,296.552403974397,NA,NA,NA
"mixture","multistart_eb","matern25",0,1.82,297.040984582953,NA,297.040984582953,NA,NA,NA
"dipole","multistart_eb","rbf",0,5.3,294.668342340608,NA,294.668342340608,NA,NA,NA
"dipole","multistart_eb","matern05",0,4.2,290.623204803963,NA,290.623204803963,NA,NA,NA
"dipole","multistart_eb","matern15",0,4.33,292.813609874735,NA,292.813609874735,NA,NA,NA
"dipole","multistart_eb","matern25",0,4.28,293.466777126605,NA,293.466777126605,NA,NA,NA
"ring","multistart_eb","rbf",0,2.81,277.166827304547,NA,277.166827304547,NA,NA,NA
"ring","multistart_eb","matern05",0,2.27,277.209691344187,NA,277.209691344187,NA,NA,NA
"ring","multistart_eb","matern15",0,1.86,277.170642678769,NA,277.170642678769,NA,NA,NA
"ring","multistart_eb","matern25",0,1.95,277.146948728594,NA,277.146948728594,NA,NA,NA
"edge","multistart_eb","rbf",0,1.36,252.581060546284,NA,252.581060546284,NA,NA,NA
"edge","multistart_eb","matern05",0,2.24,256.992165983291,NA,256.992165983291,NA,NA,NA
"edge","multistart_eb","matern15",0,1.77,255.67130524299,NA,255.67130524299,NA,NA,NA
"edge","multistart_eb","matern25",0,1.47,254.819144882288,NA,254.819144882288,NA,NA,NA
"sine","multistart_eb","rbf",0,1.84,282.739469472433,NA,282.739469472433,NA,NA,NA
"sine","multistart_eb","matern05",0,4.33000000000001,268.957785538005,NA,268.957785538005,NA,NA,NA
"sine","multistart_eb","matern15",0,2.05000000000001,276.465936270901,NA,276.465936270901,NA,NA,NA
"sine","multistart_eb","matern25",0,1.76000000000001,278.811861095681,NA,278.811861095681,NA,NA,NA
