"source","hyper_method","kernel","label","nominal","empirical","mean_width"
"spike","multistart_eb","rbf","RBF",0.5,0.834622248661511,0.0308329030740329
"spike","multistart_eb","rbf","RBF",0.6,0.866745984533016,0.0384729729580884
"spike","multistart_eb","rbf","RBF",0.7,0.889351576442594,0.0473784075023576
"spike","multistart_eb","rbf","RBF",0.8,0.911362284354551,0.0585834776485849
"spike","multistart_eb","rbf","RBF",0.9,0.925044616299821,0.0751910795323762
"spike","multistart_eb","rbf","RBF",0.95,0.934562760261749,0.08959569740882
"spike","multistart_eb","rbf","RBF",0.975,0.941701368233195,0.102461087110702
"spike","multistart_eb","rbf","RBF",0.99,0.950624628197501,0.117748705934358
"spike","multistart_eb","matern05","Matern 0.5",0.5,0.917906008328376,0.0574865635871545
"spike","multistart_eb","matern05","Matern 0.5",0.6,0.933967876264128,0.0717311308971316
"spike","multistart_eb","matern05","Matern 0.5",0.7,0.943486020226056,0.0883349138095336
"spike","multistart_eb","matern05","Matern 0.5",0.8,0.957168352171327,0.109226264063286
"spike","multistart_eb","matern05","Matern 0.5",0.9,0.967876264128495,0.140190392203616
"spike","multistart_eb","matern05","Matern 0.5",0.95,0.973230220107079,0.167047155561726
"spike","multistart_eb","matern05","Matern 0.5",0.975,0.980963712076145,0.191034097089578
"spike","multistart_eb","matern05","Matern 0.5",0.99,0.985127900059488,0.219537176072835
"spike","multistart_eb","matern15","Matern 1.5",0.5,0.879833432480666,0.0448284218262275
"spike","multistart_eb","matern15","Matern 1.5",0.6,0.906008328375967,0.0559364344166067
"spike","multistart_eb","matern15","Matern 1.5",0.7,0.920880428316478,0.0688841797306889
"spike","multistart_eb","matern15","Matern 1.5",0.8,0.935157644259369,0.0851753998568463
"spike","multistart_eb","matern15","Matern 1.5",0.9,0.951219512195122,0.109321442186401
"spike","multistart_eb","matern15","Matern 1.5",0.95,0.959547888161808,0.130264532911927
"spike","multistart_eb","matern15","Matern 1.5",0.975,0.966686496133254,0.14896971662849
"spike","multistart_eb","matern15","Matern 1.5",0.99,0.972040452111838,0.171196615720668
"spike","multistart_eb","matern25","Matern 2.5",0.5,0.85901249256395,0.0411377607785448
"spike","multistart_eb","matern25","Matern 2.5",0.6,0.891731112433076,0.0513312662835888
"spike","multistart_eb","matern25","Matern 2.5",0.7,0.911362284354551,0.0632130418994462
"spike","multistart_eb","matern25","Matern 2.5",0.8,0.927424152290303,0.0781630287390091
"spike","multistart_eb","matern25","Matern 2.5",0.9,0.944675788221297,0.100321161295009
"spike","multistart_eb","matern25","Matern 2.5",0.95,0.953599048185604,0.119540036756871
"spike","multistart_eb","matern25","Matern 2.5",0.975,0.960737656157049,0.136705248952686
"spike","multistart_eb","matern25","Matern 2.5",0.99,0.966091612135634,0.157102238640329
"mixture","multistart_eb","rbf","RBF",0.5,0.571088637715645,0.0449990767341459
"mixture","multistart_eb","rbf","RBF",0.6,0.650208209399167,0.0561493758202022
"mixture","multistart_eb","rbf","RBF",0.7,0.732302201070791,0.069146411209516
"mixture","multistart_eb","rbf","RBF",0.8,0.787031528851874,0.0854996495053355
"mixture","multistart_eb","rbf","RBF",0.9,0.842950624628197,0.109737612104721
"mixture","multistart_eb","rbf","RBF",0.95,0.87150505651398,0.13076042995589
"mixture","multistart_eb","rbf","RBF",0.975,0.889946460440214,0.14953682143027
"mixture","multistart_eb","rbf","RBF",0.99,0.908387864366449,0.171848334909111
"mixture","multistart_eb","matern05","Matern 0.5",0.5,0.839976204640095,0.112883306662146
"mixture","multistart_eb","matern05","Matern 0.5",0.6,0.899464604402142,0.140854605685507
"mixture","multistart_eb","matern05","Matern 0.5",0.7,0.941106484235574,0.173458570878361
"mixture","multistart_eb","matern05","Matern 0.5",0.8,0.96192742415229,0.214481803963172
"mixture","multistart_eb","matern05","Matern 0.5",0.9,0.979179060083284,0.275284415117544
"mixture","multistart_eb","matern05","Matern 0.5",0.95,0.990481856038073,0.328021612558646
"mixture","multistart_eb","matern05","Matern 0.5",0.975,0.991671624033314,0.375123493544632
"mixture","multistart_eb","matern05","Matern 0.5",0.99,0.992266508030934,0.431093473395739
"mixture","multistart_eb","matern15","Matern 1.5",0.5,0.71743010113028,0.0644700547614713
"mixture","multistart_eb","matern15","Matern 1.5",0.6,0.797739440809042,0.0804450579139105
"mixture","multistart_eb","matern15","Matern 1.5",0.7,0.848304580606782,0.0990658751417007
"mixture","multistart_eb","matern15","Matern 1.5",0.8,0.88518738845925,0.122495115138949
"mixture","multistart_eb","matern15","Matern 1.5",0.9,0.92266508030934,0.157220778185789
"mixture","multistart_eb","matern15","Matern 1.5",0.95,0.941701368233195,0.18734011210263
"mixture","multistart_eb","matern15","Matern 1.5",0.975,0.953004164187983,0.214240997063622
"mixture","multistart_eb","matern15","Matern 1.5",0.99,0.963712076145152,0.246206641698741
"mixture","multistart_eb","matern25","Matern 2.5",0.5,0.658536585365854,0.0553002586746416
"mixture","multistart_eb","matern25","Matern 2.5",0.6,0.745984533016062,0.0690030825659291
"mixture","multistart_eb","matern25","Matern 2.5",0.7,0.82034503271862,0.0849753973598265
"mixture","multistart_eb","matern25","Matern 2.5",0.8,0.854253420582986,0.105072216529466
"mixture","multistart_eb","matern25","Matern 2.5",0.9,0.898274836406901,0.134858729915311
"mixture","multistart_eb","matern25","Matern 2.5",0.95,0.922070196311719,0.160694088096279
"mixture","multistart_eb","matern25","Matern 2.5",0.975,0.934562760261749,0.183768768309032
"mixture","multistart_eb","matern25","Matern 2.5",0.99,0.947055324211779,0.211187830128725
"dipole","multistart_eb","rbf","RBF",0.5,0.747174301011303,0.0684021932387102
"dipole","multistart_eb","rbf","RBF",0.6,0.80785246876859,0.0853515390499563
"dipole","multistart_eb","rbf","RBF",0.7,0.855443188578227,0.10510807164467
"dipole","multistart_eb","rbf","RBF",0.8,0.892325996430696,0.129966300905639
"dipole","multistart_eb","rbf","RBF",0.9,0.928019036287924,0.166809941303659
"dipole","multistart_eb","rbf","RBF",0.95,0.943486020226056,0.198766304710259
"dipole","multistart_eb","rbf","RBF",0.975,0.960142772159429,0.227307920475937
"dipole","multistart_eb","rbf","RBF",0.99,0.9738251041047,0.261223204237074
"dipole","multistart_eb","matern05","Matern 0.5",0.5,0.959547888161808,0.169253252351097
"dipole","multistart_eb","matern05","Matern 0.5",0.6,0.966091612135634,0.211192432484774
"dipole","multistart_eb","matern05","Matern 0.5",0.7,0.970255800118977,0.260077669032182
"dipole","multistart_eb","matern05","Matern 0.5",0.8,0.979773944080904,0.321586459187863
"dipole","multistart_eb","matern05","Matern 0.5",0.9,0.983938132064248,0.412751751857018
"dipole","multistart_eb","matern05","Matern 0.5",0.95,0.991671624033314,0.491824047404697
"dipole","multistart_eb","matern05","Matern 0.5",0.975,0.995240928019036,0.562446948030674
"dipole","multistart_eb","matern05","Matern 0.5",0.99,0.998810232004759,0.646366363610674
"dipole","multistart_eb","matern15","Matern 1.5",0.5,0.904818560380726,0.109315815852706
"dipole","multistart_eb","matern15","Matern 1.5",0.6,0.939321832242713,0.13640312808347
"dipole","multistart_eb","matern15","Matern 1.5",0.7,0.965496728138013,0.167976698706781
"dipole","multistart_eb","matern15","Matern 1.5",0.8,0.972635336109459,0.207703460140193
"dipole","multistart_eb","matern15","Matern 1.5",0.9,0.979179060083284,0.266584505007245
"dipole","multistart_eb","matern15","Matern 1.5",0.95,0.983343248066627,0.317655030264923
"dipole","multistart_eb","matern15","Matern 1.5",0.975,0.985722784057109,0.363268333953755
"dipole","multistart_eb","matern15","Matern 1.5",0.99,0.989886972040452,0.417469474862883
"dipole","multistart_eb","matern25","Matern 2.5",0.5,0.870910172516359,0.0933848622818105
"dipole","multistart_eb","matern25","Matern 2.5",0.6,0.903033908387864,0.116524651364688
"dipole","multistart_eb","matern25","Matern 2.5",0.7,0.933967876264128,0.14349690164159
"dipole","multistart_eb","matern25","Matern 2.5",0.8,0.96133254015467,0.177434151402048
"dipole","multistart_eb","matern25","Matern 2.5",0.9,0.976799524092802,0.227734267840164
"dipole","multistart_eb","matern25","Matern 2.5",0.95,0.979773944080904,0.271362117393737
"dipole","multistart_eb","matern25","Matern 2.5",0.975,0.982153480071386,0.310328044235828
"dipole","multistart_eb","matern25","Matern 2.5",0.99,0.985722784057109,0.356630274520016
"ring","multistart_eb","rbf","RBF",0.5,0.406305770374777,0.0951390103276569
"ring","multistart_eb","rbf","RBF",0.6,0.469958358120167,0.118713458891838
"ring","multistart_eb","rbf","RBF",0.7,0.547293277810827,0.146192357879882
