"eta","replication","source","seed","source_label","method","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD","RMSE_reference","delta_RMSE"
0.001,11,"edge",21261387,"Moving-edge source","RBF",0.187586747018651,0.123258176618345,0.719214753123141,0.274562186408368,0.200744720404521,0.101631172934304,4.1317588007657,0.167892381425221,0.01969436559343
0.001,11,"edge",21261387,"Moving-edge source","Matern 0.5",0.167892381425221,0.0988900427646835,0.899464604402142,0.583393646538863,0.0975918352171327,0.0835958870089493,-0.366821158868388,0.167892381425221,0
0.001,11,"edge",21261387,"Moving-edge source","Matern 1.5",0.177077345773195,0.109019618688283,0.810826888756692,0.345852457932946,0.0909142623438429,0.0891696643576994,0.817623706060047,0.167892381425221,0.009184964347974
0.001,11,"edge",21261387,"Moving-edge source","Matern 2.5",0.180787731737496,0.113826036114044,0.788816180844735,0.307054377924167,0.131589455681142,0.0932497675043201,1.81018743230816,0.167892381425221,0.012895350312275
0.001,11,"mixture",21261387,"Broad plus sharp source","RBF",0.0634341532623755,0.0236250298378611,0.886972040452112,0.103583633316643,0.0829428167757287,0.0210306005674375,2.8258202665075,0.04817796590776,0.0152561873546155
0.001,11,"mixture",21261387,"Broad plus sharp source","Matern 0.5",0.04817796590776,0.0184694160095848,0.984533016061868,0.281045628623288,0.162208878643665,0.0233634100872734,-1.44128545920883,0.04817796590776,0
0.001,11,"mixture",21261387,"Broad plus sharp source","Matern 1.5",0.0559347128889994,0.0194985916119751,0.940511600237954,0.152403658834728,0.11931997323022,0.019680484223926,-0.816006456512247,0.04817796590776,0.0077567469812394
0.001,11,"mixture",21261387,"Broad plus sharp source","Matern 2.5",0.0589886630601818,0.0207685538086569,0.925639500297442,0.129003285202454,0.102440139797739,0.0198787320114789,0.0810389612402286,0.04817796590776,0.0108106971524218
0.001,11,"ring",21261387,"Ring-shaped source","RBF",0.161140315700428,0.103171301949031,0.694229625223082,0.280892776340831,0.168769705532421,0.0890452069983258,2.40916542021102,0.159000368842766,0.002139946857662
0.001,11,"ring",21261387,"Ring-shaped source","Matern 0.5",0.159000368842766,0.0972589291627511,0.892920880428317,0.566978073227817,0.0633116448542534,0.0836200167115154,-0.357108502752312,0.159000368842766,0
0.001,11,"ring",21261387,"Ring-shaped source","Matern 1.5",0.158565200375014,0.0992958226853239,0.781082688875669,0.383462382197827,0.114099866151101,0.0844079976794397,0.251301518628384,0.159000368842766,-0.00043516846775199
0.001,11,"ring",21261387,"Ring-shaped source","Matern 2.5",0.159366515932182,0.100484558699279,0.74360499702558,0.340991025505661,0.137374702558001,0.0858070662368672,0.75769722754031,0.159000368842766,0.000366147089416013
0.001,11,"sine",21261387,"Sine-cosine source","RBF",0.0428058451427509,0.0309031962518842,0.276026174895895,0.0306897208661183,0.575001115407496,0.0277729436082396,19.9041319393396,0.0562163224533887,-0.0134104773106378
0.001,11,"sine",21261387,"Sine-cosine source","Matern 0.5",0.0562163224533887,0.0414037816864156,1,0.45125249243756,0.166521787626413,0.0360932434404542,-1.16053440950152,0.0562163224533887,0
0.001,11,"sine",21261387,"Sine-cosine source","Matern 1.5",0.0427654836411852,0.0335484631908281,0.80785246876859,0.110736935606836,0.170331276026175,0.0245354144332891,-1.07374464835526,0.0562163224533887,-0.0134508388122035
0.001,11,"sine",21261387,"Sine-cosine source","Matern 2.5",0.041031373844827,0.0315771288192741,0.488399762046401,0.0632026777148499,0.414754238548483,0.0255257063103117,1.96403743013423,0.0562163224533887,-0.0151849486085617
