"source","hyper_method","kernel","label","nominal","empirical","mean_width","method","replication","eta","seed"
"mixture","multistart_eb","matern05","Matern 0.5",0.975,0.988697204045211,0.323675321014544,"Matern 0.5",1,0.001,20261387
"mixture","multistart_eb","matern05","Matern 0.5",0.99,0.990481856038073,0.371969020308878,"Matern 0.5",1,0.001,20261387
"mixture","multistart_eb","matern15","Matern 1.5",0.5,0.822724568709102,0.052925108920264,"Matern 1.5",1,0.001,20261387
"mixture","multistart_eb","matern15","Matern 1.5",0.6,0.861392028554432,0.066039395622401,"Matern 1.5",1,0.001,20261387
"mixture","multistart_eb","matern15","Matern 1.5",0.7,0.895895300416419,0.0813256984433207,"Matern 1.5",1,0.001,20261387
"mixture","multistart_eb","matern15","Matern 1.5",0.8,0.925639500297442,0.100559357905239,"Matern 1.5",1,0.001,20261387
"mixture","multistart_eb","matern15","Matern 1.5",0.9,0.933967876264128,0.129066538578222,"Matern 1.5",1,0.001,20261387
"mixture","multistart_eb","matern15","Matern 1.5",0.95,0.938726948245092,0.153792266422761,"Matern 1.5",1,0.001,20261387
"mixture","multistart_eb","matern15","Matern 1.5",0.975,0.947055324211779,0.175875887599749,"Matern 1.5",1,0.001,20261387
"mixture","multistart_eb","matern15","Matern 1.5",0.99,0.957763236168947,0.202117298907362,"Matern 1.5",1,0.001,20261387
"mixture","multistart_eb","matern25","Matern 2.5",0.5,0.776323616894706,0.0448324540386052,"Matern 2.5",1,0.001,20261387
"mixture","multistart_eb","matern25","Matern 2.5",0.6,0.80725758477097,0.0559414657689058,"Matern 2.5",1,0.001,20261387
"mixture","multistart_eb","matern25","Matern 2.5",0.7,0.850089232599643,0.0688903757025929,"Matern 2.5",1,0.001,20261387
"mixture","multistart_eb","matern25","Matern 2.5",0.8,0.906603212373587,0.0851830611861455,"Matern 2.5",1,0.001,20261387
"mixture","multistart_eb","matern25","Matern 2.5",0.9,0.920880428316478,0.109331275396101,"Matern 2.5",1,0.001,20261387
