"replication","eta","seed","source","source_label","method","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
9,0.001,21061387,"mixture","Broad plus sharp source","Tikhonov discrepancy",0.0476626852551963,0.0186992964915682,NA,NA,NA,NA,NA
9,0.001,21061387,"dipole","Positive-negative dipole","Tikhonov discrepancy",0.0560496805908886,0.0254528943481793,NA,NA,NA,NA,NA
9,0.001,21061387,"ring","Ring-shaped source","Tikhonov discrepancy",0.173111831798141,0.100867795210339,NA,NA,NA,NA,NA
9,0.001,21061387,"edge","Moving-edge source","Tikhonov discrepancy",0.275350841499869,0.164063536351715,NA,NA,NA,NA,NA
9,0.001,21061387,"sine","Sine-cosine source","Tikhonov discrepancy",0.177743929933494,0.0881586171859189,NA,NA,NA,NA,NA
10,0.001,21161387,"spike","Hidden narrow spike","RBF",0.0439840508534185,0.010648122075018,0.932778108268888,0.0894091074262231,0.134638236168947,0.012812455755251,-0.523353518398503
10,0.001,21161387,"spike","Hidden narrow spike","Matern 0.5",0.0454049504717432,0.0101299490788545,0.969660916121356,0.156768588275403,0.155395969660916,0.0152774484611872,-1.63846060917834
10,0.001,21161387,"spike","Hidden narrow spike","Matern 1.5",0.0442580783544935,0.0105092070167402,0.956573468173706,0.118961364385213,0.140520151695419,0.0138304090825817,-1.41854375581911
10,0.001,21161387,"spike","Hidden narrow spike","Matern 2.5",0.044095760362815,0.0105568731789699,0.94883997620464,0.107822692913918,0.136497248661511,0.0134358137312905,-1.21772320160784
10,0.001,21161387,"mixture","Broad plus sharp source","RBF",0.0634150373354448,0.0237881015820404,0.888756692444973,0.10258480312629,0.0810094437834622,0.0212269331973954,2.88249732735008
10,0.001,21161387,"mixture","Broad plus sharp source","Matern 0.5",0.0488238724323015,0.0188017072475883,0.984533016061868,0.278082088353988,0.1632499256395,0.0233202708162257,-1.43860314301061
10,0.001,21161387,"mixture","Broad plus sharp source","Matern 1.5",0.0562823355060774,0.0199181548232999,0.938132064247472,0.150113630403139,0.116791716240333,0.019805454886269,-0.764338943283377
10,0.001,21161387,"mixture","Broad plus sharp source","Matern 2.5",0.0591582301656701,0.0210542466093013,0.923854848304581,0.127138336486238,0.100209324806663,0.0200369642433922,0.156007014521699
10,0.001,21161387,"dipole","Positive-negative dipole","RBF",0.0347654824941839,0.0169045093937555,0.958953004164188,0.19130908705049,0.12222746876859,0.0187750856428358,-1.4434683582739
10,0.001,21161387,"dipole","Positive-negative dipole","Matern 0.5",0.0404440094934992,0.0164427487019867,0.990481856038073,0.476199178669873,0.177229699583581,0.0330913621714799,-1.13357610034628
10,0.001,21161387,"dipole","Positive-negative dipole","Matern 1.5",0.0328993612859845,0.0139234217819457,0.980963712076145,0.301951765749439,0.168260336109459,0.0227289296521245,-1.53880447309456
10,0.001,21161387,"dipole","Positive-negative dipole","Matern 2.5",0.032815992608905,0.0143940154886654,0.979773944080904,0.256877975754976,0.155544690660321,0.0206319527482431,-1.62712844168728
10,0.001,21161387,"ring","Ring-shaped source","RBF",0.160240568318247,0.102391699155303,0.694824509220702,0.278364551978474,0.166613251041047,0.0885222487804425,2.44198151381714
10,0.001,21161387,"ring","Ring-shaped source","Matern 0.5",0.15805974942129,0.0964935658962489,0.895300416418798,0.567770721973458,0.0630885633551457,0.0831519046305838,-0.366769092879151
10,0.001,21161387,"ring","Ring-shaped source","Matern 1.5",0.157612264055219,0.0985087888142517,0.776323616894706,0.382055360123161,0.114248587150506,0.0838733546460319,0.238452598652805
10,0.001,21161387,"ring","Ring-shaped source","Matern 2.5",0.158424950763683,0.0997077451631072,0.74360499702558,0.339082238025681,0.136036213563355,0.0852717261123098,0.751029360367171
10,0.001,21161387,"edge","Moving-edge source","RBF",0.188405073961719,0.123155077239368,0.718619869125521,0.27082963995454,0.205206350386675,0.101903000038224,4.28424839131412
10,0.001,21161387,"edge","Moving-edge source","Matern 0.5",0.169173475391905,0.0996312778575957,0.898274836406901,0.57878089666523,0.0930558447352766,0.084153983602146,-0.358346635190456
10,0.001,21161387,"edge","Moving-edge source","Matern 1.5",0.178212721676464,0.109378458227204,0.806662700773349,0.342524202178602,0.0933681588340274,0.0897343743269618,0.861096772182309
10,0.001,21161387,"edge","Moving-edge source","Matern 2.5",0.181853546638554,0.113998439149928,0.784651992861392,0.303770387633813,0.13181253718025,0.0937422874650581,1.87995519544223
10,0.001,21161387,"sine","Sine-cosine source","RBF",0.0428669444697572,0.0311334881343277,0.273051754907793,0.0315197420209525,0.586898795359905,0.0276454980526613,17.7420640565459
10,0.001,21161387,"sine","Sine-cosine source","Matern 0.5",0.0557001420996789,0.0406011762641369,1,0.45248979335816,0.167562834622249,0.0359707531011499,-1.160191777768
10,0.001,21161387,"sine","Sine-cosine source","Matern 1.5",0.0429270790803916,0.0331212816799661,0.809637120761452,0.112262527216386,0.152038593099346,0.024235063646888,-1.14483415971846
10,0.001,21161387,"sine","Sine-cosine source","Matern 2.5",0.0412673655517914,0.0315155051784883,0.547293277810827,0.0643395166126138,0.390438355145747,0.0252399083894669,1.45140805060894
10,0.001,21161387,"spike","Hidden narrow spike","Tikhonov discrepancy",0.047076525042138,0.00969773952771328,NA,NA,NA,NA,NA
10,0.001,21161387,"mixture","Broad plus sharp source","Tikhonov discrepancy",0.0484811149397784,0.0191104422169174,NA,NA,NA,NA,NA
10,0.001,21161387,"dipole","Positive-negative dipole","Tikhonov discrepancy",0.0560429477695282,0.0253985894362571,NA,NA,NA,NA,NA
10,0.001,21161387,"ring","Ring-shaped source","Tikhonov discrepancy",0.172930597277138,0.101125891534462,NA,NA,NA,NA,NA
10,0.001,21161387,"edge","Moving-edge source","Tikhonov discrepancy",0.276391582940235,0.163652463175506,NA,NA,NA,NA,NA
10,0.001,21161387,"sine","Sine-cosine source","Tikhonov discrepancy",0.177123594575097,0.0876479311950301,NA,NA,NA,NA,NA
11,0.001,21261387,"spike","Hidden narrow spike","RBF",0.0439714585444732,0.0104487931774052,0.933372992266508,0.0900679622278308,0.135084399167162,0.0128036016792595,-0.561271577479339
11,0.001,21261387,"spike","Hidden narrow spike","Matern 0.5",0.0454200132059633,0.0100262906711127,0.969660916121356,0.157188232917137,0.155544690660321,0.0152775947308885,-1.63929851650434
11,0.001,21261387,"spike","Hidden narrow spike","Matern 1.5",0.044257647466048,0.0103364670427089,0.957168352171327,0.119703210042897,0.141040675193337,0.0138323497020622,-1.42915268058052
11,0.001,21261387,"spike","Hidden narrow spike","Matern 2.5",0.0440903219249495,0.0103706551309691,0.94883997620464,0.108594216145994,0.136645969660916,0.0134356151748487,-1.23581761991906
11,0.001,21261387,"mixture","Broad plus sharp source","RBF",0.0634341532623755,0.0236250298378611,0.886972040452112,0.103583633316643,0.0829428167757287,0.0210306005674375,2.8258202665075
11,0.001,21261387,"mixture","Broad plus sharp source","Matern 0.5",0.04817796590776,0.0184694160095848,0.984533016061868,0.281045628623288,0.162208878643665,0.0233634100872734,-1.44128545920883
11,0.001,21261387,"mixture","Broad plus sharp source","Matern 1.5",0.0559347128889994,0.0194985916119751,0.940511600237954,0.152403658834728,0.11931997323022,0.019680484223926,-0.816006456512247
11,0.001,21261387,"mixture","Broad plus sharp source","Matern 2.5",0.0589886630601818,0.0207685538086569,0.925639500297442,0.129003285202454,0.102440139797739,0.0198787320114789,0.0810389612402286
11,0.001,21261387,"dipole","Positive-negative dipole","RBF",0.0346901114388465,0.0168072594048073,0.959547888161808,0.191881479882755,0.122004387269482,0.0187817114005484,-1.44981750620179
11,0.001,21261387,"dipole","Positive-negative dipole","Matern 0.5",0.0403794568670778,0.0163487385982949,0.991076740035693,0.476264638616415,0.177378420582986,0.0330850377711938,-1.13366587924974
11,0.001,21261387,"dipole","Positive-negative dipole","Matern 1.5",0.0328475399623544,0.013819808911097,0.980963712076145,0.301936187777854,0.167962894110648,0.0227223979836509,-1.53932254565506
11,0.001,21261387,"dipole","Positive-negative dipole","Matern 2.5",0.0327632566373133,0.0142809199715872,0.979773944080904,0.256923451643412,0.155395969660916,0.0206289790044466,-1.62779865112381
11,0.001,21261387,"ring","Ring-shaped source","RBF",0.161140315700428,0.103171301949031,0.694229625223082,0.280892776340831,0.168769705532421,0.0890452069983258,2.40916542021102
11,0.001,21261387,"ring","Ring-shaped source","Matern 0.5",0.159000368842766,0.0972589291627511,0.892920880428317,0.566978073227817,0.0633116448542534,0.0836200167115154,-0.357108502752312
11,0.001,21261387,"ring","Ring-shaped source","Matern 1.5",0.158565200375014,0.0992958226853239,0.781082688875669,0.383462382197827,0.114099866151101,0.0844079976794397,0.251301518628384
11,0.001,21261387,"ring","Ring-shaped source","Matern 2.5",0.159366515932182,0.100484558699279,0.74360499702558,0.340991025505661,0.137374702558001,0.0858070662368672,0.75769722754031
11,0.001,21261387,"edge","Moving-edge source","RBF",0.187586747018651,0.123258176618345,0.719214753123141,0.274562186408368,0.200744720404521,0.101631172934304,4.1317588007657
11,0.001,21261387,"edge","Moving-edge source","Matern 0.5",0.167892381425221,0.0988900427646835,0.899464604402142,0.583393646538863,0.0975918352171327,0.0835958870089493,-0.366821158868388
11,0.001,21261387,"edge","Moving-edge source","Matern 1.5",0.177077345773195,0.109019618688283,0.810826888756692,0.345852457932946,0.0909142623438429,0.0891696643576994,0.817623706060047
11,0.001,21261387,"edge","Moving-edge source","Matern 2.5",0.180787731737496,0.113826036114044,0.788816180844735,0.307054377924167,0.131589455681142,0.0932497675043201,1.81018743230816
11,0.001,21261387,"sine","Sine-cosine source","RBF",0.0428058451427509,0.0309031962518842,0.276026174895895,0.0306897208661183,0.575001115407496,0.0277729436082396,19.9041319393396
11,0.001,21261387,"sine","Sine-cosine source","Matern 0.5",0.0562163224533887,0.0414037816864156,1,0.45125249243756,0.166521787626413,0.0360932434404542,-1.16053440950152
