"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,2.75,330.310153000652,NA,330.310153000652,NA,NA,NA
"spike","multistart_eb","matern05",0,2.88,330.235652513622,NA,330.235652513622,NA,NA,NA
"spike","multistart_eb","matern15",0,2.82,330.265929569401,NA,330.265929569401,NA,NA,NA
"spike","multistart_eb","matern25",0,3.34,330.277322486538,NA,330.277322486538,NA,NA,NA
"mixture","multistart_eb","rbf",0,2.35,219.710991068151,NA,219.710991068151,NA,NA,NA
"mixture","multistart_eb","matern05",0,2.14,219.831393445129,NA,219.831393445129,NA,NA,NA
"mixture","multistart_eb","matern15",0,2.27,219.765931366554,NA,219.765931366554,NA,NA,NA
"mixture","multistart_eb","matern25",0,1.75,219.74240531223,NA,219.74240531223,NA,NA,NA
"dipole","multistart_eb","rbf",0,1.88,267.510983410497,NA,267.510983410497,NA,NA,NA
"dipole","multistart_eb","matern05",0,2.09,267.002605375037,NA,267.002605375037,NA,NA,NA
"dipole","multistart_eb","matern15",0,2.11,267.219670502948,NA,267.219670502948,NA,NA,NA
"dipole","multistart_eb","matern25",0,1.86,267.299717551834,NA,267.299717551834,NA,NA,NA
"ring","multistart_eb","rbf",0,1.98,241.252844586952,NA,241.252844586952,NA,NA,NA
"ring","multistart_eb","matern05",0,1.9,241.493783244581,NA,241.493783244581,NA,NA,NA
"ring","multistart_eb","matern15",0,2.02999999999999,241.327523923605,NA,241.327523923605,NA,NA,NA
"ring","multistart_eb","matern25",0,2.26,241.267752741783,NA,241.267752741783,NA,NA,NA
"edge","multistart_eb","rbf",0,1.92,184.808147683913,NA,184.808147683913,NA,NA,NA
"edge","multistart_eb","matern05",0,2.05,185.062067095743,NA,185.062067095743,NA,NA,NA
"edge","multistart_eb","matern15",0,1.89,185.037845218503,NA,185.037845218503,NA,NA,NA
"edge","multistart_eb","matern25",0,1.67,184.990698648065,NA,184.990698648065,NA,NA,NA
"sine","multistart_eb","rbf",0,1.5,209.04178318043,NA,209.04178318043,NA,NA,NA
"sine","multistart_eb","matern05",0,1.75,208.018142993463,NA,208.018142993463,NA,NA,NA
"sine","multistart_eb","matern15",0,1.62,208.454264332975,NA,208.454264332975,NA,NA,NA
"sine","multistart_eb","matern25",0,1.51,208.636762204176,NA,208.636762204176,NA,NA,NA
