"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,3.77,353.909729019965,NA,353.909729019965,NA,NA,NA
"spike","multistart_eb","matern05",0,5.35,353.601592845408,NA,353.601592845408,NA,NA,NA
"spike","multistart_eb","matern15",0,5.8,353.844790662696,NA,353.844790662696,NA,NA,NA
"spike","multistart_eb","matern25",0,5.78,353.884673433708,NA,353.884673433708,NA,NA,NA
"mixture","multistart_eb","rbf",0,2.11,297.814876069583,NA,297.814876069583,NA,NA,NA
"mixture","multistart_eb","matern05",0,1.82,297.229802323618,NA,297.229802323618,NA,NA,NA
"mixture","multistart_eb","matern15",0,1.85,297.819505163995,NA,297.819505163995,NA,NA,NA
"mixture","multistart_eb","matern25",0,1.7,297.89064273716,NA,297.89064273716,NA,NA,NA
"dipole","multistart_eb","rbf",0,3.23,293.679893640951,NA,293.679893640951,NA,NA,NA
"dipole","multistart_eb","matern05",0,4.32,291.303164451535,NA,291.303164451535,NA,NA,NA
"dipole","multistart_eb","matern15",0,4.47,292.966580490424,NA,292.966580490424,NA,NA,NA
"dipole","multistart_eb","matern25",0,4.99,293.301172723842,NA,293.301172723842,NA,NA,NA
"ring","multistart_eb","rbf",0,3.66,280.584778921432,NA,280.584778921432,NA,NA,NA
"ring","multistart_eb","matern05",0,3.14,280.495564311204,NA,280.495564311204,NA,NA,NA
"ring","multistart_eb","matern15",0,2.21,280.481858934872,NA,280.481858934872,NA,NA,NA
"ring","multistart_eb","matern25",0,2.13,280.479771130232,NA,280.479771130232,NA,NA,NA
"edge","multistart_eb","rbf",0,1.59,254.330645353887,NA,254.330645353887,NA,NA,NA
"edge","multistart_eb","matern05",0,2.11,255.816517057577,NA,255.816517057577,NA,NA,NA
"edge","multistart_eb","matern15",0,1.53,255.922602111771,NA,255.922602111771,NA,NA,NA
"edge","multistart_eb","matern25",0,1.41,255.626704156064,NA,255.626704156064,NA,NA,NA
"sine","multistart_eb","rbf",0,2.39,292.087116831954,NA,292.087116831954,NA,NA,NA
"sine","multistart_eb","matern05",0,4.11000000000001,274.04734447033,NA,274.04734447033,NA,NA,NA
"sine","multistart_eb","matern15",0,1.90000000000001,283.456212758345,NA,283.456212758345,NA,NA,NA
"sine","multistart_eb","matern25",0,1.81,286.820730809305,NA,286.820730809305,NA,NA,NA
