"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,5.36,355.471928763682,NA,355.471928763682,NA,NA,NA
"spike","multistart_eb","matern05",0,5.31,354.921434967216,NA,354.921434967216,NA,NA,NA
"spike","multistart_eb","matern15",0,5.29,355.312893618388,NA,355.312893618388,NA,NA,NA
"spike","multistart_eb","matern25",0,5.28,355.391470392884,NA,355.391470392884,NA,NA,NA
"mixture","multistart_eb","rbf",0,1.77,292.013152763504,NA,292.013152763504,NA,NA,NA
"mixture","multistart_eb","matern05",0,1.97,292.921266496517,NA,292.921266496517,NA,NA,NA
"mixture","multistart_eb","matern15",0,1.76,293.013581255074,NA,293.013581255074,NA,NA,NA
"mixture","multistart_eb","matern25",0,1.78,292.833722707143,NA,292.833722707143,NA,NA,NA
"dipole","multistart_eb","rbf",0,4.23,294.805577894279,NA,294.805577894279,NA,NA,NA
"dipole","multistart_eb","matern05",0,4.53,291.132227186434,NA,291.132227186434,NA,NA,NA
"dipole","multistart_eb","matern15",0,4.22,293.231727842741,NA,293.231727842741,NA,NA,NA
"dipole","multistart_eb","matern25",0,4.51,293.814222749102,NA,293.814222749102,NA,NA,NA
"ring","multistart_eb","rbf",0,2.12,273.847382080825,NA,273.847382080825,NA,NA,NA
"ring","multistart_eb","matern05",0,2.12,274.06235732956,NA,274.06235732956,NA,NA,NA
"ring","multistart_eb","matern15",0,1.71,273.927966368749,NA,273.927966368749,NA,NA,NA
"ring","multistart_eb","matern25",0,1.84,273.878491340119,NA,273.878491340119,NA,NA,NA
"edge","multistart_eb","rbf",0,1.42,252.684352267784,NA,252.684352267784,NA,NA,NA
"edge","multistart_eb","matern05",0,2.09,256.148896332495,NA,256.148896332495,NA,NA,NA
"edge","multistart_eb","matern15",0,1.55,255.074514329313,NA,255.074514329313,NA,NA,NA
"edge","multistart_eb","matern25",0,1.5,254.42217733633,NA,254.42217733633,NA,NA,NA
"sine","multistart_eb","rbf",0,1.9,286.4639171302,NA,286.4639171302,NA,NA,NA
"sine","multistart_eb","matern05",0,3.97000000000001,272.032629448322,NA,272.032629448322,NA,NA,NA
"sine","multistart_eb","matern15",0,2.06,279.459429596059,NA,279.459429596059,NA,NA,NA
"sine","multistart_eb","matern25",0,2.05000000000001,281.912792087186,NA,281.912792087186,NA,NA,NA
