"source","source_label","hyper_method","hyper_label","kernel","label","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","rbf","RBF",0.0442207373654337,0.0130265332059081,0.935157644259369,0.0911269064870694,0.128168872694824,0.0132322315857745,-0.571600535492047
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0456248179980508,0.0118720686968233,0.970850684116597,0.157400654151086,0.155619051160024,0.0154136052294775,-1.63288855617117
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0445072413254443,0.0126639502051559,0.956573468173706,0.120260189510465,0.140445791195717,0.0141013255893324,-1.41860412107404
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0443448588199061,0.0128181431954337,0.94883997620464,0.109310303259041,0.13501003866746,0.0137576148492243,-1.22670479252942
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","rbf","RBF",0.0646093211579076,0.0287310912878984,0.925639500297442,0.155373385092825,0.0738113474122546,0.02378379810835,-0.0270788050021943
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0644615992862625,0.040760948545412,0.991076740035693,0.365943751226501,0.141611020226056,0.0341777493933835,-1.18224848544696
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0633435792199053,0.0354817724047998,0.957168352171327,0.219510803667284,0.0821471594289114,0.027718672641365,-1.13195475688052
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0634081592989471,0.0333176600849251,0.943486020226056,0.191172084178163,0.0738857079119572,0.0262081835110303,-0.910205479047692
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","rbf","RBF",0.0380037128900665,0.0239954150449469,0.959547888161808,0.206580920907994,0.101927052349792,0.0213065836838599,-1.45567641871558
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0418805686470436,0.0224011838910617,0.992266508030934,0.486637076886225,0.179014351576443,0.0340784015788931,-1.1103292807109
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0356435445713384,0.021227690730215,0.981558596073766,0.314408212684238,0.164319229625223,0.0244390263096392,-1.49132951726147
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0358059539944531,0.0217148272814541,0.979179060083284,0.270113203456914,0.149595850684117,0.0226397835469212,-1.57333851189578
"ring","Ring-shaped source","multistart_eb","Multi-start EB","rbf","RBF",0.166410596671579,0.109804652394138,0.694824509220702,0.308568742501941,0.163341389054134,0.092784026200902,1.89359217191129
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.164251421675783,0.10477220801944,0.903033908387864,0.592050613855692,0.0597125966686496,0.0869930724193899,-0.324907172759757
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.163944313314889,0.106498276100746,0.784651992861392,0.410523104364542,0.108522828673409,0.0880310257603137,0.19672186415371
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.164659704112831,0.107423318501222,0.748364069006544,0.368469811570173,0.127856558596074,0.0894329395522237,0.608571120859588
"edge","Moving-edge source","multistart_eb","Multi-start EB","rbf","RBF",0.215079269560471,0.147667601302534,0.701963117192148,0.326399266720313,0.240601948245092,0.120026279124585,3.7542485731859
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.192290724433677,0.126438545666052,0.893515764425937,0.66964921491235,0.072978509815586,0.0999776753734641,-0.211908365436518
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.201021059021629,0.133158039875946,0.793575252825699,0.414165007890339,0.11641991374182,0.106080998618255,0.790802895596547
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.205299227831034,0.137498501776431,0.757882212968471,0.370187990478261,0.16059005056514,0.110340589091972,1.6105855201156
"sine","Sine-cosine source","multistart_eb","Multi-start EB","rbf","RBF",0.0611358943263937,0.0450737029694872,0.751933372992266,0.134666485320817,0.212270597858418,0.0333509153940969,-1.10724030749642
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0810394763449148,0.063520162336811,0.997025580011898,0.547975901683064,0.133208283759667,0.049758510203809,-0.893944509762246
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0674481675912327,0.0531218778343066,0.92266508030934,0.2430652330687,0.0320951070791195,0.0373194696792289,-1.32504066172226
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0618279957674956,0.0477496692209944,0.879833432480666,0.187850003699293,0.0864526323616895,0.0339469363480121,-1.37373705374979
