"source","source_label","RMSE","MAE","delta","tau","residual_norm","target_norm","discrepancy_ratio","discrepancy_status"
"spike","Hidden narrow spike",0.0484517172292611,0.0108696098924306,1.08970405706354e-06,1.05,0.000163824733885613,0.00016382473388318,1.05000000001559,"root located"
"mixture","Broad plus sharp source",0.0613638207190342,0.0295217383480202,4.61361739358467e-06,1.05,0.00153838664133933,0.00153838664133935,1.04999999999999,"root located"
"dipole","Positive-negative dipole",0.0628897979130042,0.0313548253048329,7.21664431936404e-07,1.05,0.000427263153033935,0.000427263153032749,1.05000000000291,"root located"
"ring","Ring-shaped source",0.183101227538634,0.109961986734919,1.98962427682296e-06,1.05,0.00125394842545052,0.00125394842545056,1.04999999999997,"root located"
"edge","Moving-edge source",0.302826017384655,0.200577722651123,2.8611950634164e-06,1.05,0.00361503228473578,0.00361503228473583,1.04999999999999,"root located"
"sine","Sine-cosine source",0.195601305561321,0.111656455554976,1.8620392574304e-06,1.05,0.00208242582951883,0.00208242582951895,1.04999999999994,"root located"
