"source","hyper_method","kernel","parameter","optimizer_value","natural_parameter","natural_value"
"spike","multistart_eb","rbf","log_ell",-2.27238302062331,"ell",0.103066278138394
"spike","multistart_eb","rbf","log_sigma_f",-3.33698492975263,"sigma_f",0.0355439638729511
"spike","multistart_eb","rbf","log_sigma_n",-8.38220471917948,"sigma_n",0.000228904718095657
"spike","multistart_eb","matern05","log_ell",-2.53283400769919,"ell",0.0794335856017968
"spike","multistart_eb","matern05","log_sigma_f",-3.02741796671752,"sigma_f",0.0484405519081462
"spike","multistart_eb","matern05","log_sigma_n",-8.4203732776118,"sigma_n",0.000220332392328889
"spike","multistart_eb","matern15","log_ell",-2.3912616235552,"ell",0.0915141546025207
"spike","multistart_eb","matern15","log_sigma_f",-3.19241127984376,"sigma_f",0.0410727136325938
"spike","multistart_eb","matern15","log_sigma_n",-8.40149695750718,"sigma_n",0.000224530959174671
"spike","multistart_eb","matern25","log_ell",-2.34928986367288,"ell",0.0954369113748488
"spike","multistart_eb","matern25","log_sigma_f",-3.24319751734941,"sigma_f",0.039038867859845
"spike","multistart_eb","matern25","log_sigma_n",-8.39572200562777,"sigma_n",0.000225831365938532
"mixture","multistart_eb","rbf","log_ell",-1.11357734140823,"ell",0.328382122389201
"mixture","multistart_eb","rbf","log_sigma_f",-1.66418521121485,"sigma_f",0.18934487122544
"mixture","multistart_eb","rbf","log_sigma_n",-6.19126151009183,"sigma_n",0.00204724250650988
"mixture","multistart_eb","matern05","log_ell",-0.609813445518047,"ell",0.543452243069992
"mixture","multistart_eb","matern05","log_sigma_f",-1.53364493651845,"sigma_f",0.215747845207669
"mixture","multistart_eb","matern05","log_sigma_n",-6.19974111194747,"sigma_n",0.00202995609965606
"mixture","multistart_eb","matern15","log_ell",-0.863960267776829,"ell",0.421489561160538
"mixture","multistart_eb","matern15","log_sigma_f",-1.618292191098,"sigma_f",0.19823696100475
"mixture","multistart_eb","matern15","log_sigma_n",-6.19475895890896,"sigma_n",0.00204009488712946
"mixture","multistart_eb","matern25","log_ell",-0.949596243973197,"ell",0.38689720400083
"mixture","multistart_eb","matern25","log_sigma_f",-1.63663003625593,"sigma_f",0.194634850721117
"mixture","multistart_eb","matern25","log_sigma_n",-6.19351761748908,"sigma_n",0.00204262891388414
"dipole","multistart_eb","rbf","log_ell",-2.83786444750718,"ell",0.0585505703635767
