"nominal","empirical","source","sampler"
0.5,0.843545508625818,"mixture","ARWM"
0.6,0.908982748364069,"mixture","ARWM"
0.7,0.946460440214158,"mixture","ARWM"
0.8,0.966091612135634,"mixture","ARWM"
0.9,0.982748364069007,"mixture","ARWM"
0.95,0.989292088042832,"mixture","ARWM"
0.975,0.992861392028554,"mixture","ARWM"
0.99,0.993456276026175,"mixture","ARWM"
