"source","chain","retained_draws","warmup_acceptance_rate","sampling_acceptance_rate","final_scale","final_cov_11","final_cov_22","final_cov_33","final_cov_12","final_cov_13","final_cov_23","runtime_seconds","initial_log_ell","initial_log_sigma_f","initial_log_sigma_n"
"mixture",1,700,0.293577981651376,0.200357142857143,3.67130809932473,0.644252766154831,0.139679522208654,0.248622768726761,0.225975972857215,0.0215457223628226,-0.0211968368729516,10.16,-1.11777048811732,-1.52424475990961,-8.67715327350215
"mixture",2,700,0.259382819015847,0.256071428571429,2.76119557294322,0.504847615077587,0.105420053757548,0.155448583392183,0.163175722154095,0.0647728783663532,0.00700293705527994,10.03,-1.46777048811732,-1.27424475990961,-8.82715327350215
"mixture",3,700,0.284403669724771,0.23,3.24494613196269,0.566841118279701,0.135875327605701,0.224705085972466,0.204079039979941,0.0410820356843852,-0.0154884724501936,10.04,-0.767770488117322,-1.77424475990961,-8.52715327350215
"mixture",4,700,0.281067556296914,0.219285714285714,3.20734577791089,0.618568668981968,0.107800941620871,0.210075856386185,0.185754155947004,0.0899850441685287,-0.00629709974062296,9.99,-1.31777048811732,-1.82424475990961,-8.42715327350215
