"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,3.84,354.875270486405,NA,354.875270486405,NA,NA,NA
"spike","multistart_eb","matern05",0,5.39,354.450249971081,NA,354.450249971081,NA,NA,NA
"spike","multistart_eb","matern15",0,5.61,354.778598244618,NA,354.778598244618,NA,NA,NA
"spike","multistart_eb","matern25",0,5.45,354.836328610461,NA,354.836328610461,NA,NA,NA
"mixture","multistart_eb","rbf",0,1.77,293.226320070819,NA,293.226320070819,NA,NA,NA
"mixture","multistart_eb","matern05",0,2.13,291.540882378136,NA,291.540882378136,NA,NA,NA
"mixture","multistart_eb","matern15",0,1.95,292.580222867717,NA,292.580222867717,NA,NA,NA
"mixture","multistart_eb","matern25",0,1.84,292.871333048004,NA,292.871333048004,NA,NA,NA
"dipole","multistart_eb","rbf",0,4.33,294.761597127868,NA,294.761597127868,NA,NA,NA
"dipole","multistart_eb","matern05",0,4.34,291.218625091525,NA,291.218625091525,NA,NA,NA
"dipole","multistart_eb","matern15",0,4.43,293.17157210732,NA,293.17157210732,NA,NA,NA
"dipole","multistart_eb","matern25",0,4.4,293.729958261033,NA,293.729958261033,NA,NA,NA
"ring","multistart_eb","rbf",0,1.85,276.193809292453,NA,276.193809292453,NA,NA,NA
"ring","multistart_eb","matern05",0,2.35,276.093800537945,NA,276.093800537945,NA,NA,NA
"ring","multistart_eb","matern15",0,1.96,276.099581368838,NA,276.099581368838,NA,NA,NA
"ring","multistart_eb","matern25",0,1.93,276.101779572779,NA,276.101779572779,NA,NA,NA
"edge","multistart_eb","rbf",0,1.37,244.704418231972,NA,244.704418231972,NA,NA,NA
"edge","multistart_eb","matern05",0,1.85,247.040051485146,NA,247.040051485146,NA,NA,NA
"edge","multistart_eb","matern15",0,1.5,246.373986130411,NA,246.373986130411,NA,NA,NA
"edge","multistart_eb","matern25",0,1.34,245.93626882964,NA,245.93626882964,NA,NA,NA
"sine","multistart_eb","rbf",0,1.85,282.066654249594,NA,282.066654249594,NA,NA,NA
"sine","multistart_eb","matern05",0,3.78,272.577760450707,NA,272.577760450707,NA,NA,NA
"sine","multistart_eb","matern15",0,2.02,279.809461273147,NA,279.809461273147,NA,NA,NA
"sine","multistart_eb","matern25",0,1.81999999999999,280.938983428379,NA,280.938983428379,NA,NA,NA
