"source","hyper_method","kernel","nominal","empirical"
"broad_plus_sharp","map","rbf",0.9,0.876264128494944
"broad_plus_sharp","map","rbf",0.95,0.904818560380726
"broad_plus_sharp","map","rbf",0.975,0.911362284354551
"broad_plus_sharp","map","rbf",0.99,0.919690660321237
"broad_plus_sharp","map","matern05",0.5,0.849494348602023
"broad_plus_sharp","map","matern05",0.6,0.911957168352171
"broad_plus_sharp","map","matern05",0.7,0.950624628197501
"broad_plus_sharp","map","matern05",0.8,0.964306960142772
"broad_plus_sharp","map","matern05",0.9,0.985127900059488
"broad_plus_sharp","map","matern05",0.95,0.989886972040452
"broad_plus_sharp","map","matern05",0.975,0.992266508030934
"broad_plus_sharp","map","matern05",0.99,0.992266508030934
"broad_plus_sharp","map","matern15",0.5,0.702558001189768
"broad_plus_sharp","map","matern15",0.6,0.776918500892326
"broad_plus_sharp","map","matern15",0.7,0.848304580606782
"broad_plus_sharp","map","matern15",0.8,0.905413444378346
"broad_plus_sharp","map","matern15",0.9,0.93634741225461
"broad_plus_sharp","map","matern15",0.95,0.942891136228435
"broad_plus_sharp","map","matern15",0.975,0.952409280190363
"broad_plus_sharp","map","matern15",0.99,0.964306960142772
"broad_plus_sharp","map","matern25",0.5,0.629387269482451
"broad_plus_sharp","map","matern25",0.6,0.734681737061273
"broad_plus_sharp","map","matern25",0.7,0.814396192742415
"broad_plus_sharp","map","matern25",0.8,0.879238548483046
"broad_plus_sharp","map","matern25",0.9,0.917906008328376
"broad_plus_sharp","map","matern25",0.95,0.925639500297442
"broad_plus_sharp","map","matern25",0.975,0.933967876264128
"broad_plus_sharp","map","matern25",0.99,0.945270672218917
"dipole","multistart_eb","rbf",0.5,0.762046400951814
"dipole","multistart_eb","rbf",0.6,0.822129684711481
"dipole","multistart_eb","rbf",0.7,0.866151100535396
"dipole","multistart_eb","rbf",0.8,0.908387864366449
"dipole","multistart_eb","rbf",0.9,0.940511600237954
"dipole","multistart_eb","rbf",0.95,0.957763236168947
"dipole","multistart_eb","rbf",0.975,0.968471148126115
"dipole","multistart_eb","rbf",0.99,0.975014872099941
"dipole","multistart_eb","matern05",0.5,0.960737656157049
"dipole","multistart_eb","matern05",0.6,0.964901844140393
"dipole","multistart_eb","matern05",0.7,0.970255800118977
"dipole","multistart_eb","matern05",0.8,0.979179060083284
"dipole","multistart_eb","matern05",0.9,0.982748364069007
"dipole","multistart_eb","matern05",0.95,0.991671624033314
"dipole","multistart_eb","matern05",0.975,0.994051160023795
"dipole","multistart_eb","matern05",0.99,0.998810232004759
"dipole","multistart_eb","matern15",0.5,0.913146936347412
"dipole","multistart_eb","matern15",0.6,0.942296252230815
"dipole","multistart_eb","matern15",0.7,0.96133254015467
"dipole","multistart_eb","matern15",0.8,0.972635336109459
"dipole","multistart_eb","matern15",0.9,0.979773944080904
"dipole","multistart_eb","matern15",0.95,0.982153480071386
"dipole","multistart_eb","matern15",0.975,0.98750743604997
"dipole","multistart_eb","matern15",0.99,0.989292088042832
"dipole","multistart_eb","matern25",0.5,0.874479476502082
"dipole","multistart_eb","matern25",0.6,0.912552052349792
