"source","lambda","residual","target","ratio","status","RMSE","MAE"
"spike",1.0863389870274e-06,0.000163824733881172,0.00016382473388318,1.04999999998713,"root",0.0471843069461767,0.0106002343269649
"broad_plus_sharp",5.1067736076653e-06,0.00153838664133934,0.00153838664133935,1.04999999999999,"root",0.0650112328791272,0.0317274493814219
"dipole",7.20229083557903e-07,0.000427263153035498,0.000427263153032749,1.05000000000676,"root",0.0633686907576785,0.0291258019749975
"ring",2.14276316916223e-06,0.00125394842545056,0.00125394842545056,1.05,"root",0.184894655220366,0.107067401333296
"moving_edge",2.85117628805345e-06,0.00361503228473579,0.00361503228473583,1.04999999999999,"root",0.316773486048436,0.206921402388766
"sine",1.77299479443764e-06,0.00208242582951893,0.00208242582951895,1.04999999999999,"root",0.203459480452539,0.11799221731699
