"source","hyper_method","kernel","parameter","log_value","natural_value","convergence"
"dipole","map","matern05","log_sigma_n",-9.80185624813969,5.53487629784044e-05,0
"dipole","map","matern15","log_ell",-2.15124652463743,0.116339047861292,0
"dipole","map","matern15","log_sigma_f",-1.69012137356059,0.184497129560437,0
"dipole","map","matern15","log_sigma_n",-9.80361079077328,5.52517363576044e-05,0
"dipole","map","matern25","log_ell",-2.18742592777538,0.112205201501422,0
"dipole","map","matern25","log_sigma_f",-1.71066553570939,0.18074546002079,0
"dipole","map","matern25","log_sigma_n",-9.80249326782803,5.53135159543781e-05,0
"ring","multistart_eb","rbf","log_ell",-2.14914966109822,0.116583250909696,0
"ring","multistart_eb","rbf","log_sigma_f",-1.54877503954248,0.212508128508938,0
"ring","multistart_eb","rbf","log_sigma_n",-8.12929061853213,0.000294777236162614,0
"ring","multistart_eb","matern05","log_ell",-1.9587988877151,0.141027709347698,0
"ring","multistart_eb","matern05","log_sigma_f",-1.40871521446924,0.244457156497855,0
"ring","multistart_eb","matern05","log_sigma_n",-8.42903999572609,0.000218431084543346,0
"ring","multistart_eb","matern15","log_ell",-2.04230805298122,0.129728943796866,0
"ring","multistart_eb","matern15","log_sigma_f",-1.50160573678648,0.222772159346558,0
"ring","multistart_eb","matern15","log_sigma_n",-8.2232211496195,0.000268349278064853,0
"ring","multistart_eb","matern25","log_ell",-2.07352075120686,0.12574229412464,0
"ring","multistart_eb","matern25","log_sigma_f",-1.52303761784643,0.218048531840916,0
"ring","multistart_eb","matern25","log_sigma_n",-8.18375654388648,0.000279151323822165,0
"ring","map","rbf","log_ell",-2.15987988982096,0.115338973590898,0
"ring","map","rbf","log_sigma_f",-1.49750132338912,0.223688387385009,0
"ring","map","rbf","log_sigma_n",-8.28500337684303,0.000252271826090332,0
"ring","map","matern05","log_ell",-1.95563629235179,0.141474428951711,0
"ring","map","matern05","log_sigma_f",-1.359141635274,0.256881180090648,0
"ring","map","matern05","log_sigma_n",-8.62705556657635,0.000179191486562034,0
"ring","map","matern15","log_ell",-2.0836765323968,0.124471745526302,0
"ring","map","matern15","log_sigma_f",-1.44174808603208,0.236513950368201,0
"ring","map","matern15","log_sigma_n",-8.4578826891787,0.000212220932993352,0
"ring","map","matern25","log_ell",-2.10798085653431,0.121483010587499,0
"ring","map","matern25","log_sigma_f",-1.46630502028441,0.230776626697518,0
"ring","map","matern25","log_sigma_n",-8.39287080559555,0.000226476175139557,0
"moving_edge","multistart_eb","rbf","log_ell",-1.48480740134083,0.226545968924818,0
"moving_edge","multistart_eb","rbf","log_sigma_f",-0.641719961114607,0.526386281066394,0
"moving_edge","multistart_eb","rbf","log_sigma_n",-7.34534103856829,0.000645593158251673,0
"moving_edge","multistart_eb","matern05","log_ell",-0.163762342764533,0.848943755533533,0
"moving_edge","multistart_eb","matern05","log_sigma_f",-0.456807788915422,0.633302056039862,0
"moving_edge","multistart_eb","matern05","log_sigma_n",-7.68359763335397,0.000460315868557728,0
"moving_edge","multistart_eb","matern15","log_ell",-0.988273406353329,0.372218807153313,0
"moving_edge","multistart_eb","matern15","log_sigma_f",-0.570517979407819,0.565232584020587,0
"moving_edge","multistart_eb","matern15","log_sigma_n",-7.48522349972936,0.000561317701596878,0
"moving_edge","multistart_eb","matern25","log_ell",-1.18332983973114,0.306257251287164,0
"moving_edge","multistart_eb","matern25","log_sigma_f",-0.602211600234454,0.547599225329112,0
"moving_edge","multistart_eb","matern25","log_sigma_n",-7.43723605185796,0.000588910668700782,0
"moving_edge","map","rbf","log_ell",-1.51039809398006,0.22082205252947,0
"moving_edge","map","rbf","log_sigma_f",-0.639673389758779,0.527464671276183,0
"moving_edge","map","rbf","log_sigma_n",-7.39621658982701,0.00061356976136159,0
"moving_edge","map","matern05","log_ell",-0.607497750250467,0.544712171099087,0
