"source","source_label","RMSE","MAE","delta","tau","residual_norm","target_norm","discrepancy_ratio","discrepancy_status"
"spike","Hidden narrow spike",0.0470518537291479,0.00966718001413015,8.87922629551849e-08,1.05,1.6382473388317e-05,1.6382473388318e-05,1.04999999999993,"root located"
"mixture","Broad plus sharp source",0.0480310503796497,0.0188471364358776,3.97349535813832e-07,1.05,0.000153838664133931,0.000153838664133935,1.04999999999997,"root located"
"dipole","Positive-negative dipole",0.056016224159309,0.0253965120569387,6.61617622216202e-08,1.05,4.2726315303164e-05,4.27263153032749e-05,1.04999999999727,"root located"
"ring","Ring-shaped source",0.173127470442577,0.100855983930894,1.55250156552795e-07,1.05,0.00012539484254487,0.000125394842545056,1.04999999999844,"root located"
"edge","Moving-edge source",0.276723105887789,0.164261339963998,2.4588465574147e-07,1.05,0.000361503228473587,0.000361503228473583,1.05000000000001,"root located"
"sine","Sine-cosine source",0.177269549112634,0.0877132661777766,1.70900658225289e-07,1.05,0.000208242582951902,0.000208242582951895,1.05000000000004,"root located"
