"budget","method","label","RMSE","RMSE_uniform","RMSE_difference","relative_RMSE_gain_percent"
16,"random","Random",0.263734652806083,0.221267948620182,0.042466704185901,-19.1924336311344
16,"max_source_variance","Max source variance",0.243933959583762,0.221267948620182,0.0226660109635797,-10.243693722893
16,"variance_times_gradient","Variance x |gradient mean|",0.255268316110366,0.221267948620182,0.0340003674901835,-15.3661511765298
