"source","source_label","RMSE","MAE","delta","tau","residual_norm","target_norm","discrepancy_ratio","discrepancy_status"
"spike","Hidden narrow spike",0.0484023126936563,0.011202187927104,1.05785276990255e-06,1.05,0.000163824733883177,0.00016382473388318,1.04999999999998,"root located"
"mixture","Broad plus sharp source",0.0637936162658282,0.0305419645047422,4.9406298907812e-06,1.05,0.00153838664133934,0.00153838664133935,1.05,"root located"
"dipole","Positive-negative dipole",0.0620269460173332,0.0306032469311626,7.02445596198946e-07,1.05,0.000427263153032754,0.000427263153032749,1.05000000000001,"root located"
"ring","Ring-shaped source",0.185292111335963,0.11066781690977,2.12869503399358e-06,1.05,0.00125394842545052,0.00125394842545056,1.04999999999997,"root located"
"edge","Moving-edge source",0.304977293863917,0.198993174402595,2.86298930389693e-06,1.05,0.00361503228473578,0.00361503228473583,1.04999999999999,"root located"
"sine","Sine-cosine source",0.19642573157997,0.109714153926053,1.84991810320238e-06,1.05,0.00208242582951884,0.00208242582951895,1.04999999999994,"root located"
