"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,2.99,325.684685422951,NA,325.684685422951,NA,NA,NA
"spike","multistart_eb","matern05",0,3.24,325.645223964123,NA,325.645223964123,NA,NA,NA
"spike","multistart_eb","matern15",0,3.08,325.665032901545,NA,325.665032901545,NA,NA,NA
"spike","multistart_eb","matern25",0,3.24,325.671672172109,NA,325.671672172109,NA,NA,NA
"mixture","multistart_eb","rbf",0,1.5,223.900228459113,NA,223.900228459113,NA,NA,NA
"mixture","multistart_eb","matern05",0,2.03,224.164505459742,NA,224.164505459742,NA,NA,NA
"mixture","multistart_eb","matern15",0,1.89,224.070206010765,NA,224.070206010765,NA,NA,NA
"mixture","multistart_eb","matern25",0,1.87,224.024106594204,NA,224.024106594204,NA,NA,NA
"dipole","multistart_eb","rbf",0,5.46,261.857232175624,NA,261.857232175624,NA,NA,NA
"dipole","multistart_eb","matern05",0,4.9,261.767013032248,NA,261.767013032248,NA,NA,NA
"dipole","multistart_eb","matern15",0,4.94,261.816690517802,NA,261.816690517802,NA,NA,NA
"dipole","multistart_eb","matern25",0,5.36,261.830607424777,NA,261.830607424777,NA,NA,NA
"ring","multistart_eb","rbf",0,1.85,229.653511420205,NA,229.653511420205,NA,NA,NA
"ring","multistart_eb","matern05",0,1.81,228.979033145175,NA,228.979033145175,NA,NA,NA
"ring","multistart_eb","matern15",0,1.94,229.274449361286,NA,229.274449361286,NA,NA,NA
"ring","multistart_eb","matern25",0,1.76,229.396282540845,NA,229.396282540845,NA,NA,NA
"edge","multistart_eb","rbf",0,2.38,172.940502963405,NA,172.940502963405,NA,NA,NA
"edge","multistart_eb","matern05",0,2.22,172.174598210726,NA,172.174598210726,NA,NA,NA
"edge","multistart_eb","matern15",0,2.22,172.632341741447,NA,172.632341741447,NA,NA,NA
"edge","multistart_eb","matern25",0,2.14,172.766016187654,NA,172.766016187654,NA,NA,NA
"sine","multistart_eb","rbf",0,1.54,211.856601135567,NA,211.856601135567,NA,NA,NA
"sine","multistart_eb","matern05",0,1.68,210.362072289963,NA,210.362072289963,NA,NA,NA
"sine","multistart_eb","matern15",0,1.7,210.937078434086,NA,210.937078434086,NA,NA,NA
"sine","multistart_eb","matern25",0,1.7,211.19643227463,NA,211.19643227463,NA,NA,NA
