"source","source_label","RMSE","MAE","delta","tau","residual_norm","target_norm","discrepancy_ratio","discrepancy_status"
"spike","Hidden narrow spike",0.0471005223858096,0.00968477448063949,8.96117361452243e-08,1.05,1.6382473388315e-05,1.6382473388318e-05,1.04999999999981,"root located"
"mixture","Broad plus sharp source",0.0481509680063226,0.0190108337381962,3.9829407923335e-07,1.05,0.00015383866413393,0.000153838664133935,1.04999999999997,"root located"
"dipole","Positive-negative dipole",0.0560473053147219,0.0254099103861799,6.61723197296936e-08,1.05,4.27263153031628e-05,4.27263153032749e-05,1.04999999999724,"root located"
"ring","Ring-shaped source",0.172671523063123,0.100976564123362,1.53068287293523e-07,1.05,0.000125394842544746,0.000125394842545056,1.0499999999974,"root located"
"edge","Moving-edge source",0.275542451830362,0.162111831784408,2.42021075536542e-07,1.05,0.000361503228473537,0.000361503228473583,1.04999999999987,"root located"
"sine","Sine-cosine source",0.177395024204231,0.0876916996516378,1.71346750774789e-07,1.05,0.000208242582951897,0.000208242582951895,1.05000000000001,"root located"
