"hyper_method","hyper_label","kernel","label","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
"multistart_eb","Multi-start EB","matern05","Matern 0.5",0.167252689479907,0.119910877498545,0.949335712869324,0.928938960680488,0.143250173507833,0.100806821986043,-0.141701913211487
"multistart_eb","Multi-start EB","matern15","Matern 1.5",0.165966721661516,0.119712737427908,0.868530636525877,0.615252897792005,0.193148547491572,0.0978291877888926,0.810479707117553
"multistart_eb","Multi-start EB","matern25","Matern 2.5",0.165470415547125,0.119658429689288,0.843148919294071,0.543938796559564,0.204964183025977,0.0982393036293201,1.81552276557119
"multistart_eb","Multi-start EB","rbf","RBF",0.163785696779631,0.118257476519423,0.81211580408487,0.456275676349521,0.203645895300416,0.0972935499983788,3.87682662866412
