"source","source_label","hyper_method","hyper_label","kernel","label","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","rbf","RBF",0.0438979106820957,0.013566809967759,0.94824509220702,0.10629188679289,0.130697129684711,0.0139020839711871,-1.12625577709493
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0454218297430411,0.0121038853002774,0.976204640095181,0.175329667301738,0.16045248364069,0.0162408717674847,-1.66337048301206
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0442534271025245,0.0130955216215588,0.962522308149911,0.138143308238953,0.146617712671029,0.0149131566662691,-1.58917234788085
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0440693269233828,0.0133067486434168,0.958358120166568,0.126624360428059,0.14111503569304,0.0145381930774558,-1.49336430429483
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","rbf","RBF",0.0699543756671258,0.0378494861506232,0.87150505651398,0.131644171197269,0.0912117043426532,0.029132322281525,1.2407953982644
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.062799358286961,0.0383753797888436,0.983938132064248,0.325433965380576,0.144213637715645,0.0314720704592182,-1.24857507821441
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0659606461709129,0.0372874869789301,0.941106484235574,0.186265235644099,0.0552955829863176,0.0279365263408226,-0.852711337390103
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0673823650126933,0.0373518399896644,0.925044616299821,0.16021917213917,0.0232313355145747,0.0280243716562593,-0.309934127961221
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","rbf","RBF",0.037174568798249,0.0228459627059067,0.953004164187983,0.187795732033078,0.0956807703747769,0.0202729642783169,-1.32981837146038
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0412517973155911,0.0208510677291784,0.991671624033314,0.48406791011289,0.178716909577632,0.0337566733564704,-1.11652041152177
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0347428780891217,0.0194453726082101,0.981558596073766,0.30627545390694,0.164244869125521,0.0236950313193432,-1.51318116916531
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0348464424077555,0.0200478267430275,0.979773944080904,0.259414185388634,0.150711258179655,0.0217325802018661,-1.59587852137466
"ring","Ring-shaped source","multistart_eb","Multi-start EB","rbf","RBF",0.16413661829243,0.109240464203288,0.691255205234979,0.284296806793892,0.184831573468174,0.0919185542183276,2.38050995902416
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.163051822125343,0.106921975313495,0.904223676383105,0.585413843993348,0.0614526323616895,0.0865357687002692,-0.337658904666797
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.162128851148472,0.107543761400677,0.791790600832838,0.394787890685952,0.0979636377156454,0.0873970197273407,0.233541701919207
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.162643888172411,0.107933972926514,0.759071980963712,0.349661499684093,0.123261079714456,0.0887035915723362,0.718278720614169
"edge","Moving-edge source","multistart_eb","Multi-start EB","rbf","RBF",0.223989755144778,0.163106669184993,0.659131469363474,0.333511704415734,0.287969586555622,0.13076540759811,3.41141553771196
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.200676020223635,0.149008956694938,0.89708506841166,0.669942329687522,0.0337607822724569,0.108541830294212,-0.163997317184885
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.209779530560632,0.152946794539343,0.761451516954194,0.413563694694048,0.182228955978584,0.11764622824629,0.859579650892112
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.214153231077688,0.155574936538351,0.718619869125521,0.370593226344545,0.227960663295657,0.122019922979931,1.63749314892018
"sine","Sine-cosine source","multistart_eb","Multi-start EB","rbf","RBF",0.0468555163744645,0.0387982207584499,0.728732897085068,0.146633964612996,0.193680472932778,0.0288146811758007,-1.09636338910155
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0742211140468019,0.0590393584672909,0.997620464009518,0.602485041384746,0.159383179654967,0.0495383745881278,-0.844467700380883
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.052325898705218,0.0418012647552362,0.976204640095181,0.263227961307192,0.0537169095776324,0.0303898048881631,-1.48128179286937
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0479786444978989,0.0388889783281812,0.911362284354551,0.205294730346441,0.024287254610351,0.0281577807504037,-1.53520347234382
