"source","source_label","RMSE","MAE","delta","tau","residual_norm","target_norm","discrepancy_ratio","discrepancy_status"
"spike","Hidden narrow spike",0.0470825737053456,0.00964826091563745,8.92062630144895e-08,1.05,1.63824733880218e-05,1.6382473388318e-05,1.04999999998102,"root located"
"mixture","Broad plus sharp source",0.0482227575080564,0.0189312975064665,4.00507258452252e-07,1.05,0.000153838664133941,0.000153838664133935,1.05000000000004,"root located"
"dipole","Positive-negative dipole",0.0559882098594634,0.0253826126091085,6.61342684832056e-08,1.05,4.27263153031603e-05,4.27263153032749e-05,1.04999999999718,"root located"
"ring","Ring-shaped source",0.172695245915864,0.100928919818925,1.52979125923026e-07,1.05,0.000125394842544734,0.000125394842545056,1.0499999999973,"root located"
"edge","Moving-edge source",0.275829555620943,0.162988170326346,2.43629314183683e-07,1.05,0.000361503228473559,0.000361503228473583,1.04999999999993,"root located"
"sine","Sine-cosine source",0.177390296080291,0.0879670994157497,1.7089374984768e-07,1.05,0.000208242582951909,0.000208242582951895,1.05000000000007,"root located"
