"source","source_label","hyper_method","hyper_label","kernel","label","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","rbf","RBF",0.0440162929449671,0.0104045101743608,0.932183224271267,0.0885379944747758,0.134266433670434,0.0127700734194568,-0.476354079616908
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0454257623910842,0.0100045844117894,0.969660916121356,0.156234636711997,0.155247248661511,0.0152485151375138,-1.63667561272881
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0442806654151365,0.0103062139370375,0.956573468173706,0.118408285827788,0.140520151695419,0.0137961884899708,-1.41072003324442
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0441201888961068,0.0103370374814853,0.94824509220702,0.107201969277023,0.136497248661511,0.0133986252789688,-1.20375865857593
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","rbf","RBF",0.0630218233235448,0.0230834280375264,0.894110648423557,0.105499660208372,0.0829428167757287,0.0206274012581967,2.61634917723949
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.048045552319163,0.0185169589081602,0.984533016061868,0.285379160581322,0.164737135633551,0.0234583906058807,-1.43627887546383
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0557720039542848,0.0192169344052488,0.941701368233195,0.154942575863114,0.126681662700773,0.0194662604031979,-0.846686812660225
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0587192053835757,0.0203395086298611,0.925044616299821,0.131346470730438,0.111363399762046,0.0195777871933542,0.00614606340871516
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","rbf","RBF",0.0347720951177788,0.0166461796877279,0.96192742415229,0.193113805309726,0.122822352766211,0.0188261694372276,-1.4542919388527
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0405445814880074,0.0165114983822831,0.990481856038073,0.47517082913062,0.177080978584176,0.0330611769200309,-1.1351479856323
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.032998048330092,0.0138356082252178,0.980963712076145,0.301494445313316,0.167739812611541,0.0227328513155455,-1.53900436698966
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0328997850149834,0.0142227580382773,0.979773944080904,0.256861860888131,0.155544690660321,0.0206549337589181,-1.62594547071977
"ring","Ring-shaped source","multistart_eb","Multi-start EB","rbf","RBF",0.160408023002118,0.102616312568106,0.6918500892326,0.277812940116895,0.16757993753718,0.0886673319476858,2.4695730030785
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.158302985347646,0.0970942455660298,0.895300416418798,0.566195702502857,0.0624193188578227,0.0832641603250981,-0.363517002188914
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.157848591697443,0.0988973689904922,0.774538964901844,0.381105344988282,0.114694750148721,0.0840343031200707,0.250511051313564
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.158650668671081,0.100043564073737,0.743010113027959,0.338293611570381,0.135515690065437,0.0854388172482594,0.767910594227207
"edge","Moving-edge source","multistart_eb","Multi-start EB","rbf","RBF",0.189237118118778,0.125107572455021,0.7180249851279,0.265141551050043,0.217401472337894,0.103343797788447,4.63522194126529
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.169436893444309,0.10046065559323,0.894110648423557,0.573340773163446,0.0904532272456871,0.0844122747962908,-0.350838433509244
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.178569909159634,0.110440283668596,0.806067816775729,0.336724972096493,0.0996888013087448,0.0903574781883015,0.946527061584503
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.182298190051734,0.115318782630312,0.779298036882808,0.29780348643068,0.13880242415229,0.0945706522428196,2.03944024169536
"sine","Sine-cosine source","multistart_eb","Multi-start EB","rbf","RBF",0.0453272219925811,0.0320343181918995,0.305770374776918,0.0332803947488711,0.554254535990482,0.0285044572736822,15.6324800755484
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0569982454154064,0.0410590153177098,1,0.451251298893591,0.163473007138608,0.0363209788034622,-1.15800555389859
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0438035541925586,0.0333052625093557,0.801903628792386,0.110621482457321,0.148841091612136,0.0246241369504875,-1.05350177634331
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0435574165491381,0.032070383758534,0.499107674003569,0.0590841549358612,0.396982079119572,0.0263470273052329,3.60085350582583
