"source","hyper_method","kernel","parameter","optimizer_value","natural_parameter","natural_value"
"spike","multistart_eb","rbf","log_ell",-2.64071534558947,"ell",0.0713102398410672
"spike","multistart_eb","rbf","log_sigma_f",-3.10268397999001,"sigma_f",0.0449284533522598
"spike","multistart_eb","rbf","log_sigma_n",-17.6191689896438,"sigma_n",2.22890794398885e-08
"spike","multistart_eb","matern05","log_ell",-2.66770835047835,"ell",0.0694111091218224
"spike","multistart_eb","matern05","log_sigma_f",-2.95573817716182,"sigma_f",0.0520402314835948
"spike","multistart_eb","matern05","log_sigma_n",-16.9265081298035,"sigma_n",4.45564848681588e-08
"spike","multistart_eb","matern15","log_ell",-2.63589877843018,"ell",0.0716545389045623
"spike","multistart_eb","matern15","log_sigma_f",-3.03415828909132,"sigma_f",0.0481151448784503
"spike","multistart_eb","matern15","log_sigma_n",-13.6027765967539,"sigma_n",1.2370555027138e-06
"spike","multistart_eb","matern25","log_ell",-2.63180058654704,"ell",0.0719487955024512
"spike","multistart_eb","matern25","log_sigma_f",-3.05880012195798,"sigma_f",0.0469439885017065
"spike","multistart_eb","matern25","log_sigma_n",-13.0825344200708,"sigma_n",2.08126553273241e-06
"mixture","multistart_eb","rbf","log_ell",-1.56082139595416,"ell",0.209963537151143
"mixture","multistart_eb","rbf","log_sigma_f",-1.68726394042926,"sigma_f",0.18502507169153
"mixture","multistart_eb","rbf","log_sigma_n",-8.74930505195319,"sigma_n",0.00015857148577767
"mixture","multistart_eb","matern05","log_ell",-0.926308897969422,"ell",0.396012739429172
"mixture","multistart_eb","matern05","log_sigma_f",-1.62465796723851,"sigma_f",0.196979036967543
"mixture","multistart_eb","matern05","log_sigma_n",-11.4915580344989,"sigma_n",1.02159734868087e-05
"mixture","multistart_eb","matern15","log_ell",-1.22154261141579,"ell",0.294775092589905
"mixture","multistart_eb","matern15","log_sigma_f",-1.64823457165908,"sigma_f",0.192389258433053
"mixture","multistart_eb","matern15","log_sigma_n",-8.99202202428599,"sigma_n",0.00012439830237121
"mixture","multistart_eb","matern25","log_ell",-1.33506323289666,"ell",0.263141535728408
"mixture","multistart_eb","matern25","log_sigma_f",-1.65961896722489,"sigma_f",0.190211443089276
"mixture","multistart_eb","matern25","log_sigma_n",-8.87950342016445,"sigma_n",0.000139213278907339
"dipole","multistart_eb","rbf","log_ell",-2.30562163972972,"ell",0.0996968058909432
"dipole","multistart_eb","rbf","log_sigma_f",-1.79745588266027,"sigma_f",0.165719963394555
"dipole","multistart_eb","rbf","log_sigma_n",-16.6605660433181,"sigma_n",5.81310412289456e-08
"dipole","multistart_eb","matern05","log_ell",-2.16747936477365,"ell",0.114465780058601
"dipole","multistart_eb","matern05","log_sigma_f",-1.6610474749528,"sigma_f",0.189939918556505
"dipole","multistart_eb","matern05","log_sigma_n",-16.3249790529092,"sigma_n",8.13114452019429e-08
"dipole","multistart_eb","matern15","log_ell",-2.18064682749942,"ell",0.112968435912244
"dipole","multistart_eb","matern15","log_sigma_f",-1.74172979275179,"sigma_f",0.175217049143449
"dipole","multistart_eb","matern15","log_sigma_n",-16.3298054078979,"sigma_n",8.09199528033427e-08
"dipole","multistart_eb","matern25","log_ell",-2.20729978353715,"ell",0.109997264295802
"dipole","multistart_eb","matern25","log_sigma_f",-1.76191204953622,"sigma_f",0.171716219812907
"dipole","multistart_eb","matern25","log_sigma_n",-16.4194160878996,"sigma_n",7.39840662480405e-08
"ring","multistart_eb","rbf","log_ell",-2.1150022178765,"ell",0.120633022003717
"ring","multistart_eb","rbf","log_sigma_f",-1.55835353239857,"sigma_f",0.21048233841454
"ring","multistart_eb","rbf","log_sigma_n",-8.20653096069508,"sigma_n",0.000272865663031896
"ring","multistart_eb","matern05","log_ell",-1.91359169865818,"ell",0.147549480467775
"ring","multistart_eb","matern05","log_sigma_f",-1.41757549079583,"sigma_f",0.242300765757364
"ring","multistart_eb","matern05","log_sigma_n",-8.59649295231237,"sigma_n",0.000184752594984132
"ring","multistart_eb","matern15","log_ell",-2.00045690565572,"ell",0.135273461904618
"ring","multistart_eb","matern15","log_sigma_f",-1.51125813332492,"sigma_f",0.220632218520142
"ring","multistart_eb","matern15","log_sigma_n",-8.32107167415134,"sigma_n",0.000243334948667755
"ring","multistart_eb","matern25","log_ell",-2.03382818785735,"ell",0.130833705236827
"ring","multistart_eb","matern25","log_sigma_f",-1.53265511279811,"sigma_f",0.21596150326693
"ring","multistart_eb","matern25","log_sigma_n",-8.27181939020679,"sigma_n",0.000255619795773483
"edge","multistart_eb","rbf","log_ell",-1.64765796797732,"ell",0.192500222775947
"edge","multistart_eb","rbf","log_sigma_f",-0.704509014175686,"sigma_f",0.494351234128177
"edge","multistart_eb","rbf","log_sigma_n",-7.99281231336493,"sigma_n",0.000337882514424484
"edge","multistart_eb","matern05","log_ell",-0.0117436157635569,"ell",0.988325071350757
"edge","multistart_eb","matern05","log_sigma_f",-0.481929466236741,"sigma_f",0.617590621219124
"edge","multistart_eb","matern05","log_sigma_n",-8.65298369151056,"sigma_n",0.000174605102418771
"edge","multistart_eb","matern15","log_ell",-1.0534159769241,"ell",0.348744409206521
"edge","multistart_eb","matern15","log_sigma_f",-0.625489796922331,"sigma_f",0.534999323313061
"edge","multistart_eb","matern15","log_sigma_n",-8.17338711963055,"sigma_n",0.000282061022206931
"edge","multistart_eb","matern25","log_ell",-1.28483794951942,"ell",0.276695418624671
"edge","multistart_eb","matern25","log_sigma_f",-0.661607622988117,"sigma_f",0.516021099935819
"edge","multistart_eb","matern25","log_sigma_n",-8.10140503828922,"sigma_n",0.000303112953440568
"sine","multistart_eb","rbf","log_ell",-1.07164323601097,"ell",0.342445336317273
"sine","multistart_eb","rbf","log_sigma_f",-0.415616175160644,"sigma_f",0.659933520756998
"sine","multistart_eb","rbf","log_sigma_n",-10.6610200053872,"sigma_n",2.34410920450697e-05
"sine","multistart_eb","matern05","log_ell",0.182321556793955,"ell",1.2
"sine","multistart_eb","matern05","log_sigma_f",-0.605777372991101,"sigma_f",0.545650088085344
"sine","multistart_eb","matern05","log_sigma_n",-15.0766773928418,"sigma_n",2.83323242111421e-07
"sine","multistart_eb","matern15","log_ell",-0.0476456264197083,"ell",0.953471612364771
"sine","multistart_eb","matern15","log_sigma_f",-0.0576720898103142,"sigma_f",0.943959430608629
"sine","multistart_eb","matern15","log_sigma_n",-15.0766773928418,"sigma_n",2.83323242111421e-07
"sine","multistart_eb","matern25","log_ell",-0.467987578039784,"ell",0.626261303002229
"sine","multistart_eb","matern25","log_sigma_f",-0.118982741882821,"sigma_f",0.887823122785222
"sine","multistart_eb","matern25","log_sigma_n",-15.0766773928418,"sigma_n",2.83323242111421e-07
