"quantity","type","rank_split_Rhat","bulk_ESS","MCSE_mean","posterior_mean","posterior_sd","ESS_per_second","source"
"log_ell","hyperparameter",1.00330121386859,922.7872949067,0.01187009979787,-0.570123991773511,0.360582938434299,24.1820569944104,"edge"
"log_sigma_f","hyperparameter",1.00262985010205,885.025725403753,0.00590898023799367,-0.608629567696218,0.175788509935442,23.1924980451717,"edge"
"log_sigma_n","hyperparameter",1.00431752673418,941.552049532351,0.00671588293943193,-7.63901598528332,0.206074988430619,24.6737958472838,"edge"
"mu_f(0.25,0.25)","downstream_posterior_mean",1.00237365850221,899.552259327739,0.000565509520186714,-0.0424418138779731,0.0169610650537369,23.5731724142489,"edge"
"mu_f(0.5,0.5)","downstream_posterior_mean",1.00170518192909,899.835166547454,0.00137239079886432,0.766782454960942,0.0411679535280574,23.5805861254574,"edge"
"mu_f(0.75,0.25)","downstream_posterior_mean",1.00243647681741,905.503991364868,0.000357791814076623,0.990874420419968,0.0107665257792349,23.7291402349284,"edge"
"mu_f(0.75,0.75)","downstream_posterior_mean",1.00355043033128,945.409952172328,0.000147424834278279,1.04449052344363,0.0045329479590109,24.7748939248514,"edge"
