"source","source_label","budget","method","label","RMSE","MAE","Coverage95","CalibrationMAE","CRPS","NLPD","MeanSD","MeanVariance","LatentIntegratedVariance"
"sine","Sine-cosine source",16,"uniform","Uniform",0.171614857486664,0.110045959839044,0.892920880428317,0.0638321683521713,0.0870503008432054,-0.342399200834978,0.137263734608355,0.0188898384019522,0.0182398518916256
"sine","Sine-cosine source",16,"random","Random",0.283757381858078,0.18506501971281,0.789411064842356,0.117089158239143,0.148041923953346,0.790009443067045,0.140231788398101,0.019733079768988,0.0191977360077941
"sine","Sine-cosine source",16,"max_source_variance","Max source variance",0.19337200954652,0.134001411366136,0.873884592504462,0.044810752528257,0.101708496149992,-0.120217113140567,0.138280515804793,0.0191765140446641,0.0185478912560081
"sine","Sine-cosine source",16,"variance_times_gradient","Variance x |gradient mean|",0.447836007817881,0.352466321133129,0.48720999405116,0.400179580606782,0.293365645804496,3.47083969512375,0.146115114820445,0.0214265113628062,0.0210703964520735
