"source","source_label","hyper_method","hyper_label","kernel","label","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","rbf","RBF",0.0440135445654052,0.010499074102242,0.932183224271267,0.0889336821048813,0.134638236168947,0.0127795559980681,-0.498158618239829
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0454282332109703,0.0100526690756969,0.969660916121356,0.156347319260775,0.155395969660916,0.0152524171126322,-1.63690453748151
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0442835645931669,0.0103909132666153,0.957168352171327,0.118569570296428,0.140668872694825,0.0138008942385767,-1.41280316138967
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.044120225948662,0.0104285799481759,0.94883997620464,0.107440949390382,0.136497248661511,0.0134058455670229,-1.20911902899037
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","rbf","RBF",0.0630276051209727,0.0237224903766104,0.895300416418798,0.105182739085961,0.0827940957763236,0.020851058929115,2.61078809581913
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0481539347389345,0.0183178444276818,0.985127900059488,0.283603555307183,0.164514054134444,0.0233675114365832,-1.43786248742319
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0557602008856899,0.0197213514866919,0.938132064247472,0.154045934436576,0.125566255205235,0.0195452462118613,-0.835587286193402
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0586831394606202,0.0209480107569089,0.925044616299821,0.130596498494315,0.108686421772754,0.0197057051423696,0.0229445628821944
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","rbf","RBF",0.0347625834638539,0.0168090851279177,0.960737656157049,0.193084274593434,0.122450550267698,0.0188322248160739,-1.45609855984986
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0404804093093468,0.0164698285345594,0.991076740035693,0.476479044920032,0.177304060083284,0.0331121750303684,-1.13296271087582
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.03292173542573,0.0139094696883309,0.980963712076145,0.302785605517134,0.168185975609756,0.0227740744541466,-1.53682945358028
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0328360769675508,0.0143371787796489,0.979773944080904,0.257922561653753,0.156362656157049,0.0206846841630946,-1.62529529625804
"ring","Ring-shaped source","multistart_eb","Multi-start EB","rbf","RBF",0.16081818295007,0.102789844078605,0.694229625223082,0.280392417113916,0.169141508030934,0.0887907956883425,2.40787700738953
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.158755190829121,0.0969878458577142,0.895300416418798,0.566451505764477,0.062716760856633,0.0834475699878637,-0.359246481549404
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.158289457541627,0.099003963251365,0.776323616894706,0.382792827391026,0.114248587150506,0.0841981883338973,0.24941679636966
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.159076664566662,0.10016895640499,0.742415229030339,0.340348257135877,0.136110574063058,0.0855841207464045,0.756379730829444
"edge","Moving-edge source","multistart_eb","Multi-start EB","rbf","RBF",0.18988481844871,0.126727849379654,0.720999405116002,0.272138040365923,0.218516879833432,0.104290598079407,4.37040777866087
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.169498056002129,0.101359913945649,0.900654372397383,0.588492118658668,0.090973750743605,0.0847786779537288,-0.35807243071549
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.179140326867571,0.112152759987956,0.809042236763831,0.347553947663854,0.0981272308149911,0.0910522988286089,0.840057868274343
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.183004715091213,0.117103769667663,0.787031528851874,0.307395613242889,0.140512715645449,0.0954214309816048,1.86760844767458
"sine","Sine-cosine source","multistart_eb","Multi-start EB","rbf","RBF",0.0466202394285377,0.0325622875325515,0.261154074955384,0.0282875537376808,0.606976130279596,0.0292183172706335,23.248418503347
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0573314226669018,0.0410005320108336,1,0.44994947330198,0.162431960142772,0.0363000310317086,-1.16044387044374
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0444669619904111,0.0336130001912458,0.812016656751933,0.107968452563594,0.149807778108269,0.0246708496979262,-1.02326905234957
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0442236549234368,0.0322762136453757,0.485425342058299,0.0562502689940322,0.427246802498513,0.0264936301961073,4.55475966196123
