"source","hyper_method","kernel","label","nominal","empirical","mean_width"
"spike","multistart_eb","rbf","RBF",0.5,0.835217132659131,0.0508950641599188
"spike","multistart_eb","rbf","RBF",0.6,0.892920880428317,0.0635063270695975
"spike","multistart_eb","rbf","RBF",0.7,0.913741820345033,0.0782062942252772
"spike","multistart_eb","rbf","RBF",0.8,0.929208804283165,0.0967022095349489
"spike","multistart_eb","rbf","RBF",0.9,0.94883997620464,0.124115942240832
"spike","multistart_eb","rbf","RBF",0.95,0.96133254015467,0.147893267044157
"spike","multistart_eb","rbf","RBF",0.975,0.970850684116597,0.169129828283539
"spike","multistart_eb","rbf","RBF",0.99,0.979773944080904,0.194364699583661
"spike","multistart_eb","matern05","Matern 0.5",0.5,0.930398572278406,0.0852872225808279
"spike","multistart_eb","matern05","Matern 0.5",0.6,0.951219512195122,0.106420501505941
"spike","multistart_eb","matern05","Matern 0.5",0.7,0.962522308149911,0.131053919135556
"spike","multistart_eb","matern05","Matern 0.5",0.8,0.977394408090422,0.162048383370742
"spike","multistart_eb","matern05","Matern 0.5",0.9,0.985127900059488,0.207986848360423
"spike","multistart_eb","matern05","Matern 0.5",0.95,0.988697204045211,0.247831615752913
"spike","multistart_eb","matern05","Matern 0.5",0.975,0.989292088042832,0.283418707648181
"spike","multistart_eb","matern05","Matern 0.5",0.99,0.990481856038073,0.325705953393849
"spike","multistart_eb","matern15","Matern 1.5",0.5,0.896490184414039,0.0673827414775145
"spike","multistart_eb","matern15","Matern 1.5",0.6,0.921475312314099,0.0840794778383869
"spike","multistart_eb","matern15","Matern 1.5",0.7,0.938726948245092,0.103541563267079
"spike","multistart_eb","matern15","Matern 1.5",0.8,0.956573468173706,0.128029310758379
"spike","multistart_eb","matern15","Matern 1.5",0.9,0.970255800118977,0.164323841364531
"spike","multistart_eb","matern15","Matern 1.5",0.95,0.979773944080904,0.195803933917614
"spike","multistart_eb","matern15","Matern 1.5",0.975,0.985127900059488,0.223920171503412
"spike","multistart_eb","matern15","Matern 1.5",0.99,0.98750743604997,0.257329989078091
"spike","multistart_eb","matern25","Matern 2.5",0.5,0.87150505651398,0.0616715948235212
"spike","multistart_eb","matern25","Matern 2.5",0.6,0.91076740035693,0.0769531689646756
"spike","multistart_eb","matern25","Matern 2.5",0.7,0.929803688280785,0.0947657099901784
"spike","multistart_eb","matern25","Matern 2.5",0.8,0.947650208209399,0.117177953961108
"spike","multistart_eb","matern25","Matern 2.5",0.9,0.964901844140393,0.150396275697089
"spike","multistart_eb","matern25","Matern 2.5",0.95,0.977989292088043,0.179208215822567
"spike","multistart_eb","matern25","Matern 2.5",0.975,0.980368828078525,0.204941410618919
"spike","multistart_eb","matern25","Matern 2.5",0.99,0.985722784057109,0.235519518416462
"mixture","multistart_eb","rbf","RBF",0.5,0.47471743010113,0.123618920946886
"mixture","multistart_eb","rbf","RBF",0.6,0.586555621653778,0.154250392552333
"mixture","multistart_eb","rbf","RBF",0.7,0.701963117192148,0.189955113780897
"mixture","multistart_eb","rbf","RBF",0.8,0.830458060678168,0.234879805993138
"mixture","multistart_eb","rbf","RBF",0.9,0.898274836406901,0.301464967288533
"mixture","multistart_eb","rbf","RBF",0.95,0.937537180249851,0.359217664602263
"mixture","multistart_eb","rbf","RBF",0.975,0.954193932183224,0.410799106307219
"mixture","multistart_eb","rbf","RBF",0.99,0.966091612135634,0.472092035431991
"mixture","multistart_eb","matern05","Matern 0.5",0.5,0.837596668649613,0.268733976915004
"mixture","multistart_eb","matern05","Matern 0.5",0.6,0.927424152290303,0.335323436847498
"mixture","multistart_eb","matern05","Matern 0.5",0.7,0.980368828078525,0.41294158507997
"mixture","multistart_eb","matern05","Matern 0.5",0.8,0.991671624033314,0.510602939081476
"mixture","multistart_eb","matern05","Matern 0.5",0.9,0.992266508030934,0.655351777377246
"mixture","multistart_eb","matern05","Matern 0.5",0.95,0.992861392028554,0.780899807628664
"mixture","multistart_eb","matern05","Matern 0.5",0.975,0.994646044021416,0.893032204985038
"mixture","multistart_eb","matern05","Matern 0.5",0.99,0.995240928019036,1.02627631093826
"mixture","multistart_eb","matern15","Matern 1.5",0.5,0.652587745389649,0.177678354591371
"mixture","multistart_eb","matern15","Matern 1.5",0.6,0.758477096966092,0.221705186664324
"mixture","multistart_eb","matern15","Matern 1.5",0.7,0.867340868530637,0.27302383651535
"mixture","multistart_eb","matern15","Matern 1.5",0.8,0.936942296252231,0.337594416258756
"mixture","multistart_eb","matern15","Matern 1.5",0.9,0.989886972040452,0.433297742323623
"mixture","multistart_eb","matern15","Matern 1.5",0.95,0.991076740035693,0.516306105067106
"mixture","multistart_eb","matern15","Matern 1.5",0.975,0.991671624033314,0.590444478217323
"mixture","multistart_eb","matern15","Matern 1.5",0.99,0.992266508030934,0.678541241330586
"mixture","multistart_eb","matern25","Matern 2.5",0.5,0.60261748958953,0.156331579871332
"mixture","multistart_eb","matern25","Matern 2.5",0.6,0.712671029149316,0.195068905138237
"mixture","multistart_eb","matern25","Matern 2.5",0.7,0.819750148720999,0.240221988790578
"mixture","multistart_eb","matern25","Matern 2.5",0.8,0.904223676383105,0.297034878394998
"mixture","multistart_eb","matern25","Matern 2.5",0.9,0.960737656157049,0.381240139058687
"mixture","multistart_eb","matern25","Matern 2.5",0.95,0.984533016061868,0.454275644818889
"mixture","multistart_eb","matern25","Matern 2.5",0.975,0.990481856038073,0.519506826356557
"mixture","multistart_eb","matern25","Matern 2.5",0.99,0.991076740035693,0.597019397827182
"dipole","multistart_eb","rbf","RBF",0.5,0.826888756692445,0.256448452402051
"dipole","multistart_eb","rbf","RBF",0.6,0.888756692444973,0.319993688259508
"dipole","multistart_eb","rbf","RBF",0.7,0.929803688280785,0.394063421536392
"dipole","multistart_eb","rbf","RBF",0.8,0.954193932183224,0.487260059269685
"dipole","multistart_eb","rbf","RBF",0.9,0.982153480071386,0.625391515492974
"dipole","multistart_eb","rbf","RBF",0.95,0.993456276026175,0.745199953673029
"dipole","multistart_eb","rbf","RBF",0.975,0.997025580011898,0.852206072126258
"dipole","multistart_eb","rbf","RBF",0.99,0.99940511600238,0.979358749862296
"dipole","multistart_eb","matern05","Matern 0.5",0.5,0.940511600237954,0.398547619670233
"dipole","multistart_eb","matern05","Matern 0.5",0.6,0.96133254015467,0.497303538277488
"dipole","multistart_eb","matern05","Matern 0.5",0.7,0.9738251041047,0.612415622638325
"dipole","multistart_eb","matern05","Matern 0.5",0.8,0.988697204045211,0.757252909749894
"dipole","multistart_eb","matern05","Matern 0.5",0.9,0.99940511600238,0.97192358747762
"dipole","multistart_eb","matern05","Matern 0.5",0.95,1,1.15811838571415
"dipole","multistart_eb","matern05","Matern 0.5",0.975,1,1.32441704495825
"dipole","multistart_eb","matern05","Matern 0.5",0.99,1,1.52202555681211
"dipole","multistart_eb","matern15","Matern 1.5",0.5,0.891731112433076,0.311351928323531
"dipole","multistart_eb","matern15","Matern 1.5",0.6,0.928613920285544,0.388501669469072
"dipole","multistart_eb","matern15","Matern 1.5",0.7,0.957763236168947,0.478429115200006
"dipole","multistart_eb","matern15","Matern 1.5",0.8,0.976799524092802,0.591578376190822
"dipole","multistart_eb","matern15","Matern 1.5",0.9,0.993456276026175,0.759282625736584
"dipole","multistart_eb","matern15","Matern 1.5",0.95,0.998215348007139,0.904741051815558
"dipole","multistart_eb","matern15","Matern 1.5",0.975,1,1.0346562882335
"dipole","multistart_eb","matern15","Matern 1.5",0.99,1,1.18903129433629
"dipole","multistart_eb","matern25","Matern 2.5",0.5,0.873884592504462,0.283839083209206
"dipole","multistart_eb","matern25","Matern 2.5",0.6,0.913741820345033,0.354171429999182
"dipole","multistart_eb","matern25","Matern 2.5",0.7,0.946460440214158,0.436152369989026
"dipole","multistart_eb","matern25","Matern 2.5",0.8,0.970850684116597,0.539303112232254
"dipole","multistart_eb","matern25","Matern 2.5",0.9,0.989886972040452,0.692188050821407
"dipole","multistart_eb","matern25","Matern 2.5",0.95,0.996430696014277,0.824792934708326
"dipole","multistart_eb","matern25","Matern 2.5",0.975,0.99940511600238,0.94322811446883
"dipole","multistart_eb","matern25","Matern 2.5",0.99,1,1.08396165814259
"ring","multistart_eb","rbf","RBF",0.5,0.439619274241523,0.3313998200421
"ring","multistart_eb","rbf","RBF",0.6,0.545508625817965,0.413517218413758
"ring","multistart_eb","rbf","RBF",0.7,0.640095181439619,0.509235075349942
"ring","multistart_eb","rbf","RBF",0.8,0.747769185008923,0.629669995834162
"ring","multistart_eb","rbf","RBF",0.9,0.839381320642475,0.80817269025785
"ring","multistart_eb","rbf","RBF",0.95,0.900654372397383,0.962997156853376
"ring","multistart_eb","rbf","RBF",0.975,0.938726948245092,1.10127761074829
"ring","multistart_eb","rbf","RBF",0.99,0.971445568114218,1.26559279426724
"ring","multistart_eb","matern05","Matern 0.5",0.5,0.74360499702558,0.607627611274704
"ring","multistart_eb","matern05","Matern 0.5",0.6,0.837596668649613,0.758191358141932
"ring","multistart_eb","matern05","Matern 0.5",0.7,0.915526472337894,0.933691793715732
"ring","multistart_eb","matern05","Matern 0.5",0.8,0.960737656157049,1.15451141588266
"ring","multistart_eb","matern05","Matern 0.5",0.9,0.994646044021416,1.48179936010963
"ring","multistart_eb","matern05","Matern 0.5",0.95,1,1.76567284197322
"ring","multistart_eb","matern05","Matern 0.5",0.975,1,2.01921257496243
"ring","multistart_eb","matern05","Matern 0.5",0.99,1,2.32048745931543
"ring","multistart_eb","matern15","Matern 1.5",0.5,0.578227245687091,0.454408494026713
"ring","multistart_eb","matern15","Matern 1.5",0.6,0.67995240928019,0.567006151209255
"ring","multistart_eb","matern15","Matern 1.5",0.7,0.779892920880428,0.698252472394072
"ring","multistart_eb","matern15","Matern 1.5",0.8,0.864366448542534,0.863390313562812
"ring","multistart_eb","matern15","Matern 1.5",0.9,0.946460440214158,1.10814947047024
"ring","multistart_eb","matern15","Matern 1.5",0.95,0.981558596073766,1.32044153718055
"ring","multistart_eb","matern15","Matern 1.5",0.975,0.994051160023795,1.51004880009257
"ring","multistart_eb","matern15","Matern 1.5",0.99,1,1.73535433912118
"ring","multistart_eb","matern25","Matern 2.5",0.5,0.529446757882213,0.409607284927271
"ring","multistart_eb","matern25","Matern 2.5",0.6,0.62760261748959,0.511103672547617
"ring","multistart_eb","matern25","Matern 2.5",0.7,0.733491969066032,0.629410108241236
"ring","multistart_eb","matern25","Matern 2.5",0.8,0.824509220701963,0.778266618735739
"ring","multistart_eb","matern25","Matern 2.5",0.9,0.914931588340274,0.998894390971104
"ring","multistart_eb","matern25","Matern 2.5",0.95,0.960737656157049,1.1902560802878
"ring","multistart_eb","matern25","Matern 2.5",0.975,0.985127900059488,1.36116951431203
"ring","multistart_eb","matern25","Matern 2.5",0.99,0.995240928019036,1.56426164690575
"edge","multistart_eb","rbf","RBF",0.5,0.276026174895895,0.119280081864042
"edge","multistart_eb","rbf","RBF",0.6,0.326591314693635,0.148836434667702
"edge","multistart_eb","rbf","RBF",0.7,0.365258774538965,0.18328797362674
"edge","multistart_eb","rbf","RBF",0.8,0.396192742415229,0.226635876389097
"edge","multistart_eb","rbf","RBF",0.9,0.439619274241523,0.290883998192859
"edge","multistart_eb","rbf","RBF",0.95,0.477096966091612,0.346609662279595
"edge","multistart_eb","rbf","RBF",0.975,0.504461629982153,0.396380672591812
"edge","multistart_eb","rbf","RBF",0.99,0.539559785841761,0.455522311652316
"edge","multistart_eb","matern05","Matern 0.5",0.5,0.383700178465199,0.292344090392933
"edge","multistart_eb","matern05","Matern 0.5",0.6,0.506246281975015,0.364783888728812
"edge","multistart_eb","matern05","Matern 0.5",0.7,0.609161213563355,0.449221320881958
"edge","multistart_eb","matern05","Matern 0.5",0.8,0.693634741225461,0.555462891188278
"edge","multistart_eb","matern05","Matern 0.5",0.9,0.790005948839976,0.712928902567981
"edge","multistart_eb","matern05","Matern 0.5",0.95,0.8459250446163,0.84950718390709
"edge","multistart_eb","matern05","Matern 0.5",0.975,0.882807852468769,0.971491177464765
"edge","multistart_eb","matern05","Matern 0.5",0.99,0.920880428316478,1.11644168726738
"edge","multistart_eb","matern15","Matern 1.5",0.5,0.30755502676978,0.161799613015411
"edge","multistart_eb","matern15","Matern 1.5",0.6,0.351576442593694,0.201891859525016
"edge","multistart_eb","matern15","Matern 1.5",0.7,0.395597858417609,0.248624269364502
"edge","multistart_eb","matern15","Matern 1.5",0.8,0.444973230220107,0.3074243119397
"edge","multistart_eb","matern15","Matern 1.5",0.9,0.508625817965497,0.394574832649977
"edge","multistart_eb","matern15","Matern 1.5",0.95,0.560975609756098,0.470164912262244
"edge","multistart_eb","matern15","Matern 1.5",0.975,0.596668649613325,0.53767769463174
"edge","multistart_eb","matern15","Matern 1.5",0.99,0.644259369422962,0.617901434954065
"edge","multistart_eb","matern25","Matern 2.5",0.5,0.309339678762641,0.136590958613214
"edge","multistart_eb","matern25","Matern 2.5",0.6,0.343248066627008,0.170436765050233
"edge","multistart_eb","matern25","Matern 2.5",0.7,0.374182034503272,0.209888186097037
"edge","multistart_eb","matern25","Matern 2.5",0.8,0.413444378346222,0.259527082211573
"edge","multistart_eb","matern25","Matern 2.5",0.9,0.462819750148721,0.333099403835874
"edge","multistart_eb","matern25","Matern 2.5",0.95,0.502676977989292,0.396912420711912
"edge","multistart_eb","matern25","Matern 2.5",0.975,0.537775133848899,0.453906596968788
"edge","multistart_eb","matern25","Matern 2.5",0.99,0.573468173706127,0.521631342349485
"sine","multistart_eb","rbf","RBF",0.5,0.566329565734682,0.223088636419248
"sine","multistart_eb","rbf","RBF",0.6,0.665675193337299,0.278367659886135
"sine","multistart_eb","rbf","RBF",0.7,0.742415229030339,0.342802113055583
"sine","multistart_eb","rbf","RBF",0.8,0.818560380725758,0.423875368269397
"sine","multistart_eb","rbf","RBF",0.9,0.929803688280785,0.544038145337543
"sine","multistart_eb","rbf","RBF",0.95,0.966686496133254,0.648261434091126
"sine","multistart_eb","rbf","RBF",0.975,0.98691255205235,0.741347778854173
"sine","multistart_eb","rbf","RBF",0.99,1,0.851959939806961
"sine","multistart_eb","matern05","Matern 0.5",0.5,0.816180844735277,0.539350223631473
"sine","multistart_eb","matern05","Matern 0.5",0.6,0.888756692444973,0.672995550204559
"sine","multistart_eb","matern05","Matern 0.5",0.7,0.944080904223676,0.828775500650815
"sine","multistart_eb","matern05","Matern 0.5",0.8,0.983343248066627,1.02478224950165
"sine","multistart_eb","matern05","Matern 0.5",0.9,0.997620464009518,1.31529377767329
"sine","multistart_eb","matern05","Matern 0.5",0.95,1,1.56726920322214
"sine","multistart_eb","matern05","Matern 0.5",0.975,1,1.79231939704121
"sine","multistart_eb","matern05","Matern 0.5",0.99,1,2.05974087894104
"sine","multistart_eb","matern15","Matern 1.5",0.5,0.660321237358715,0.323699561655264
"sine","multistart_eb","matern15","Matern 1.5",0.6,0.78227245687091,0.403908916789493
"sine","multistart_eb","matern15","Matern 1.5",0.7,0.841760856632957,0.49740271629997
"sine","multistart_eb","matern15","Matern 1.5",0.8,0.89767995240928,0.615039264695731
"sine","multistart_eb","matern15","Matern 1.5",0.9,0.964901844140393,0.78939435013872
"sine","multistart_eb","matern15","Matern 1.5",0.95,0.997620464009518,0.940621384492918
"sine","multistart_eb","matern15","Matern 1.5",0.975,1,1.07568881544562
"sine","multistart_eb","matern15","Matern 1.5",0.99,1,1.23618604465846
"sine","multistart_eb","matern25","Matern 2.5",0.5,0.633551457465794,0.278089208142356
"sine","multistart_eb","matern25","Matern 2.5",0.6,0.745984533016062,0.346996796218244
"sine","multistart_eb","matern25","Matern 2.5",0.7,0.806067816775729,0.427317005918676
"sine","multistart_eb","matern25","Matern 2.5",0.8,0.870315288518739,0.528378170242452
"sine","multistart_eb","matern25","Matern 2.5",0.9,0.945270672218917,0.678166039581833
"sine","multistart_eb","matern25","Matern 2.5",0.95,0.984533016061868,0.808084677772833
"sine","multistart_eb","matern25","Matern 2.5",0.975,1,0.924120654860318
"sine","multistart_eb","matern25","Matern 2.5",0.99,1,1.06200328637396
