"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,3.31,355.663814129819,NA,355.663814129819,NA,NA,NA
"spike","multistart_eb","matern05",0,2.82,355.021943960589,NA,355.021943960589,NA,NA,NA
"spike","multistart_eb","matern15",0,2.8,355.4539250818,NA,355.4539250818,NA,NA,NA
"spike","multistart_eb","matern25",0,2.85,355.54787606758,NA,355.54787606758,NA,NA,NA
"mixture","multistart_eb","rbf",0,3.22,308.879581231048,NA,308.879581231048,NA,NA,NA
"mixture","multistart_eb","matern05",0,4.39,307.640118527984,NA,307.640118527984,NA,NA,NA
"mixture","multistart_eb","matern15",0,3.94,309.017582068116,NA,309.017582068116,NA,NA,NA
"mixture","multistart_eb","matern25",0,3.38,309.18514130635,NA,309.18514130635,NA,NA,NA
"dipole","multistart_eb","rbf",0,4.03,296.244035421531,NA,296.244035421531,NA,NA,NA
"dipole","multistart_eb","matern05",0,4.28,291.8978767991,NA,291.8978767991,NA,NA,NA
"dipole","multistart_eb","matern15",0,4.44,294.257809947546,NA,294.257809947546,NA,NA,NA
"dipole","multistart_eb","matern25",0,2.92,294.954373060398,NA,294.954373060398,NA,NA,NA
"ring","multistart_eb","rbf",0,5.7,277.645849752826,NA,277.645849752826,NA,NA,NA
"ring","multistart_eb","matern05",0,4.72,277.688143437625,NA,277.688143437625,NA,NA,NA
"ring","multistart_eb","matern15",0,4.62,277.630496512312,NA,277.630496512312,NA,NA,NA
"ring","multistart_eb","matern25",0,4.31,277.606292510749,NA,277.606292510749,NA,NA,NA
"edge","multistart_eb","rbf",0,3.69,263.207805889114,NA,263.207805889114,NA,NA,NA
"edge","multistart_eb","matern05",0,4.31,268.520990868987,NA,268.520990868987,NA,NA,NA
"edge","multistart_eb","matern15",0,2.45,267.363575425519,NA,267.363575425519,NA,NA,NA
"edge","multistart_eb","matern25",0,3.83999999999999,266.329193291649,NA,266.329193291649,NA,NA,NA
"sine","multistart_eb","rbf",52,3.81,344.579486163974,NA,344.579486163974,NA,NA,NA
"sine","multistart_eb","matern05",0,4.86000000000001,281.382497036039,NA,281.382497036039,NA,NA,NA
"sine","multistart_eb","matern15",0,4.17,312.010029041265,NA,312.010029041265,NA,NA,NA
"sine","multistart_eb","matern25",0,4.13,327.960138948336,NA,327.960138948336,NA,NA,NA
