"source","hyper_method","kernel","label","nominal","empirical","mean_width"
"spike","multistart_eb","rbf","RBF",0.5,0.875669244497323,0.0305591582593837
"spike","multistart_eb","rbf","RBF",0.6,0.882212968471148,0.0381313970504897
"spike","multistart_eb","rbf","RBF",0.7,0.893515764425937,0.0469577661716024
"spike","multistart_eb","rbf","RBF",0.8,0.907198096371208,0.0580633539614993
"spike","multistart_eb","rbf","RBF",0.9,0.921475312314099,0.0745235080072285
"spike","multistart_eb","rbf","RBF",0.95,0.932183224271267,0.0888002368736361
"spike","multistart_eb","rbf","RBF",0.975,0.939916716240333,0.101551403347466
"spike","multistart_eb","rbf","RBF",0.99,0.947055324211779,0.116703293583669
"spike","multistart_eb","matern05","Matern 0.5",0.5,0.919690660321237,0.0537703842860175
"spike","multistart_eb","matern05","Matern 0.5",0.6,0.933372992266508,0.0670941213551901
"spike","multistart_eb","matern05","Matern 0.5",0.7,0.941106484235574,0.0826245641594103
"spike","multistart_eb","matern05","Matern 0.5",0.8,0.955978584176086,0.102165407467864
"spike","multistart_eb","matern05","Matern 0.5",0.9,0.964901844140393,0.13112788087546
"spike","multistart_eb","matern05","Matern 0.5",0.95,0.969660916121356,0.156248507267657
"spike","multistart_eb","matern05","Matern 0.5",0.975,0.976799524092802,0.17868482948482
"spike","multistart_eb","matern05","Matern 0.5",0.99,0.983938132064248,0.205345346562709
"spike","multistart_eb","matern15","Matern 1.5",0.5,0.887566924449732,0.0407844109504505
"spike","multistart_eb","matern15","Matern 1.5",0.6,0.902439024390244,0.0508903600754262
"spike","multistart_eb","matern15","Matern 1.5",0.7,0.917906008328376,0.062670078036908
"spike","multistart_eb","matern15","Matern 1.5",0.8,0.929803688280785,0.0774916530431627
"spike","multistart_eb","matern15","Matern 1.5",0.9,0.946460440214158,0.0994594599182948
"spike","multistart_eb","matern15","Matern 1.5",0.95,0.956573468173706,0.11851325623603
"spike","multistart_eb","matern15","Matern 1.5",0.975,0.962522308149911,0.135531029080169
"spike","multistart_eb","matern15","Matern 1.5",0.99,0.968471148126115,0.155752820296544
"spike","multistart_eb","matern25","Matern 2.5",0.5,0.880428316478287,0.0369379620167153
"spike","multistart_eb","matern25","Matern 2.5",0.6,0.895895300416419,0.0460908014527127
"spike","multistart_eb","matern25","Matern 2.5",0.7,0.906603212373587,0.0567595536668238
"spike","multistart_eb","matern25","Matern 2.5",0.8,0.925044616299821,0.0701832800821462
"spike","multistart_eb","matern25","Matern 2.5",0.9,0.93634741225461,0.0900792647741895
"spike","multistart_eb","matern25","Matern 2.5",0.95,0.94824509220702,0.10733606432718
"spike","multistart_eb","matern25","Matern 2.5",0.975,0.956573468173706,0.122748861331643
"spike","multistart_eb","matern25","Matern 2.5",0.99,0.962522308149911,0.141063500147143
"mixture","multistart_eb","rbf","RBF",0.5,0.694229625223082,0.0363951596904747
"mixture","multistart_eb","rbf","RBF",0.6,0.747769185008923,0.0454134984050918
"mixture","multistart_eb","rbf","RBF",0.7,0.788221296847115,0.055925473601638
"mixture","multistart_eb","rbf","RBF",0.8,0.814991076740036,0.0691519387300017
"mixture","multistart_eb","rbf","RBF",0.9,0.863771564544914,0.0887555524794142
"mixture","multistart_eb","rbf","RBF",0.95,0.896490184414039,0.105758763842115
"mixture","multistart_eb","rbf","RBF",0.975,0.914336704342653,0.120945070222538
"mixture","multistart_eb","rbf","RBF",0.99,0.917906008328376,0.138990575929157
"mixture","multistart_eb","matern05","Matern 0.5",0.5,0.919690660321237,0.096114293377669
"mixture","multistart_eb","matern05","Matern 0.5",0.6,0.933372992266508,0.119930406849009
"mixture","multistart_eb","matern05","Matern 0.5",0.7,0.954788816180845,0.147690995801283
"mixture","multistart_eb","matern05","Matern 0.5",0.8,0.966686496133254,0.182620155626615
"mixture","multistart_eb","matern05","Matern 0.5",0.9,0.979179060083284,0.23439043220179
"mixture","multistart_eb","matern05","Matern 0.5",0.95,0.984533016061868,0.279293426423431
"mixture","multistart_eb","matern05","Matern 0.5",0.975,0.988102320047591,0.319398240337828
"mixture","multistart_eb","matern05","Matern 0.5",0.99,0.990481856038073,0.367053781469805
"mixture","multistart_eb","matern15","Matern 1.5",0.5,0.82034503271862,0.0527742520295624
"mixture","multistart_eb","matern15","Matern 1.5",0.6,0.853063652587745,0.0658511579769685
"mixture","multistart_eb","matern15","Matern 1.5",0.7,0.881023200475907,0.0810938889628757
"mixture","multistart_eb","matern15","Matern 1.5",0.8,0.906603212373587,0.100272725107045
"mixture","multistart_eb","matern15","Matern 1.5",0.9,0.934562760261749,0.128698649364562
"mixture","multistart_eb","matern15","Matern 1.5",0.95,0.940511600237954,0.153353899386777
"mixture","multistart_eb","matern15","Matern 1.5",0.975,0.947650208209399,0.175374573760364
"mixture","multistart_eb","matern15","Matern 1.5",0.99,0.955978584176086,0.201541186965559
"mixture","multistart_eb","matern25","Matern 2.5",0.5,0.782867340868531,0.0448791986024476
"mixture","multistart_eb","matern25","Matern 2.5",0.6,0.812016656751933,0.055999793145226
"mixture","multistart_eb","matern25","Matern 2.5",0.7,0.844140392623438,0.0689622042614843
"mixture","multistart_eb","matern25","Matern 2.5",0.8,0.881023200475907,0.0852718773156056
"mixture","multistart_eb","matern25","Matern 2.5",0.9,0.920285544318858,0.109445269664144
"mixture","multistart_eb","matern25","Matern 2.5",0.95,0.930993456276026,0.130412082452322
"mixture","multistart_eb","matern25","Matern 2.5",0.975,0.933967876264128,0.149138453373097
"mixture","multistart_eb","matern25","Matern 2.5",0.99,0.938132064247472,0.171390528686861
"dipole","multistart_eb","rbf","RBF",0.5,0.839381320642475,0.0664590080707327
"dipole","multistart_eb","rbf","RBF",0.6,0.870910172516359,0.0829268529851816
"dipole","multistart_eb","rbf","RBF",0.7,0.881023200475907,0.102122137478176
"dipole","multistart_eb","rbf","RBF",0.8,0.911362284354551,0.126274188470364
"dipole","multistart_eb","rbf","RBF",0.9,0.946460440214158,0.162071166295652
"dipole","multistart_eb","rbf","RBF",0.95,0.96192742415229,0.193119706013361
"dipole","multistart_eb","rbf","RBF",0.975,0.969066032123736,0.220850505023026
"dipole","multistart_eb","rbf","RBF",0.99,0.976204640095181,0.253802315637295
"dipole","multistart_eb","matern05","Matern 0.5",0.5,0.959547888161808,0.163801451029876
"dipole","multistart_eb","matern05","Matern 0.5",0.6,0.964306960142772,0.204389731996254
"dipole","multistart_eb","matern05","Matern 0.5",0.7,0.969066032123736,0.251700330576619
"dipole","multistart_eb","matern05","Matern 0.5",0.8,0.977394408090422,0.31122786661293
"dipole","multistart_eb","matern05","Matern 0.5",0.9,0.980963712076145,0.399456642221886
"dipole","multistart_eb","matern05","Matern 0.5",0.95,0.990481856038073,0.475981947154314
"dipole","multistart_eb","matern05","Matern 0.5",0.975,0.992861392028554,0.544330019866542
