"source","source_label","hyper_method","hyper_label","kernel","label","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","rbf","RBF",0.0439864741652436,0.010446675202137,0.931588340273647,0.089011593493028,0.134415154669839,0.0127879129535786,-0.503232425415399
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0454070058810561,0.010030594866495,0.969660916121356,0.156901301685014,0.155395969660916,0.0152749754967414,-1.63880982122358
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0442541063455731,0.0103430999741718,0.956573468173706,0.119053976733034,0.140743233194527,0.0138207578160757,-1.42034240501304
"spike","Hidden narrow spike","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0440914041114542,0.0103790008226132,0.94883997620464,0.107820088746971,0.136348527662106,0.013421857774138,-1.21849355763392
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","rbf","RBF",0.0631160170139165,0.0233237851255381,0.883402736466389,0.103883171523366,0.087107004759072,0.0208825822530419,2.7646299304273
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0481790576192221,0.018248260121059,0.984533016061868,0.278254475934836,0.162729402141582,0.0232084241244014,-1.44389838262139
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0554374588451387,0.0191943658038236,0.941701368233195,0.152464236070343,0.118948170731707,0.0196018161583925,-0.832665029941301
"mixture","Broad plus sharp source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0585103959572212,0.0204049833338208,0.927424152290303,0.129224176095428,0.10303502379536,0.0197722705040718,0.0461974431518687
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","rbf","RBF",0.0347425450004588,0.0167883967978438,0.96192742415229,0.193787552514356,0.1225249107674,0.0188578814801885,-1.46122497850267
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0404792443120501,0.0165759048602595,0.990481856038073,0.476030021188693,0.177080978584176,0.0330939666596941,-1.13380352273873
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0329402098089173,0.014034188938843,0.980963712076145,0.302346142937911,0.167739812611541,0.0227663158897542,-1.5377407137665
"dipole","Positive-negative dipole","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0328492584233421,0.0144213478271536,0.979773944080904,0.257705986806148,0.155990853658537,0.0206892755072009,-1.62556272507103
"ring","Ring-shaped source","multistart_eb","Multi-start EB","rbf","RBF",0.162404042548643,0.103433208413423,0.684711481261154,0.280550837084959,0.172413370017847,0.089550995964814,2.48160364241962
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.160505504803574,0.0979787712379332,0.890541344437835,0.557444120274546,0.0634603658536585,0.0841343302426261,-0.3361202687411
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.160076158178145,0.0998540019456939,0.772754312908983,0.379017099461566,0.117297367638311,0.0850777015356156,0.317709627474197
"ring","Ring-shaped source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.160822308090646,0.100959733731966,0.73111243307555,0.338065394911458,0.139828599048186,0.0864581721017664,0.8387847433076
"edge","Moving-edge source","multistart_eb","Multi-start EB","rbf","RBF",0.189767634055502,0.127057032784852,0.709696609161214,0.271816296662122,0.222904149315883,0.104281102472677,4.3942717386413
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.169245768200712,0.101974196160848,0.893515764425937,0.582968962576707,0.0934276472337894,0.0846837195132665,-0.355917880972691
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.178654776379018,0.112467018812509,0.809042236763831,0.345036758657217,0.0953015318262939,0.0908957592473926,0.861047137327674
"edge","Moving-edge source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.182531135775564,0.117287784847062,0.785246876859013,0.305591830041716,0.141330681142177,0.0952641963508809,1.89514834300182
"sine","Sine-cosine source","multistart_eb","Multi-start EB","rbf","RBF",0.0468111863377473,0.0330317172816463,0.203450327186199,0.0233537548135342,0.640140913146936,0.0302444391535065,39.7246418700553
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern05","Matern 0.5",0.0568772502693315,0.041163640499967,1,0.450593627092932,0.1632499256395,0.0362568766969976,-1.15965191476883
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern15","Matern 1.5",0.0440065164491701,0.0338095952256157,0.804283164782867,0.108224239112785,0.160143887566924,0.024780570869994,-1.01913095337757
"sine","Sine-cosine source","multistart_eb","Multi-start EB","matern25","Matern 2.5",0.0435100126015609,0.0326131045284675,0.464604402141582,0.056710360177212,0.448736986912552,0.0267338657892918,3.74323023003177
