"retained_draws","RMSE","mean_within_variance","mean_between_variance","mean_total_variance","mean_interval_width","mean_abs_change_from_Smax","mean_abs_sd_change_from_Smax","source","source_label"
120,0.0462028916768191,0.00171316495407278,6.86274120760574e-06,0.00172002769528038,0.16166843365644,1.9974900750754e-05,3.176032925018e-05,"spike","Narrow spike"
240,0.0462012807644989,0.00174246083650156,7.5301487466161e-06,0.00174999098524818,0.163084631957985,3.45089936983447e-05,0.00032964552136327,"spike","Narrow spike"
480,0.0462113253199439,0.0017152463983371,7.37435308252834e-06,0.00172262075141962,0.161792818720394,0,0,"spike","Narrow spike"
120,0.064286172610033,0.0093548693165451,7.37512931564761e-05,0.00942862060970158,0.37643395121755,0.000157597273398325,0.000755935333796967,"mixture","Broad + sharp"
240,0.0642455610806855,0.0092793158560452,7.07174089027407e-05,0.00935003326494794,0.374865815556756,0.000257683856941439,0.000355900726451506,"mixture","Broad + sharp"
480,0.0643411082251884,0.00921346720781274,6.79951969769941e-05,0.00928146240478974,0.373470684709066,0,0,"mixture","Broad + sharp"
120,0.0453727406022495,0.0148677076735093,8.08269919222502e-06,0.0148757903727015,0.473704998298172,3.02156878282785e-05,0.00188883126220124,"dipole","Dipole"
240,0.0453985380926608,0.0151996741295438,7.711061512567e-06,0.0152073851910563,0.47896217598313,3.57121287352424e-05,0.000547714505834255,"dipole","Dipole"
480,0.0453651226304118,0.0153400816181048,7.46352448154556e-06,0.0153475451425864,0.481109216846,0,0,"dipole","Dipole"
120,0.161850848749057,0.0285839762808913,0.000180587168775552,0.0287645634496669,0.659794853499319,0.00163978785091512,0.00334877072486974,"ring","Ring"
240,0.161316707235018,0.0295337328859376,0.00015973419706928,0.0296934670830069,0.670386320010201,0.000572472122881116,0.000648651968573537,"ring","Ring"
480,0.161061912620943,0.0297612279347759,0.000152171993795773,0.0299133999285717,0.67291928730493,0,0,"ring","Ring"
120,0.199386121966528,0.0371313348460404,0.000426505086933649,0.037557839932974,0.751078558816031,0.000483489057235842,0.00106727742559355,"edge","Moving edge"
240,0.199315889022507,0.037461515240962,0.000404423794371403,0.0378659390353334,0.754113892018129,0.00074499184252845,0.00184159712000636,"edge","Moving edge"
480,0.199255195529489,0.0367839633253231,0.000358607397724682,0.0371425707230477,0.746894831307704,0,0,"edge","Moving edge"
120,0.0864601402349596,0.0276214745684105,6.68476137010044e-05,0.0276883221821115,0.643546439968471,3.16520539845919e-05,0.000750370791222472,"sine","Sine-cosine"
240,0.0864765377498636,0.0274604564185502,6.62817649338039e-05,0.027526738183484,0.641687971342081,0.000116194435893665,0.000276271651837415,"sine","Sine-cosine"
480,0.0864758521304466,0.0273685650969694,6.69877391065471e-05,0.027435552836076,0.640604986466879,0,0,"sine","Sine-cosine"
