"source","chains","pooled_retained_draws","max_Rhat_hyperparameters","min_ESS_hyperparameters","max_Rhat_downstream","min_ESS_downstream","mean_sampling_acceptance","min_ESS_per_second","total_sampling_seconds","source_label"
"spike",4,480,1.00282032135419,1491.04220910643,1.00604543106457,1480.90779924769,0.212291666666667,13.0304249823818,113.65,"Narrow spike"
"mixture",4,480,1.00798780200874,572.485014120382,1.00229386079976,799.145022839996,0.226428571428571,14.2338392372049,40.22,"Broad + sharp"
"dipole",4,480,1.00293616424342,619.541412828771,1.00253584201949,715.111855714023,0.217232142857143,14.9683839775011,41.39,"Dipole"
"ring",4,480,1.00497365103142,866.452385546841,1.00207017425351,972.862488323862,0.215892857142857,20.928801583257,41.4,"Ring"
"edge",4,480,1.00431752673418,885.025725403753,1.00355043033128,899.552259327739,0.225446428571429,23.1924980451717,38.16,"Moving edge"
"sine",4,480,1.00715067270926,620.251560819847,1.00272039349011,575.976599211658,0.2275,15.169254653981,37.97,"Sine-cosine"
