"source","source_label","sampler","kernel","noise_ratio","sigma_noise","RMSE","MAE","Coverage95","Width95","Calibration_MAE","CRPS","NLPD"
"spike","Narrow spike","four-chain ARWM","Matern 0.5",0.01,2.22890794398885e-05,0.0462113253199439,0.0126311563287163,0.973230220107079,0.161829996171936,0.155693411659726,0.0155432615507329,-1.98147872340327
"mixture","Broad + sharp","four-chain ARWM","Matern 0.5",0.01,0.000209304304944129,0.0643411082251884,0.0374248412384816,0.989292088042832,0.37207701184547,0.151054803688281,0.033034255507303,-1.25176286828942
"dipole","Dipole","four-chain ARWM","Matern 0.5",0.01,5.81310412289455e-05,0.0453651226304118,0.0242033218386579,0.98750743604997,0.477890025217595,0.175593768590125,0.0338722492316483,-1.13445006558456
"ring","Ring","four-chain ARWM","Matern 0.5",0.01,0.000170605227952457,0.161061912620943,0.103035197456908,0.924449732302201,0.676427004152713,0.0667322278405711,0.0861689186592732,-0.404015578063976
"edge","Moving edge","four-chain ARWM","Matern 0.5",0.01,0.000491841127174942,0.199255195529489,0.130132858935364,0.914336704342653,0.744683646438359,0.0683681588340274,0.103414194081893,-0.230419615077443
"sine","Sine-cosine","four-chain ARWM","Matern 0.5",0.01,0.000283323242111421,0.0864758521304466,0.0628687251740357,0.998810232004759,0.635466222589969,0.151872769185009,0.0537145986242983,-0.785995003568088
