"iteration","batch","batch_acceptance","gain","log_scale","scale","min_eigenvalue","max_eigenvalue","source","chain","source_label"
100,1,0.6,1,1.00158868669866,2.72260375883075,0.0200824419801019,0.180838409076311,"spike",1,"Narrow spike"
150,2,0.56,0.659753955386447,1.21666847615464,3.37592201334582,0.0339453707116736,0.301924155535443,"spike",1,"Narrow spike"
200,3,0.24,0.517281857971787,1.21977216730247,3.38641610940689,0.0344078633681806,0.344234343753763,"spike",1,"Narrow spike"
250,4,0.32,0.435275281648062,1.2572058415242,3.51558465027651,0.0331700262317213,0.312074793444683,"spike",1,"Narrow spike"
300,5,0.34,0.380730787743176,1.29756330502498,3.66036659521718,0.0343302352233972,0.300462693169472,"spike",1,"Narrow spike"
350,6,0.26,0.341278751846537,1.30643655257299,3.69299045989489,0.0378344087562065,0.395342975993676,"spike",1,"Narrow spike"
400,7,0.24,0.311129489211826,1.30830332950826,3.69989088808377,0.0363405762806514,0.365386558911985,"spike",1,"Narrow spike"
450,8,0.4,0.287174588749259,1.35597431124064,3.8805399690787,0.046911034474292,0.404300416846016,"spike",1,"Narrow spike"
500,9,0.16,0.267580520586744,1.33617335271722,3.80445729884657,0.0554316750575733,0.456125618846357,"spike",1,"Narrow spike"
550,10,0.22,0.251188643150958,1.3326567117131,3.79110188517232,0.0537516456212503,0.473935806261418,"spike",1,"Narrow spike"
600,11,0.26,0.237227148661716,1.33882461757831,3.81455730577901,0.0540040576475845,0.510892834791704,"spike",1,"Narrow spike"
650,12,0.18,0.225160006420102,1.32666597723162,3.76845829397838,0.0538745820721751,0.53624949094747,"spike",1,"Narrow spike"
700,13,0.16,0.214602110453007,1.3107854210581,3.70908576253187,0.050710928264141,0.529321462891613,"spike",1,"Narrow spike"
750,14,0.22,0.205268911144867,1.30791165630207,3.69844202371629,0.051647862969768,0.521588079275359,"spike",1,"Narrow spike"
800,15,0.22,0.196945129270852,1.30515442449228,3.68825860719329,0.0507399400757622,0.524219266988827,"spike",1,"Narrow spike"
850,16,0.16,0.1894645708138,1.29113404625206,3.63690864060656,0.0488630209829445,0.515903130378031,"spike",1,"Narrow spike"
900,17,0.24,0.182696676564573,1.29223022631145,3.64089753320905,0.0503541245021147,0.50096893930425,"spike",1,"Narrow spike"
950,18,0.12,0.176537306841469,1.27210497333152,3.56835595648845,0.0519339184564405,0.535658470811768,"spike",1,"Narrow spike"
1000,19,0.12,0.170902273217667,1.25262211418471,3.49950704463094,0.0493848144958364,0.515889599694442,"spike",1,"Narrow spike"
1050,20,0.08,0.165722700866999,1.22710081825119,3.41132513432768,0.0471839911034389,0.480235392086911,"spike",1,"Narrow spike"
1100,21,0.22,0.160941640249306,1.2248476352877,3.40364744751685,0.0457118933766897,0.470817468264096,"spike",1,"Narrow spike"
1150,22,0.26,0.156511549654616,1.22891693557872,3.41752613017759,0.0534007803178577,0.567420744361628,"spike",1,"Narrow spike"
1200,23,0.12,0.152392396370317,1.2115442023925,3.35866711192597,0.0513242737668704,0.547482226554603,"spike",1,"Narrow spike"
1250,24,0.2,0.1485502048305,1.20649349542826,3.34174623571731,0.0511588263169842,0.533041936615325,"spike",1,"Narrow spike"
1300,25,0.14,0.144955932735539,1.19286763775112,3.29652089387628,0.0509855728128543,0.514902061734514,"spike",1,"Narrow spike"
