"iteration","batch","batch_acceptance","gain","log_scale","scale","min_eigenvalue","max_eigenvalue","source","chain"
100,1,0.72,1,1.12158868669866,3.06972716617984,0.0252725122123042,0.172752798084355,"ring",1
150,2,0.42,0.659753955386447,1.24430292240054,3.47051473786712,0.0285589153539061,0.20923512200358,"ring",1
200,3,0.32,0.517281857971787,1.28878916218611,3.62839050241222,0.0420333725017285,0.531231324822243,"ring",1
250,4,0.16,0.435275281648062,1.25657879134415,3.51338089329389,0.0404074073548142,0.502516920581788,"ring",1
300,5,0.34,0.380730787743176,1.29693625484493,3.65807208114752,0.0445133539341465,0.528024287900684,"ring",1
350,6,0.24,0.341278751846537,1.29898392735601,3.66557028910882,0.0448128444560169,0.523232270088198,"ring",1
400,7,0.24,0.311129489211826,1.30085070429128,3.6724194821479,0.0435210557416454,0.504711399014725,"ring",1
450,8,0.24,0.287174588749259,1.30257375182378,3.6787526901172,0.0447573535271888,0.52477629153468,"ring",1
500,9,0.3,0.267580520586744,1.3202340661825,3.7442976881655,0.0455626630824725,0.558623854205254,"ring",1
550,10,0.28,0.251188643150958,1.33178874376744,3.78781275789228,0.0477412568000393,0.594264114071251,"ring",1
600,11,0.16,0.237227148661716,1.31423393476648,3.72189867568498,0.0455542984527469,0.654730279329064,"ring",1
650,12,0.14,0.225160006420102,1.29306889416299,3.64395231771663,0.0469785660354456,0.661008281222629,"ring",1
700,13,0.08,0.214602110453007,1.26002016915322,3.52549259284861,0.0432749049277446,0.628654254262472,"ring",1
750,14,0.18,0.205268911144867,1.2489356479514,3.48662998009281,0.0418351580338332,0.618114808111982,"ring",1
800,15,0.2,0.196945129270852,1.24223951355619,3.46336103011268,0.0443834536783742,0.598145913279146,"ring",1
850,16,0.2,0.1894645708138,1.23579771814852,3.44112247195693,0.0471940919008427,0.619307182239045,"ring",1
900,17,0.2,0.182696676564573,1.22958603114533,3.41981354692494,0.0495685514964302,0.669831174957535,"ring",1
950,18,0.22,0.176537306841469,1.22711450884955,3.41137183772967,0.049300103462368,0.759191520886499,"ring",1
1000,19,0.26,0.170902273217667,1.23155796795321,3.4265638565388,0.0499447852207788,0.871124095994962,"ring",1
1050,20,0.12,0.165722700866999,1.21266558005437,3.36243555873007,0.0473966047787868,0.861161578461783,"ring",1
1100,21,0.22,0.160941640249306,1.21041239709088,3.3548679050691,0.0478197639091233,0.8553781946069,"ring",1
1150,22,0.24,0.156511549654616,1.21135146638881,3.35801983822755,0.0471549879127337,0.881086101774611,"ring",1
1200,23,0.14,0.152392396370317,1.19702658113,3.31025948683347,0.04539963530385,0.844702548153555,"ring",1
100,1,0.68,1,1.08158868669866,2.94936144234458,0.0266991335910383,0.922110227924307,"ring",2
150,2,0.16,0.659753955386447,1.03276689400006,2.80882681890989,0.0519753441306591,0.807258821876317,"ring",2
200,3,0.24,0.517281857971787,1.03587058514789,2.81755809242273,0.0445543786782472,0.67204948860513,"ring",2
250,4,0.2,0.435275281648062,1.02107122557186,2.7761670728336,0.0414152896206354,0.602123520823262,"ring",2
300,5,0.3,0.380730787743176,1.04619945756291,2.84681110572987,0.0393460075003542,0.589928944941746,"ring",2
350,6,0.2,0.341278751846537,1.03459598000012,2.81396910613009,0.0359740724043056,0.596564241398048,"ring",2
400,7,0.28,0.311129489211826,1.04890793650387,2.85453208499351,0.0461715163210297,0.720473046926026,"ring",2
450,8,0.22,0.287174588749259,1.04488749226138,2.84307863730905,0.0496260116845624,0.692352811524482,"ring",2
500,9,0.16,0.267580520586744,1.02508653373796,2.78733664878941,0.0509153646709971,0.688932099493752,"ring",2
550,10,0.14,0.251188643150958,1.00147480128177,2.72229371162192,0.0520966134179874,0.632095914065059,"ring",2
600,11,0.16,0.237227148661716,0.983919992280802,2.67492138807546,0.0498385504753094,0.583034423190729,"ring",2
650,12,0.16,0.225160006420102,0.967258151805715,2.63072152272453,0.0475292641022262,0.599103457915747,"ring",2
700,13,0.1,0.214602110453007,0.938501469005012,2.55614807973301,0.0443375117129082,0.560874652493298,"ring",2
750,14,0.2,0.205268911144867,0.931522326026086,2.5383704652259,0.0421246409444448,0.536552151430379,"ring",2
800,15,0.24,0.196945129270852,0.932703996801711,2.54137175634213,0.0430915724794526,0.527289831629631,"ring",2
850,16,0.2,0.1894645708138,0.926262201394042,2.52505337569761,0.0450677016801492,0.519481922733908,"ring",2
900,17,0.18,0.182696676564573,0.916396580859555,2.500264636469,0.0453563441865243,0.503376115760618,"ring",2
950,18,0.18,0.176537306841469,0.906863566290116,2.47654282708898,0.0496407128984969,0.507146140163298,"ring",2
1000,19,0.24,0.170902273217667,0.907888979929422,2.47908361033647,0.0486378572802462,0.492778860835473,"ring",2
1050,20,0.3,0.165722700866999,0.918826678186644,2.50634791136046,0.0538920743660272,0.509691352101618,"ring",2
1100,21,0.22,0.160941640249306,0.916573495223154,2.50070700832581,0.0542070727202866,0.561605550784844,"ring",2
1150,22,0.14,0.156511549654616,0.90186140955562,2.46418570360861,0.0527811737590173,0.53955271166965,"ring",2
