"source","chain","retained_draws","warmup_acceptance_rate","sampling_acceptance_rate","final_scale","final_cov_11","final_cov_22","final_cov_33","final_cov_12","final_cov_13","final_cov_23","runtime_seconds","initial_log_ell","initial_log_sigma_f","initial_log_sigma_n"
"ring",1,700,0.263552960800667,0.2025,3.31025948683347,0.657732320820868,0.0643617937673334,0.470996291170367,0.0746585768995814,0.261259612806229,-0.0237976382629985,10.32,-2.0393687353503,-1.32303740136278,-8.49504268827045
"ring",2,700,0.237698081734779,0.223571428571429,2.44399066110836,0.444278499484828,0.0688199470465831,0.335759593454451,0.0606870704375935,0.116574990403028,-0.0278160978302141,10.35,-2.3893687353503,-1.07303740136278,-8.64504268827045
"ring",3,700,0.252710592160133,0.245714285714286,2.48080286029561,0.417972441850753,0.0639213493422303,0.302925529898005,0.0550646538229947,0.126312835928481,-0.0454674428511253,10.39,-1.6893687353503,-1.57303740136278,-8.34504268827045
"ring",4,700,0.256880733944954,0.191785714285714,3.04486288253024,0.595701337476534,0.0741389732964222,0.365895161848493,0.0959322898195599,0.173858640570463,-0.0158300788283912,10.34,-2.2393687353503,-1.62303740136278,-8.24504268827045
