"source","hyper_method","kernel","parameter","optimizer_value","natural_parameter","natural_value"
"spike","multistart_eb","rbf","log_ell",-4.19970507787993,"ell",0.015
"spike","multistart_eb","rbf","log_sigma_f",-2.0825022520818,"sigma_f",0.124617996099626
"spike","multistart_eb","rbf","log_sigma_n",-9.91150231933031,"sigma_n",4.96008632907058e-05
"spike","multistart_eb","matern05","log_ell",-4.19970507787993,"ell",0.015
"spike","multistart_eb","matern05","log_sigma_f",-2.10656884380466,"sigma_f",0.121654667307099
"spike","multistart_eb","matern05","log_sigma_n",-9.65281606793182,"sigma_n",6.42443954764759e-05
"spike","multistart_eb","matern15","log_ell",-4.19970507787993,"ell",0.015
"spike","multistart_eb","matern15","log_sigma_f",-2.08995940236929,"sigma_f",0.123692157324048
"spike","multistart_eb","matern15","log_sigma_n",-9.81738394342373,"sigma_n",5.44959624010571e-05
"spike","multistart_eb","matern25","log_ell",-4.19970507787993,"ell",0.015
"spike","multistart_eb","matern25","log_sigma_f",-2.08638828253614,"sigma_f",0.124134666496641
"spike","multistart_eb","matern25","log_sigma_n",-9.8604118568211,"sigma_n",5.2200845973344e-05
"mixture","multistart_eb","rbf","log_ell",-1.90722426422971,"ell",0.148491989607742
"mixture","multistart_eb","rbf","log_sigma_f",-1.27701164143097,"sigma_f",0.278869418316532
"mixture","multistart_eb","rbf","log_sigma_n",-6.29271978262115,"sigma_n",0.00184972225680197
"mixture","multistart_eb","matern05","log_ell",-1.99803470946548,"ell",0.1356015179163
"mixture","multistart_eb","matern05","log_sigma_f",-1.03776058642731,"sigma_f",0.354247100115715
"mixture","multistart_eb","matern05","log_sigma_n",-6.33274562598004,"sigma_n",0.00177714768164153
"mixture","multistart_eb","matern15","log_ell",-1.91076458036146,"ell",0.147967210511573
"mixture","multistart_eb","matern15","log_sigma_f",-1.18932426749306,"sigma_f",0.304426905735691
"mixture","multistart_eb","matern15","log_sigma_n",-6.31044236307494,"sigma_n",0.001817229186291
"mixture","multistart_eb","matern25","log_ell",-1.89925933436863,"ell",0.149679440594149
"mixture","multistart_eb","matern25","log_sigma_f",-1.2255560209115,"sigma_f",0.29359441029978
"mixture","multistart_eb","matern25","log_sigma_n",-6.30417550216388,"sigma_n",0.00182865326802197
"dipole","multistart_eb","rbf","log_ell",-2.65073234549549,"ell",0.0705994909043498
"dipole","multistart_eb","rbf","log_sigma_f",-1.52361191122844,"sigma_f",0.217923343962848
"dipole","multistart_eb","rbf","log_sigma_n",-7.91491896332212,"sigma_n",0.00036525348596678
"dipole","multistart_eb","matern05","log_ell",-3.04851447299207,"ell",0.047429329633888
"dipole","multistart_eb","matern05","log_sigma_f",-1.1639040339259,"sigma_f",0.312264706088081
