"hyper_method","hyper_label","kernel","label","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
"multistart_eb","Multi-start EB","matern05","Matern 0.5",0.175639813511929,0.130560942501455,0.919393218322427,1.01338445645517,0.186251239341662,0.111467445079287,0.448314413773026
"multistart_eb","Multi-start EB","matern15","Matern 1.5",0.168306811574269,0.125701471881134,0.839777909974222,0.678487536645915,0.227602245687091,0.103858357399096,2.23870574766678
"multistart_eb","Multi-start EB","matern25","Matern 2.5",0.165468183748136,0.123416279058046,0.825004957366647,0.599696123524513,0.234678886575451,0.102247417923909,3.64512336341404
"multistart_eb","Multi-start EB","rbf","RBF",0.160194535998549,0.1193317295867,0.799722387467777,0.494656357154187,0.231939941503074,0.0990854365653879,6.86292586350347
