"source","hyper_method","kernel","parameter","optimizer_value","natural_parameter","natural_value"
"spike","multistart_eb","rbf","log_ell",-1.76874324082253,"ell",0.170547190944388
"spike","multistart_eb","rbf","log_sigma_f",-3.54867337934704,"sigma_f",0.0287627716422024
"spike","multistart_eb","rbf","log_sigma_n",-8.23144663360751,"sigma_n",0.000266151028602007
"spike","multistart_eb","matern05","log_ell",-2.15400238741955,"ell",0.116018874788349
"spike","multistart_eb","matern05","log_sigma_f",-3.19944718407554,"sigma_f",0.0407847442035652
"spike","multistart_eb","matern05","log_sigma_n",-8.2794220533468,"sigma_n",0.000253683773362655
"spike","multistart_eb","matern15","log_ell",-1.9297710275634,"ell",0.145181437225531
"spike","multistart_eb","matern15","log_sigma_f",-3.40781898164359,"sigma_f",0.0331133424834577
"spike","multistart_eb","matern15","log_sigma_n",-8.25552409990407,"sigma_n",0.000259819317841567
"spike","multistart_eb","matern25","log_ell",-1.86775095696057,"ell",0.15447068265007
"spike","multistart_eb","matern25","log_sigma_f",-3.46308999031887,"sigma_f",0.0313327942498939
"spike","multistart_eb","matern25","log_sigma_n",-8.24769105231509,"sigma_n",0.000261862486594976
"mixture","multistart_eb","rbf","log_ell",-1.47884810726336,"ell",0.227900053662966
"mixture","multistart_eb","rbf","log_sigma_f",-1.46825318036437,"sigma_f",0.230327474538208
"mixture","multistart_eb","rbf","log_sigma_n",-6.17564827772637,"sigma_n",0.00207945741446981
"mixture","multistart_eb","matern05","log_ell",-1.48408611773222,"ell",0.226709431763246
"mixture","multistart_eb","matern05","log_sigma_f",-1.30275852410713,"sigma_f",0.271781043469422
"mixture","multistart_eb","matern05","log_sigma_n",-6.18640212815052,"sigma_n",0.00205721505035126
"mixture","multistart_eb","matern15","log_ell",-1.42600070910204,"ell",0.24026790458477
"mixture","multistart_eb","matern15","log_sigma_f",-1.42296814925425,"sigma_f",0.240997637304755
"mixture","multistart_eb","matern15","log_sigma_n",-6.17801997718338,"sigma_n",0.00207453141025883
"mixture","multistart_eb","matern25","log_ell",-1.42998542996272,"ell",0.239312409009075
"mixture","multistart_eb","matern25","log_sigma_f",-1.44454479168069,"sigma_f",0.235853414559879
"mixture","multistart_eb","matern25","log_sigma_n",-6.1763928880636,"sigma_n",0.00207790960531201
