"source","hyper_method","kernel","parameter","optimizer_value","natural_parameter","natural_value"
"spike","multistart_eb","rbf","log_ell",-2.12852814188309,"ell",0.11901233427369
"spike","multistart_eb","rbf","log_sigma_f",-3.31954763863761,"sigma_f",0.0361691895978222
"spike","multistart_eb","rbf","log_sigma_n",-8.40601588412984,"sigma_n",0.000223518609335706
"spike","multistart_eb","matern05","log_ell",-2.53011692032096,"ell",0.0796497070721414
"spike","multistart_eb","matern05","log_sigma_f",-2.93412597978117,"sigma_f",0.0531771769288066
"spike","multistart_eb","matern05","log_sigma_n",-8.48612150425994,"sigma_n",0.00020631189015991
"spike","multistart_eb","matern15","log_ell",-2.31873848103527,"ell",0.098397637826997
"spike","multistart_eb","matern15","log_sigma_f",-3.14013452452735,"sigma_f",0.0432769756956595
"spike","multistart_eb","matern15","log_sigma_n",-8.44609096060087,"sigma_n",0.000214738196912541
"spike","multistart_eb","matern25","log_ell",-2.25449669332213,"ell",0.104926340576568
"spike","multistart_eb","matern25","log_sigma_f",-3.20343261223464,"sigma_f",0.0406225230107314
"spike","multistart_eb","matern25","log_sigma_n",-8.43379038824596,"sigma_n",0.000217395911838223
"mixture","multistart_eb","rbf","log_ell",-1.27556074147589,"ell",0.279274323610547
"mixture","multistart_eb","rbf","log_sigma_f",-1.59390750433516,"sigma_f",0.203130326324811
"mixture","multistart_eb","rbf","log_sigma_n",-6.16556893246694,"sigma_n",0.00210052296885761
"mixture","multistart_eb","matern05","log_ell",-1.10911485609543,"ell",0.329850797320265
"mixture","multistart_eb","matern05","log_sigma_f",-1.46086261096561,"sigma_f",0.232036031550961
"mixture","multistart_eb","matern05","log_sigma_n",-6.17477796975357,"sigma_n",0.00208126797059315
"mixture","multistart_eb","matern15","log_ell",-1.14513545566927,"ell",0.31818081547595
"mixture","multistart_eb","matern15","log_sigma_f",-1.5574585681401,"sigma_f",0.210670796903686
"mixture","multistart_eb","matern15","log_sigma_n",-6.16814933023496,"sigma_n",0.00209510977118231
"mixture","multistart_eb","matern25","log_ell",-1.17820323297489,"ell",0.307831343208368
"mixture","multistart_eb","matern25","log_sigma_f",-1.57384574908018,"sigma_f",0.207246629289899
"mixture","multistart_eb","matern25","log_sigma_n",-6.16677493034119,"sigma_n",0.00209799126954119
"dipole","multistart_eb","rbf","log_ell",-2.43756468481465,"ell",0.0873733742821047
"dipole","multistart_eb","rbf","log_sigma_f",-1.69438150775427,"sigma_f",0.183712818850784
"dipole","multistart_eb","rbf","log_sigma_n",-7.68391476318149,"sigma_n",0.00046016991181057
"dipole","multistart_eb","matern05","log_ell",-2.82258330220123,"ell",0.0594521612634274
"dipole","multistart_eb","matern05","log_sigma_f",-1.3348616795236,"sigma_f",0.263194578137787
"dipole","multistart_eb","matern05","log_sigma_n",-8.0388964946536,"sigma_n",0.000322664816082552
"dipole","multistart_eb","matern15","log_ell",-2.6228922473555,"ell",0.0725926031480212
"dipole","multistart_eb","matern15","log_sigma_f",-1.51360579878921,"sigma_f",0.220114855415782
"dipole","multistart_eb","matern15","log_sigma_n",-7.83237396055625,"sigma_n",0.000396682652643771
"dipole","multistart_eb","matern25","log_ell",-2.56011596598021,"ell",0.0772957762430802
"dipole","multistart_eb","matern25","log_sigma_f",-1.57466299148788,"sigma_f",0.207077327745214
"dipole","multistart_eb","matern25","log_sigma_n",-7.78212819028179,"sigma_n",0.000417123511121249
"ring","multistart_eb","rbf","log_ell",-1.2778518728679,"ell",0.278635201876253
"ring","multistart_eb","rbf","log_sigma_f",-1.5833632140054,"sigma_f",0.205283523478618
"ring","multistart_eb","rbf","log_sigma_n",-6.37765331311641,"sigma_n",0.00169910555055444
"ring","multistart_eb","matern05","log_ell",-1.53379107666758,"ell",0.215716318089139
"ring","multistart_eb","matern05","log_sigma_f",-1.37592934085734,"sigma_f",0.252604730789743
"ring","multistart_eb","matern05","log_sigma_n",-6.43633887443482,"sigma_n",0.00160226203798199
"ring","multistart_eb","matern15","log_ell",-1.34181744254107,"ell",0.261370211312061
"ring","multistart_eb","matern15","log_sigma_f",-1.540083989183,"sigma_f",0.214363096489539
"ring","multistart_eb","matern15","log_sigma_n",-6.39967381568974,"sigma_n",0.00166209933548835
"ring","multistart_eb","matern25","log_ell",-1.3005862921985,"ell",0.272372056600602
"ring","multistart_eb","matern25","log_sigma_f",-1.56726212723415,"sigma_f",0.208615564055827
"ring","multistart_eb","matern25","log_sigma_n",-6.389751914706,"sigma_n",0.00167867260372189
"edge","multistart_eb","rbf","log_ell",-0.633836613117729,"ell",0.530552367077879
"edge","multistart_eb","rbf","log_sigma_f",-0.615841852152106,"sigma_f",0.540185947134503
"edge","multistart_eb","rbf","log_sigma_n",-5.09513796425407,"sigma_n",0.00612646134387177
"edge","multistart_eb","matern05","log_ell",-0.0681003047920514,"ell",0.934166767474354
"edge","multistart_eb","matern05","log_sigma_f",-0.52209589942659,"sigma_f",0.593275797586077
"edge","multistart_eb","matern05","log_sigma_n",-5.114486072399,"sigma_n",0.00600906526549358
"edge","multistart_eb","matern15","log_ell",-0.380550791549507,"ell",0.683484847840058
"edge","multistart_eb","matern15","log_sigma_f",-0.589113661643536,"sigma_f",0.554818824071907
"edge","multistart_eb","matern15","log_sigma_n",-5.1026438366997,"sigma_n",0.00608064905217187
"edge","multistart_eb","matern25","log_ell",-0.473921993108024,"ell",0.622555814317743
"edge","multistart_eb","matern25","log_sigma_f",-0.602274298839199,"sigma_f",0.54756489269804
"edge","multistart_eb","matern25","log_sigma_n",-5.09927868708598,"sigma_n",0.00610114581397347
"sine","multistart_eb","rbf","log_ell",-1.48968261897343,"ell",0.225444195896391
"sine","multistart_eb","rbf","log_sigma_f",-0.541337228898585,"sigma_f",0.581969505367861
"sine","multistart_eb","rbf","log_sigma_n",-5.91184354370065,"sigma_n",0.00270719145839606
"sine","multistart_eb","matern05","log_ell",-1.55197029255658,"ell",0.211830194932238
"sine","multistart_eb","matern05","log_sigma_f",-0.427100734217342,"sigma_f",0.65239783013291
"sine","multistart_eb","matern05","log_sigma_n",-5.94236067416598,"sigma_n",0.00262582361470883
"sine","multistart_eb","matern15","log_ell",-1.39014945045173,"ell",0.249038082996341
"sine","multistart_eb","matern15","log_sigma_f",-0.504125034988876,"sigma_f",0.60403385276795
"sine","multistart_eb","matern15","log_sigma_n",-5.9185705388373,"sigma_n",0.00268904131104278
"sine","multistart_eb","matern25","log_ell",-1.39150319644522,"ell",0.248701176783429
"sine","multistart_eb","matern25","log_sigma_f",-0.51051727159787,"sigma_f",0.600185039828122
"sine","multistart_eb","matern25","log_sigma_n",-5.91471498796598,"sigma_n",0.00269942905898987
