"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,3.04,355.579333060741,NA,355.579333060741,NA,NA,NA
"spike","multistart_eb","matern05",0,3.54,354.948733393681,NA,354.948733393681,NA,NA,NA
"spike","multistart_eb","matern15",0,2.83,355.374019998904,NA,355.374019998904,NA,NA,NA
"spike","multistart_eb","matern25",0,2.75,355.466510917415,NA,355.466510917415,NA,NA,NA
"mixture","multistart_eb","rbf",0,4.47,309.137335426263,NA,309.137335426263,NA,NA,NA
"mixture","multistart_eb","matern05",0,4.28,307.440653121201,NA,307.440653121201,NA,NA,NA
"mixture","multistart_eb","matern15",0,3.71,308.767741702403,NA,308.767741702403,NA,NA,NA
"mixture","multistart_eb","matern25",0,3.84,309.037718158306,NA,309.037718158306,NA,NA,NA
"dipole","multistart_eb","rbf",0,3.97,296.341684356408,NA,296.341684356408,NA,NA,NA
"dipole","multistart_eb","matern05",0,4.23,291.96760828524,NA,291.96760828524,NA,NA,NA
"dipole","multistart_eb","matern15",0,4.08000000000001,294.340932705468,NA,294.340932705468,NA,NA,NA
"dipole","multistart_eb","matern25",0,4.34,295.042298731299,NA,295.042298731299,NA,NA,NA
"ring","multistart_eb","rbf",0,5.49,272.725762870614,NA,272.725762870614,NA,NA,NA
"ring","multistart_eb","matern05",0,4.33,277.795409992122,NA,277.795409992122,NA,NA,NA
"ring","multistart_eb","matern15",0,4.39,277.741377926299,NA,277.741377926299,NA,NA,NA
"ring","multistart_eb","matern25",0,3.94,277.717779472565,NA,277.717779472565,NA,NA,NA
"edge","multistart_eb","rbf",0,4.61999999999999,262.720591967404,NA,262.720591967404,NA,NA,NA
"edge","multistart_eb","matern05",0,3.70999999999999,268.242720370765,NA,268.242720370765,NA,NA,NA
"edge","multistart_eb","matern15",0,3.12,267.026831337306,NA,267.026831337306,NA,NA,NA
"edge","multistart_eb","matern25",0,3.02,265.951376030151,NA,265.951376030151,NA,NA,NA
"sine","multistart_eb","rbf",0,2.3,341.72775802213,NA,341.72775802213,NA,NA,NA
"sine","multistart_eb","matern05",0,3.95,281.452265058208,NA,281.452265058208,NA,NA,NA
"sine","multistart_eb","matern15",0,4.58,311.65721056367,NA,311.65721056367,NA,NA,NA
"sine","multistart_eb","matern25",0,2.46000000000001,324.159094266498,NA,324.159094266498,NA,NA,NA
