"retained_draws","RMSE","mean_within_variance","mean_between_variance","mean_total_variance","mean_interval_width","mean_abs_change_from_Smax","mean_abs_sd_change_from_Smax","source"
120,0.0453727406022495,0.0148677076735093,8.08269919222502e-06,0.0148757903727015,0.473704998298172,3.02156878282785e-05,0.00188883126220124,"dipole"
240,0.0453985380926608,0.0151996741295438,7.711061512567e-06,0.0152073851910563,0.47896217598313,3.57121287352424e-05,0.000547714505834255,"dipole"
480,0.0453651226304118,0.0153400816181048,7.46352448154556e-06,0.0153475451425864,0.481109216846,0,0,"dipole"
