"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,3.53,355.899552608691,NA,355.899552608691,NA,NA,NA
"spike","multistart_eb","matern05",0,3.53,355.213537175143,NA,355.213537175143,NA,NA,NA
"spike","multistart_eb","matern15",0,4.08,355.661811183691,NA,355.661811183691,NA,NA,NA
"spike","multistart_eb","matern25",0,3.78,355.763512400702,NA,355.763512400702,NA,NA,NA
"mixture","multistart_eb","rbf",0,3.67,307.757730703742,NA,307.757730703742,NA,NA,NA
"mixture","multistart_eb","matern05",0,3.66,305.959614290398,NA,305.959614290398,NA,NA,NA
"mixture","multistart_eb","matern15",0,3.61,307.419135968717,NA,307.419135968717,NA,NA,NA
"mixture","multistart_eb","matern25",0,3.59,307.698738058752,NA,307.698738058752,NA,NA,NA
"dipole","multistart_eb","rbf",0,4.46,296.44171209966,NA,296.44171209966,NA,NA,NA
"dipole","multistart_eb","matern05",0,3.7,291.989955383044,NA,291.989955383044,NA,NA,NA
"dipole","multistart_eb","matern15",0,4.3,294.39325474052,NA,294.39325474052,NA,NA,NA
"dipole","multistart_eb","matern25",0,4.11,295.108529563841,NA,295.108529563841,NA,NA,NA
"ring","multistart_eb","rbf",0,5.36,277.569365239264,NA,277.569365239264,NA,NA,NA
"ring","multistart_eb","matern05",0,4.65,277.639643581771,NA,277.639643581771,NA,NA,NA
"ring","multistart_eb","matern15",0,4.18,277.571873565066,NA,277.571873565066,NA,NA,NA
"ring","multistart_eb","matern25",0,4.68,277.54299236454,NA,277.54299236454,NA,NA,NA
"edge","multistart_eb","rbf",0,4.17,263.521855401159,NA,263.521855401159,NA,NA,NA
"edge","multistart_eb","matern05",0,4.14,268.482212621091,NA,268.482212621091,NA,NA,NA
"edge","multistart_eb","matern15",0,2.92999999999999,267.498984771318,NA,267.498984771318,NA,NA,NA
"edge","multistart_eb","matern25",0,3.33,266.525915473994,NA,266.525915473994,NA,NA,NA
"sine","multistart_eb","rbf",0,2.09,343.003856559197,NA,343.003856559197,NA,NA,NA
"sine","multistart_eb","matern05",0,4.39,281.683824127735,NA,281.683824127735,NA,NA,NA
"sine","multistart_eb","matern15",0,4.51000000000001,312.483314282627,NA,312.483314282627,NA,NA,NA
"sine","multistart_eb","matern25",0,3.62,326.476437591267,NA,326.476437591267,NA,NA,NA
