"source","hyper_method","kernel","convergence","runtime_seconds","log_marginal","log_prior","log_target","laplace_log_evidence","min_hessian_eigenvalue","regularised_hessian_eigenvalues"
"spike","multistart_eb","rbf",0,6.77,327.48796003304,NA,327.48796003304,NA,NA,NA
"spike","multistart_eb","matern05",0,5.98,327.462843406482,NA,327.462843406482,NA,NA,NA
"spike","multistart_eb","matern15",0,6.14,327.473995379435,NA,327.473995379435,NA,NA,NA
"spike","multistart_eb","matern25",0,6.06,327.477765813157,NA,327.477765813157,NA,NA,NA
"mixture","multistart_eb","rbf",0,1.49,218.119351526599,NA,218.119351526599,NA,NA,NA
"mixture","multistart_eb","matern05",0,1.78,218.194677862367,NA,218.194677862367,NA,NA,NA
"mixture","multistart_eb","matern15",0,1.96,218.177045469366,NA,218.177045469366,NA,NA,NA
"mixture","multistart_eb","matern25",0,1.75,218.163983207361,NA,218.163983207361,NA,NA,NA
"dipole","multistart_eb","rbf",0,1.85,269.180243068508,NA,269.180243068508,NA,NA,NA
"dipole","multistart_eb","matern05",0,2.41999999999999,268.786283284034,NA,268.786283284034,NA,NA,NA
"dipole","multistart_eb","matern15",0,2.22,268.950146879724,NA,268.950146879724,NA,NA,NA
"dipole","multistart_eb","matern25",0,2.08,269.009804637258,NA,269.009804637258,NA,NA,NA
"ring","multistart_eb","rbf",0,1.89,230.007507508002,NA,230.007507508002,NA,NA,NA
"ring","multistart_eb","matern05",0,2.54,230.051581744153,NA,230.051581744153,NA,NA,NA
"ring","multistart_eb","matern15",0,2.77,230.022144268095,NA,230.022144268095,NA,NA,NA
"ring","multistart_eb","matern25",0,2.22,230.014959908771,NA,230.014959908771,NA,NA,NA
"edge","multistart_eb","rbf",0,2.14,181.121830326062,NA,181.121830326062,NA,NA,NA
"edge","multistart_eb","matern05",0,2.25,180.560546024319,NA,180.560546024319,NA,NA,NA
"edge","multistart_eb","matern15",0,2.1,180.911705646021,NA,180.911705646021,NA,NA,NA
"edge","multistart_eb","matern25",0,2.01,181.003632111905,NA,181.003632111905,NA,NA,NA
"sine","multistart_eb","rbf",0,1.72,197.406822744649,NA,197.406822744649,NA,NA,NA
"sine","multistart_eb","matern05",0,1.91,197.175804190641,NA,197.175804190641,NA,NA,NA
"sine","multistart_eb","matern15",0,1.89000000000001,197.221651206215,NA,197.221651206215,NA,NA,NA
"sine","multistart_eb","matern25",0,1.94000000000001,197.253571779313,NA,197.253571779313,NA,NA,NA
