"source","source_label","RMSE","MAE","delta","tau","residual_norm","target_norm","discrepancy_ratio","discrepancy_status"
"spike","Hidden narrow spike",0.0559772905268965,0.0144893033925858,2.92293571950108e-05,1.05,0.00163824733883165,0.0016382473388318,1.0499999999999,"root located"
"mixture","Broad plus sharp source",0.104991978181481,0.0706143712684605,4.48612125186371e-05,1.05,0.0153838664133935,0.0153838664133935,1.05,"root located"
"dipole","Positive-negative dipole",0.112198393551968,0.0585706829959303,1.30829926497755e-05,1.05,0.00427263153033242,0.00427263153032749,1.05000000000121,"root located"
"ring","Ring-shaped source",0.219378777643645,0.13742569443744,5.44148253479762e-05,1.05,0.0125394842545054,0.0125394842545056,1.04999999999999,"root located"
"edge","Moving-edge source",0.433469616065203,0.342001536328933,4.02733987661521e-05,1.05,0.0361503228471943,0.0361503228473583,1.04999999999524,"root located"
"sine","Sine-cosine source",0.303100101080499,0.21230840707529,2.10900815864944e-05,1.05,0.0208242582951894,0.0208242582951895,1.05,"root located"
