"source","max_abs_u","eta","sigma_noise"
"spike",0.00222890794398885,0.001,2.22890794398885e-06
"mixture",0.0209304304944129,0.001,2.09304304944129e-05
"dipole",0.00581310412289455,0.001,5.81310412289455e-06
"ring",0.0170605227952457,0.001,1.70605227952457e-05
"edge",0.0491841127174942,0.001,4.91841127174942e-05
"sine",0.0283323242111421,0.001,2.83323242111421e-05
