"source","source_label","RMSE","MAE","delta","tau","residual_norm","target_norm","discrepancy_ratio","discrepancy_status"
"spike","Hidden narrow spike",0.0470719587072482,0.00972278110860785,8.90134824405153e-08,1.05,1.63824733882858e-05,1.6382473388318e-05,1.04999999999794,"root located"
"mixture","Broad plus sharp source",0.0478658344313377,0.0186228985199391,3.94436848253601e-07,1.05,0.000153838664133921,0.000153838664133935,1.04999999999991,"root located"
"dipole","Positive-negative dipole",0.0560327246666503,0.0253685504298094,6.61645714388956e-08,1.05,4.27263153031572e-05,4.27263153032749e-05,1.04999999999711,"root located"
"ring","Ring-shaped source",0.172417548138231,0.100353635129207,1.51591051964487e-07,1.05,0.000125394842544594,0.000125394842545056,1.04999999999613,"root located"
"edge","Moving-edge source",0.275784540059545,0.163476256592176,2.44207143550432e-07,1.05,0.000361503228473568,0.000361503228473583,1.04999999999996,"root located"
"sine","Sine-cosine source",0.177458661897204,0.0879948621962861,1.71207254985852e-07,1.05,0.000208242582951904,0.000208242582951895,1.05000000000005,"root located"
