"source","hyper_method","kernel","parameter","optimizer_value","natural_parameter","natural_value"
"spike","multistart_eb","rbf","log_ell",-2.48054693775074,"ell",0.0836974357839796
"spike","multistart_eb","rbf","log_sigma_f",-3.12203831036627,"sigma_f",0.0440672540733607
"spike","multistart_eb","rbf","log_sigma_n",-8.28226382599238,"sigma_n",0.00025296388511871
"spike","multistart_eb","matern05","log_ell",-2.78957290392975,"ell",0.0614474522768448
"spike","multistart_eb","matern05","log_sigma_f",-2.80021503990281,"sigma_f",0.0607969874411545
"spike","multistart_eb","matern05","log_sigma_n",-8.32130540194093,"sigma_n",0.000243278081174088
"spike","multistart_eb","matern15","log_ell",-2.63690518420357,"ell",0.0715824616384915
"spike","multistart_eb","matern15","log_sigma_f",-2.95462954220792,"sigma_f",0.0520979570956292
"spike","multistart_eb","matern15","log_sigma_n",-8.30278858951561,"sigma_n",0.000247824781054071
"spike","multistart_eb","matern25","log_ell",-2.58685717072603,"ell",0.075256186152453
"spike","multistart_eb","matern25","log_sigma_f",-3.00838459506041,"sigma_f",0.0493713691305915
"spike","multistart_eb","matern25","log_sigma_n",-8.29697547644465,"sigma_n",0.000249269609936285
"mixture","multistart_eb","rbf","log_ell",-1.17114142298578,"ell",0.310012883408028
"mixture","multistart_eb","rbf","log_sigma_f",-1.58064886325367,"sigma_f",0.205841491883292
"mixture","multistart_eb","rbf","log_sigma_n",-5.99571095563846,"sigma_n",0.00248940648678475
"mixture","multistart_eb","matern05","log_ell",-1.14639747204338,"ell",0.317779519351293
"mixture","multistart_eb","matern05","log_sigma_f",-1.42789072132529,"sigma_f",0.23981422417406
"mixture","multistart_eb","matern05","log_sigma_n",-6.01247510441189,"sigma_n",0.00244802156677957
"mixture","multistart_eb","matern15","log_ell",-1.11061729291023,"ell",0.329355589441407
"mixture","multistart_eb","matern15","log_sigma_f",-1.54075239192483,"sigma_f",0.214219863482099
"mixture","multistart_eb","matern15","log_sigma_n",-6.00223150033833,"sigma_n",0.00247322700734685
"mixture","multistart_eb","matern25","log_ell",-1.11944237049709,"ell",0.326461788600615
"mixture","multistart_eb","matern25","log_sigma_f",-1.56026761427765,"sigma_f",0.210079843311891
"mixture","multistart_eb","matern25","log_sigma_n",-5.99931187204768,"sigma_n",0.00248045846233009
"dipole","multistart_eb","rbf","log_ell",-3.2302443952933,"ell",0.03954783230315
"dipole","multistart_eb","rbf","log_sigma_f",-1.05236030048002,"sigma_f",0.34911276486231
"dipole","multistart_eb","rbf","log_sigma_n",-7.79481965948878,"sigma_n",0.000411863053005232
"dipole","multistart_eb","matern05","log_ell",-3.7237443966582,"ell",0.0241433959318824
"dipole","multistart_eb","matern05","log_sigma_f",-0.829579034732881,"sigma_f",0.436232886567781
"dipole","multistart_eb","matern05","log_sigma_n",-8.68079008563125,"sigma_n",0.000169816844733263
"dipole","multistart_eb","matern15","log_ell",-3.45882017974796,"ell",0.0314668653714535
